SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES,,,,,,,,,,,,Inventory 1990,
(Sheet 2 of 3),,,,,,,,,,,,Submission 2023 v6,
,,,,,,,,,,,,CYPRUS,
,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND,CO2,CH4,N2O,HFCs (1),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6,NF3,NOx,CO ,NMVOC,SO2,
SINK CATEGORIES,,,,,,,,,,,,,
,(kt),,,(kt CO2 equivalent),,,(kt),,,,,,
3.  Agriculture,1.82,12.03,0.44,,,,,,1.50,2.30,1.58,0.02,
A.  Enteric fermentation,,7.88,,,,,,,,,,,
B.  Manure management,,4.07,0.22,,,,,,,,1.51,,
C.  Rice cultivation,,NO,,,,,,,,,NO,,
D.  Agricultural soils,,NE,0.21,,,,,,1.42,NA,0.05,,
E.  Prescribed burning of savannas,,NO,NO,,,,,,NO,NO,NO,,
F.  Field burning of agricultural residues,,0.08,0.00,,,,,,0.08,2.30,0.02,,
G. Liming,NO,,,,,,,,,,,,
H. Urea application,1.82,,,,,,,,,,,,
I.  Other carbon-contining fertilizers,NO,,,,,,,,,,,,
J.  Other ,NO,NO,NO,,,,,,NO,NO,NO,0.02,
"4.  Land use, land-use change and forestry  (4)",-153.13,0.00,0.00,,,,,,0.00,0.03,NO,NO,
A. Forest land (4),1.46,0.00,0.00,,,,,,0.00,0.03,NO,,
B. Cropland (4),-134.24,NO,0.00,,,,,,NO,NO,NO,,
C. Grassland (4),-23.05,NO,NO,,,,,,NO,NO,NO,,
D. Wetlands (4),"NO,NE",NO,NO,,,,,,NO,NO,NO,,
E. Settlements (4),0.46,NO,0.00,,,,,,NO,NO,NO,,
F. Other land (4),0.11,NO,0.00,,,,,,NO,NO,NO,,
G. Harvested wood products ,2.14,,,,,,,,,,,,
H. Other  (4),NO,NO,NO,,,,,,NO,NO,NO,NO,
5.  Waste,"NO,NA",15.19,0.04,,,,,,0.00,0.03,0.17,0.00,
A.  Solid waste disposal (5),"NO,NA",10.55,,,,,,,"NO,NA","NO,NE",0.17,,
B.  Biological treatment of solid waste (5),,NO,NO,,,,,,NO,NO,NO,,
C.  Incineration and open burning of waste (5),NO,NO,NO,,,,,,0.00,0.03,0.00,0.00,
D.  Wastewater treatment and discharge,,4.64,0.04,,,,,,"NO,IE,NA","NO,IE,NA",0.00,,
E.  Other (5),NO,NO,NO,,,,,,NO,NO,NO,NO,
6.  Other   (please specify)(6),,,,,,,,,,,,,
,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,
