SUMMARY 1.A SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (IPCC TABLE 7A),,,,,,,,,,,,Inventory 1990,,,,
(Sheet 3 of 3),,,,,,,,,,,,Submission 2023 v6,,,,
,,,,,,,,,,,,CYPRUS,,,,
,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND ,Net CO2,CH4,N2O,HFCs(1),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6,NF3,NOx,CO ,NMVOC,SO2,,,,
SINK CATEGORIES, emissions/removals,,,,,,,,,,,,,,,
,(kt),,,(kt CO2 equivalent),,,(kt),,,,,,,,,
Memo items:(7),,,,,,,,,,,,,,,,
International bunkers,900.89,0.02,0.03,,,,,,0.32,0.13,0.01,0.03,,,,
Aviation,718.10,0.01,0.02,,,,,,0.32,0.13,0.01,0.03,,,,
Navigation,182.79,0.01,0.01,,,,,,NE,NE,NE,NE,,,,
Multilateral operations,NO,NO,NO,,,,,,NO,NO,NO,NO,,,,
CO2 emissions from biomass,30.50,,,,,,,,,,,,,,,
CO2 captured,NO,,,,,,,,,,,,,,,
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,,,,
Indirect N2O,,,"NO,NE",,,,,,,,,,,,,
Indirect CO2,5.21,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1)   The emissions of hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), unspecified mix of HFCs and PFCs and other fluorinated gases are to be expressed as carbon dioxide (CO2) equivalent emissions. Data on disaggregated emissions of HFCs and PFCs are to be provided in table 2(II) of this common reporting format.",,,,,,,,,,,,,,,,
"(2)   For verification purposes, Parties are requested to report the results of their calculations using the Reference approach and to explain any differences with the Sectoral approach in the documentation box to table 1.A(c). For estimating national total emissions, the results from the Sectoral approach should be used.",,,,,,,,,,,,,,,,
(3)   2.H. Other includes pulp and paper and food and beverages industry.,,,,,,,,,,,,,,,,
"(4)  For the purposes of reporting, the signs for removals are always negative (-) and for emissions positive (+). ",,,,,,,,,,,,,,,,
(5)   CO2 from categories solid waste disposal on land and waste incineration should only be included if it stems from non-biogenic or inorganic waste streams. Only emissions from  ,,,,,,,,,,,,,,,,
"waste incineration without energy recovery are to be reported in the waste sector, whereas emissions from incineration with energy recovery are to be reported in the energy sector.",,,,,,,,,,,,,,,,
"(6)   If reporting any country-specific category under sector ""6. Other"", detailed explanations should be provided in Chapter 8: Other (CRF sector 6) of the national inventory report (NIR).",,,,,,,,,,,,,,,,
"(7)   Parties are asked to report emissions from international aviation and international navigation and multilateral operations, as well as CO2 emissions from biomass and CO2 captured, under Memo Items.  These emissions should not be included in the national total emissions from the energy sector.  Amounts of biomass used as fuel are included in the national energy consumption but the corresponding CO2 emissions  are not included in the national total as it is assumed that the biomass is produced in a sustainable manner.  If the biomass is harvested at an unsustainable rate, net CO2 emissions  are accounted for as a loss of biomass stocks in the Land Use, Land-use Change and Forestry sector. ",,,,,,,,,,,,,,,,
