SUMMARY 2   SUMMARY REPORT FOR CO2 EQUIVALENT EMISSIONS,,,,,,,,,Inventory 1990,
(Sheet 1 of 1),,,,,,,,,Submission 2023 v6,
,,,,,,,,,CYPRUS,
,,,,,,,,,,
GREENHOUSE GAS SOURCE AND ,CO2(1),CH4,N2O,HFCs ,PFCs,SF6,Unspecified mix of HFCs and PFCs,NF3,Total ,
SINK CATEGORIES,CO2 equivalent (kt ),,,,,,,,,
Total (net emissions)(1),4491.73,776.48,147.72,"NO,NE",NO,2.73,NO,NO,5418.66,
1. Energy,3921.78,14.17,18.40,,,,,,3954.35,
A. Fuel combustion (sectoral approach),3921.78,13.71,18.40,,,,,,3953.89,
1.  Energy industries,1761.49,2.00,3.66,,,,,,1767.15,
2.  Manufacturing industries and construction,502.34,0.98,1.51,,,,,,504.83,
3.  Transport,1216.56,7.88,12.35,,,,,,1236.79,
4.  Other sectors,430.40,2.81,0.86,,,,,,434.06,
5.  Other,10.99,0.04,0.02,,,,,,11.06,
B. Fugitive emissions from fuels,"NO,NE",0.45,"NO,NE",,,,,,0.45,
1.  Solid fuels,NO,NO,NO,,,,,,NO,
2.  Oil and natural gas,"NO,NE",0.45,"NO,NE",,,,,,0.45,
C. CO2 transport and storage,NO,,,,,,,,NO,
2.  Industrial processes and product use,721.26,"NO,NE,NA",3.93,"NO,NE",NO,2.73,NO,NO,727.93,
A.  Mineral industry,717.07,,,,,,,,717.07,
B.  Chemical industry,NO,NO,NO,NO,NO,NO,NO,NO,NO,
C.  Metal industry,NO,NO,NO,NO,NO,NO,NO,NO,NO,
D.  Non-energy products from fuels and solvent use,4.19,"NE,NA","NE,NA",,,,,,4.19,
E.  Electronic Industry ,,,,NO,NO,NO,NO,NO,NO,
F.  Product uses as ODS substitutes ,,,,"NO,NE",NO,NO,NO,NO,"NO,NE",
G.  Other product manufacture and use ,IE,NE,3.93,,NO,2.73,,,6.66,
H.  Other ,NO,NO,NO,NO,NO,NO,NO,NO,NO,
3.  Agriculture,1.82,336.89,115.56,,,,,,454.27,
A.  Enteric fermentation,,220.61,,,,,,,220.61,
B.  Manure management,,113.91,58.08,,,,,,171.99,
C.  Rice cultivation,,NO,,,,,,,NO,
D.  Agricultural soils,,NE,56.90,,,,,,56.90,
E.  Prescribed burning of savannas,,NO,NO,,,,,,NO,
F.  Field burning of agricultural residues,,2.37,0.58,,,,,,2.96,
G. Liming,NO,,,,,,,,NO,
H. Urea application,1.82,,,,,,,,1.82,
I.  Other carbon-containing fertilizers,NO,,,,,,,,NO,
J.  Other ,NO,NO,NO,,,,,,NO,
"4. Land use, land-use change and forestry(1)",-153.13,0.03,0.03,,,,,,-153.07,
A. Forest land,1.46,0.03,0.02,,,,,,1.51,
B. Cropland,-134.24,NO,0.01,,,,,,-134.23,
C. Grassland,-23.05,NO,NO,,,,,,-23.05,
D. Wetlands,"NO,NE",NO,NO,,,,,,"NO,NE",
E. Settlements ,0.46,NO,0.00,,,,,,0.46,
F. Other land,0.11,NO,0.00,,,,,,0.11,
G. Harvested wood products,2.14,,,,,,,,2.14,
H. Other       ,NO,NO,NO,,,,,,NO,
5.  Waste,"NO,NA",425.39,9.80,,,,,,435.18,
A.  Solid waste disposal ,"NO,NA",295.37,,,,,,,295.37,
B.  Biological treatment of solid waste,,NO,NO,,,,,,NO,
C.  Incineration and open burning of waste,NO,NO,NO,,,,,,NO,
D.  Waste water treatment and discharge,,130.02,9.80,,,,,,139.82,
E.  Other ,NO,NO,NO,,,,,,NO,
6.  Other (as specified in summary 1.A),,,,,,,,,,
,,,,,,,,,,
Memo items:(2),,,,,,,,,,
International bunkers,900.89,0.52,7.34,,,,,,908.75,
Aviation,718.10,0.14,5.32,,,,,,723.56,
Navigation,182.79,0.38,2.01,,,,,,185.18,
Multilateral operations,NO,NO,NO,,,,,,NO,
CO2 emissions from biomass,30.50,,,,,,,,30.50,
CO2 captured,NO,,,,,,,,NO,
Long-term storage of C in waste disposal sites,NE,,,,,,,,NE,
Indirect N2O,,,"NO,NE",,,,,,,
Indirect CO2 (3),5.21,,,,,,,,,
"Total CO2 equivalent emissions without land use, land-use change and forestry",,,,,,,,,5571.73,
"Total CO2 equivalent emissions with land use, land-use change and forestry",,,,,,,,,5418.66,
"Total CO2 equivalent emissions, including indirect CO2,  without land use, land-use change and forestry",,,,,,,,,5576.94,
"Total CO2 equivalent emissions, including indirect CO2,  with land use, land-use change and forestry",,,,,,,,,5423.87,
,,,,,,,,,,
"(1)     For carbon dioxide (CO2) from land use, land-use change and forestry the net emissions/removals are to be reported.  For the purposes of reporting, the signs for removals are always negative (-) and for emissions positive (+). ",,,,,,,,,,
(2)     See footnote 7 to table Summary 1.A.,,,,,,,,,,
"(3)    In accordance with the UNFCCC Annex I inventory reporting guidelines, for Parties that decide to report indirect CO2, the national totals shall be provided with and  without indirect CO2.",,,,,,,,,,
