TABLE 1.A(a)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,,Inventory 1990
Fuel combustion activities - sectoral approach,,,,,,,,,Submission 2023 v6
(Sheet 1 of 4),,,,,,,,,CYPRUS
,,,,,,,,,
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,AGGREGATE ACTIVITY DATA,,IMPLIED EMISSION FACTORS,,,EMISSIONS,,,
,Consumption ,, CO2(1),CH4,N2O, CO2(2),CH4,N2O,CO2
,,,,,,,,,Amount captured
,(TJ),NCV/GCV(3),(t/TJ),(kg/TJ),,(kt),,,
1.A. Fuel combustion,52320.27,NCV,,,,3921.78,0.49,0.07,NO
Liquid fuels,49523.53,NCV,74.50,8.32,1.30,3689.44,0.41,0.06,NO
Solid fuels,2502.60,NCV,92.60,10.00,1.50,231.74,0.03,0.00,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),7.65,NCV,79.02,NO,NO,0.60,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),286.50,NCV,106.44,184.15,3.69,,0.05,0.00,NO
1.A.1. Energy industries,23303.71,NCV,,,,1761.49,0.07,0.01,NO
Liquid fuels,23191.71,NCV,75.95,2.94,0.58,1761.49,0.07,0.01,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),112.00,NCV,112.00,30.00,4.00,12.54,0.00,0.00,NO
a.  Public electricity and heat production(7),21856.31,NCV,,,,1675.77,0.07,0.01,NO
Liquid fuels,21856.31,NCV,76.67,3.02,0.59,1675.77,0.07,0.01,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,NO
1.A.1.a.i  Electricity Generation,21856.31,NCV,,,,1675.77,0.07,0.01,NO
Liquid Fuels,21856.31,NCV,76.67,3.02,0.59,1675.77,0.07,0.01,NO
Solid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,NO,,NO,NO,NO,NO,NO,NO,NO
b.  Petroleum refining,1335.40,NCV,,,,85.72,0.00,0.00,NO
Liquid fuels,1335.40,NCV,64.19,1.66,0.27,85.72,0.00,0.00,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,NO
c.  Manufacture of solid fuels and other energy industries(8),112.00,NCV,,,,NO,0.00,0.00,NO
Liquid fuels,NO,NCV,NO,NO,NO,NO,NO,NO,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),112.00,NCV,112.00,30.00,4.00,12.54,0.00,0.00,NO
1.A.1.c.ii  Oil and gas extraction,NO,NCV,,,,NO,NO,NO,NO
Liquid Fuels,NO,NCV,NO,NO,NO,NO,NO,NO,NO
1.A.1.c.iv  Other (please specify),112.00,NCV,,,,NO,0.00,0.00,NO
Charcoal Production,112.00,NCV,,,,NO,0.00,0.00,NO
Liquid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Solid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Peat,NO,,NO,NO,NO,NO,NO,NO,NO
Biomass,112.00,NCV,112.00,30.00,4.00,12.54,0.00,0.00,NO
,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 4.,,,,,,,,,
,,,,,,,,,
"Note:  For the coverage of fuel categories, refer to the 2006 IPCC Guidelines (chapter 1 of energy volume, section 1.4.1.1, page 1.11). If some derived gases (e.g. gas works, gas, coke oven gas, blast furnace gas) are considered, Parties should provide information on the allocation of these derived gases under the above fuel categories (liquid, solid, gaseous, biomass and other fuels) in the NIR (see also documentation box at the end of sheet 4 of this table).",,,,,,,,,
