TABLE 1.A(a)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,Inventory 1990,
Fuel combustion activities - sectoral approach,,,,,,,,Submission 2023 v6,
(Sheet 3 of 4),,,,,,,,CYPRUS,
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,AGGREGATE ACTIVITY DATA,,IMPLIED EMISSION FACTORS,,,EMISSIONS,,,
,Consumption ,, CO2(1)        ,CH4,N2O, CO2(2),CH4,N2O,
,,,,,,,,,
,(TJ),NCV/GCV(3),(t/TJ),(kg/TJ),,(kt),,,
1.A.3  Transport,16620.45,NCV,,,,1216.56,0.28,0.05,
Liquid fuels,16612.81,NCV,73.19,16.95,2.80,1215.96,0.28,0.05,
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,
Other fossil fuels(4),7.65,NCV,79.02,NO,NO,0.60,NO,NO,
Biomass(6),"NO,IE",,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE",
a.  Domestic aviation(10),364.27,NCV,,,,26.05,0.00,0.00,
Aviation gasoline,NO,,NO,NO,NO,NO,NO,NO,
Jet kerosene,364.27,NCV,71.50,0.50,2.00,26.05,0.00,0.00,
Biomass,NO,,NO,NO,NO,NO,NO,NO,
b.  Road transportation(11),16226.52,NCV,,,,1188.32,0.28,0.05,
Gasoline,7219.02,NCV,71.84,31.88,4.77,518.61,0.23,0.03,
Diesel oil,8999.85,NCV,74.35,5.68,1.26,669.11,0.05,0.01,
Liquefied petroleum gases (LPG),NO,,NO,NO,NO,NO,NO,NO,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,
Other fossil fuels (please specify)(4),7.65,NCV,,,,0.60,NO,NO,
i.  Cars,6804.03,NCV,,,,490.74,0.15,0.03,
Gasoline,6092.30,NCV,71.86,24.22,5.34,437.79,0.15,0.03,
Diesel oil,711.73,NCV,74.40,6.05,0.03,52.95,0.00,0.00,
Liquefied petroleum gases (LPG),NO,,NO,NO,NO,NO,NO,NO,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Other Liquid Fuels,NO,,NO,NO,NO,NO,NO,NO,
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,
Other fossil fuels (please specify)(4),NO,,,,,NO,NO,NO,
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,
ii.  Light duty trucks,5771.95,NCV,,,,427.09,0.04,0.00,
Gasoline,776.21,NCV,71.71,27.69,1.91,55.67,0.02,0.00,
Diesel oil,4995.74,NCV,74.35,4.16,0.02,371.43,0.02,0.00,
Liquefied petroleum gases (LPG),NO,,NO,NO,NO,NO,NO,NO,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Other Liquid Fuels,NO,,NO,NO,NO,NO,NO,NO,
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,
Other fossil fuels (please specify)(4),NO,,,,,NO,NO,NO,
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,
iii.  Heavy duty trucks and buses,2147.67,NCV,,,,159.58,0.01,0.01,
Gasoline,NO,NCV,NO,NO,NO,NO,NO,NO,
Diesel oil,2147.67,NCV,74.30,6.98,4.26,159.58,0.01,0.01,
Liquefied petroleum gases (LPG),NO,,NO,NO,NO,NO,NO,NO,
Other liquid fFuels (please specify),NO,,,,,NO,NO,NO,
Other Liquid Fuels,NO,,NO,NO,NO,NO,NO,NO,
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,
Other fossil fuels (please specify)(4),NO,,,,,NO,NO,NO,
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,
iv.  Motorcycles,358.16,NCV,,,,25.76,0.06,0.00,
Gasoline,350.52,NCV,71.76,174.24,1.06,25.15,0.06,0.00,
Diesel oil,NO,,NO,NO,NO,NO,NO,NO,
Liquefied petroleum gases (LPG),NO,,NO,NO,NO,NO,NO,NO,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Other Liquid Fuels,NO,,NO,NO,NO,NO,NO,NO,
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,
Other fossil fuels (please specify)(4),7.65,NCV,,,,0.60,NO,NO,
Other Fossil Fuels,7.65,NCV,79.02,NO,NO,0.60,NO,NO,
v.  Other (please specify),1144.71,NCV,,,,85.14,0.01,0.00,
Buses,1144.71,NCV,,,,85.14,0.01,0.00,
Gasoline,NO,,NO,NO,NO,NO,NO,NO,
Diesel Oil,1144.71,NCV,74.38,9.63,1.80,85.14,0.01,0.00,
Liquefied Petroleum Gases (LPG),NO,,NO,NO,NO,NO,NO,NO,
Other Liquid Fuels (please specify),NO,,,,,NO,NO,NO,
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,
Biomass,NO,,NO,NO,NO,NO,NO,NO,
Other Fossil Fuels (please specify),NO,,,,,NO,NO,NO,
c.  Railways,NO,,,,,NO,NO,NO,
Liquid fuels,NO,,NO,NO,NO,NO,NO,NO,
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,
Other fossil  fuels (please specify),NO,,,,,NO,NO,NO,
d.  Domestic Navigation(10) ,29.66,NCV,,,,2.20,0.00,0.00,
Residual fuel oil,NO,,NO,NO,NO,NO,NO,NO,
Gas/diesel oil,29.66,NCV,74.10,3.90,3.90,2.20,0.00,0.00,
Gasoline,NO,,NO,NO,NO,NO,NO,NO,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,
Biomass(6),IE,,IE,IE,IE,IE,IE,IE,
Other fossil fuels (please specify)(4),NO,,,,,NO,NO,NO,
e.  Other transportation (please specify),NO,,,,,NO,NO,NO,
Liquid fuels,NO,,NO,NO,NO,NO,NO,NO,
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,
i. Pipeline transport,NO,,,,,NO,NO,NO,
