TABLE 1.A(a)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,,Inventory 1990
Fuel combustion activities - sectoral approach,,,,,,,,,Submission 2023 v6
(Sheet 4 of 4),,,,,,,,,CYPRUS
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,AGGREGATE ACTIVITY DATA,,IMPLIED EMISSION FACTORS,,,EMISSIONS,,,
,Consumption ,, CO2(1)        ,CH4,N2O, CO2(2),CH4,N2O, CO2
,,,,,,,,,Amount captured
,(TJ),NCV/GCV(3),(t/TJ),(kg/TJ),,(kt),,,
1.A.4  Other sectors,6307.90,NCV,,,,430.40,0.10,0.00,NO
Liquid fuels,6133.40,NCV,70.17,8.29,0.43,430.40,0.05,0.00,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),174.50,NCV,102.87,283.09,3.49,17.95,0.05,0.00,NO
a.  Commercial/institutional(12),1128.44,NCV,,,,75.21,0.02,0.00,NO
Liquid fuels,1095.07,NCV,68.68,7.45,0.35,75.21,0.01,0.00,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),33.37,NCV,105.30,255.80,2.67,3.51,0.01,0.00,NO
1.A.4.a.i  Stationary combustion,1128.44,NCV,,,,75.21,0.02,0.00,NO
Liquid Fuels,1095.07,NCV,68.68,7.45,0.35,75.21,0.01,0.00,NO
Solid Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other Fossil Fuels,NO,,NO,NO,NO,NO,NO,NO,NO
