TABLE 1.A(b)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,,,,,,,,,,,Inventory 1990,,,,,,
CO2 from fuel combustion activities - reference approach  (IPCC worksheet fuel combustion activities) ,,,,,,,,,,,,,,,,,,Submission 2023 v6,,,,,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,,CYPRUS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FUEL TYPES,,,Unit,Production,Imports,Exports,International,Stock change,Apparent,Conversion,NCV/ GCV (2),Apparent,Carbon emission,Carbon ,Carbon ,Net carbon,Fraction of,Actual CO2,,,,,,
,,,,,,,bunkers,,consumption,factor          ,,consumption,factor,content,stored[C excluded],emissions,carbon,emissions,,,,,,
,,,,,,,,,,(TJ/Unit)1,,(TJ),(t C/TJ),(kt),(kt C),((kt) C),oxidized,((kt) CO2),,,,,,
Liquid fossil ,Primary fuels,Crude oil,kt,NO,624.00,NO,,-12.00,636.00,42.30,NCV,26902.80,20.00,538.06,NA,538.06,1.00,1972.87,,,,,,
,,Orimulsion,TJ,NO,NO,NO,,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,,,,,,
,,Natural gas liquids,TJ,NO,NO,NO,,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,,,,,,
,Secondary fuels ,Gasoline,kt,,32.00,NO,NO,-9.00,41.00,44.30,NCV,1816.30,18.90,34.33,NA,34.33,1.00,125.87,,,,,,
,,Jet kerosene,kt,,279.00,NO,236.00,0.00,43.00,44.10,NCV,1896.30,19.50,36.98,NA,36.98,1.00,135.59,,,,,,
,,Other kerosene,kt,,NO,NO,NO,0.00,0.00,43.80,NCV,0.00,19.60,0.00,NA,0.00,1.00,0.00,,,,,,
,,Shale oil,TJ,,NO,NO,,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,,,,,,
,,Gas/diesel oil,kt,,118.00,NO,24.00,0.00,94.00,43.00,NCV,4042.00,20.20,81.65,NA,81.65,1.00,299.38,,,,,,
,,Residual fuel oil,kt,,460.00,NO,34.00,0.00,426.00,40.40,NCV,17210.40,21.10,363.14,NA,363.14,1.00,1331.51,,,,,,
