TABLE 1.A(c)  COMPARISON OF CO2 EMISSIONS FROM FUEL COMBUSTION,,,,,,,Inventory 1990,,,
Comparison of CO2 emissions from fuel combustion,,,,,,,Submission 2023 v6,,,
(Sheet 1 of 1),,,,,,,CYPRUS,,,
,,,,,,,,,,
FUEL TYPES,REFERENCE APPROACH,,,SECTORAL APPROACH(1),,DIFFERENCE(2),,,,
,,,,,,,,,,
,Apparent energy consumption(3),"Apparent energy consumption (excluding non-energy use, reductants and feedstocks) (4)",CO2 emissions ,Energy consumption ,CO2 emissions(5),Energy consumption ,CO2 emissions(6),,,
,(PJ),(PJ),(kt),(PJ),(kt),(%),(%),,,
Liquid fuels (excluding international bunkers),54.22,54.14,4032.93,49.52,3689.44,9.32,9.31,,,
Solid fuels (excluding international bunkers),2.68,2.68,248.35,2.50,231.74,7.17,7.17,,,
Gaseous fuels,NO,NO,NO,NO,NO,NO,NO,,,
Other fossil fuels,NO,NO,NO,0.01,0.60,-100.00,-100.00,,,
Peat,NO,NO,NO,NO,NO,NO,NO,,,
Total(5),56.90,56.82,4281.29,52.03,3921.78,9.20,9.17,,,
,,,,,,,,,,
"(1)   ""Sectoral approach"" is used to indicate the approach (if different from the reference approach) used by the Party to estimate  carbon dioxide (CO2) emissions from fuel combustion as reported in table 1.A(a), sheets 1-4. ",,,,,,,,,,
"(2)   Difference in CO2 emissions estimated by the reference approach (RA) and the sectoral approach (SA)  (difference = 100% x ((RA-SA)/SA)). For calculating the difference in energy consumption between the two approaches, data as reported in the column ""Apparent energy consumption (excluding non-energy use, reductants and feedstocks)"" are used for the reference approach.",,,,,,,,,,
,,,,,,,,,,
(3)   Apparent energy consumption data shown in this column are as in table 1.A(b). ,,,,,,,,,,
"(4)   For the purposes of comparing apparent energy consumption in the reference approach with energy consumption in the sectoral approach, data in this column come from table 1.A(d).",,,,,,,,,,
(5)   For the sectoral approach gross emissions (without accounting for CO2 captured) are included in the comparison.,,,,,,,,,,
"(6) In the case of discrepancies between the approaches (of more than 2 per cent), investigate and document the reasons for such discrepancies.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Documentation Box:,,,,,,,,,,
"• Parties should provide detailed explanations on the fuel combustion subsector, including information related to the comparison of CO2 emissions calculated using the sectoral approach with those calculated using the reference approach, in the corresponding part of chapter 3: energy (CRF subsector 1.A) of the national inventory report  (NIR).  Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,
Documentation box,,,,,,,,,,
