TABLE 1.A(d)  SECTORAL BACKGROUND DATA FOR ENERGY,,,,,,,,,Inventory 1990,,,
"Feedstocks, reductants and other non-energy use of fuels",,,,,,,,,Submission 2023 v6,,,
(Sheet 1 of 1),,,,,,,,,CYPRUS,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FUEL TYPE ,,,ACTIVITY DATA AND RELATED INFORMATION,IMPLIED EMISSION FACTOR,CARBON EXCLUDED FROM REFERENCE APPROACH,,IMPLIED CARBON EXCLUDED FRACTION,REPORTED CO2 EMISSIONS(1),,,,
,,,Fuel quantity for NEU          ,Carbon                                 emission factor               ,Carbon excluded,CO2 excluded,Carbon fraction excluded from reference approach(2),CO2 emissions from the NEU reported in the inventory,Reported under: Select category(ies)  from the category tree(3),,,
,,,(TJ), (t C/TJ), ((kt) C), ((kt) CO2),(%), ((kt) CO2),,,,
Liquid fossil,Primary fuels,Crude oil,NO,NO,NO,NO,NO,NO,,,,
fossil,,Orimulsion,NO,NO,NO,NO,NO,NO,,,,
,,Natural gas liquids,NO,NO,NO,NO,NO,NO,,,,
,Secondary fuels ,Gasoline,NO,NO,NO,NO,NO,NO,,,,
,,Jet kerosene,NO,NO,NO,NO,NO,NO,,,,
,,Other kerosene(4),NO,NO,NO,NO,,NO,,,,
,,Shale oil,NO,NO,NO,NO,NO,NO,,,,
,,Gas/diesel oil(4),NO,NO,NO,NO,NO,NO,,,,
,,Residual fuel oil,NO,NO,NO,NO,NO,NO,,,,
,,Liquefied petroleum gases (LPG)(4),NO,NO,NO,NO,NO,NO,,,,
,,Ethane(4),NO,NO,NO,NO,NO,NO,,,,
,,Naphtha(4),NO,NO,NO,NO,NO,NO,,,,
,,Bitumen,1326.60,NO,NO,NO,,NO,Non-energy Products from Fuels and Solvent Use,,,
,,Lubricants(5),281.40,4.00,5.63,20.64,368.42,4.13,Lubricant Use,,,
,,Petroleum coke(5),NO,NO,NO,NO,NO,NO,,,,
,,Refinery feedstocks,NO,NO,NO,NO,NO,NO,,,,
,,Other oil(6),NO,NO,NO,NO,NO,NO,,,,
Other liquid fossil,,,NO,NO,NO,NO,NO,NO,,,,
Liquid fossil totals,,,1608.00,0.70,5.63,20.64,0.51,4.13,,,,
Solid fossil,Primary fuels,Anthracite,NO,NO,NO,NO,NO,NO,,,,
,,Coking coal,NO,NO,NO,NO,NO,NO,,,,
,,Other bituminous coal,NO,NO,NO,NO,NO,NO,,,,
,,Sub-bituminous Coal,NO,NO,NO,NO,NO,NO,,,,
,,Lignite,NO,NO,NO,NO,NO,NO,,,,
,,Oil shale and tar sand,NO,NO,NO,NO,NO,NO,,,,
,Secondary fuels,BKB and patent fuel,NO,NO,NO,NO,NO,NO,,,,
,,Coke oven/gas coke,NO,NO,NO,NO,NO,NO,,,,
,,Coal tar(7),NO,NO,NO,NO,NO,NO,,,,
Other solid fossil,,,NO,NO,NO,NO,NO,NO,,,,
Solid fossil totals,,,NO,NO,NO,NO,NO,NO,,,,
Gaseous fossil,,"Natural gas (dry)(4,8)",NO,NO,NO,NO,NO,NO,,,,
Other gaseous fossil,,,NO,NO,NO,NO,NO,NO,,,,
Gaseous fossil totals,,,NO,NO,NO,NO,NO,NO,,,,
Waste (non-biomass fraction),,,NO,NO,NO,NO,NO,NO,,,,
Other fossil fuels ,,,NO,NO,NO,NO,NO,NO,,,,
Other fossil fuels totals,,,NO,NO,NO,NO,NO,NO,,,,
,,,,,,,,,,,,
"(1) Carbon excluded from fuel combustion is either emitted in another sector of the inventory (for example as industrial process emissions) or is stored for long periods of time in a product manufactured from the fuel and therefore no emissions occur (for example, bitumen/asphalt used for road paving). Column I includes carbon dioxide (CO2) emissions from non-energy use and column J documents where in the inventory these emissions are reported.",,,,,,,,,,,,
(2) The fraction of carbon excluded from reference approach relates CO2 from carbon excluded to CO2 reported in the reference approach. ,,,,,,,,,,,,
"(3) If the emissions from the fuel are reported in more than one category, list them in the table and provide further details in the documentation box and in the national inventory report  (NIR). For the different NEU of fuels see also table 1.6, page 1.26, chapter 1, volume 3 of the 2006 IPCC Guidelines (same as table 2.1. page T.27, volume 1).",,,,,,,,,,,,
"(4)   Enter data for those fuels that are used as feedstocks (fuel used as raw materials for manufacture of products such as plastics or fertilizers), reductant or for other non-energy use (fuels not used as fuel or transformed into another fuel (e.g. bitumen for road construction, lubricants)). For other fuels, use notation key ""NO"" (not occurring).",,,,,,,,,,,,
,,,,,,,,,,,,
(5)  Total deliveries.,,,,,,,,,,,,
"(6)  Refinery gas, paraffin waxes and white spirit are included under ""other oil"" in table 1A(b).",,,,,,,,,,,,
(7)  Deliveries to petrochemical feedstock and blast furnaces.,,,,,,,,,,,,
(8) Deliveries to chemical industry and construction.,,,,,,,,,,,,
,,,,,,,,,,,,
Documentation box:       ,,,,,,,,,,,,
"Parties should provide detailed explanations on the fuel consumption for non-energy uses, in the corresponding part of chapter 3.2.3. Feedstocks and non-energy use of fuels of the NIR. Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.  ",,,,,,,,,,,,
Documentation box,,,,,,,,,,,,
