TABLE 1.C  SECTORAL BACKGROUND DATA FOR ENERGY,,,Inventory 1990,
CO2 Transport and storage,,,Submission 2023 v6,
(Sheet 1 of 1),,,CYPRUS,
,,,,
GREENHOUSE GAS SOURCE AND ,ACTIVITY  DATA,    IMPLIED EMISSION FACTORS,EMISSIONS,
SINK CATEGORIES,CO2 transported or injected(1),CO2,CO2(2),
,(kt),(kg/kt),(kt),
1.  Transport of CO2,NO,NO,NO,
a.  Pipelines,NO,NO,NO,
b.  Ships,NO,NO,NO,
c.  Other,NO,NO,NO,
2.  Injection and storage(3),NO,NO,NO,
a.  Injection,NO,NO,NO,
b.  Storage,NO,NO,NO,
3.   Other,NO,NO,NO,
"Information item(4, 5)",,,,
Total amount captured for storage,,,NO,
Total amount of imports for storage,,,NO,
Total A,,,NO,
Total amount of exports for storage,,,NO,
Total amount of CO2 injected at storage sites,,,NO,
"Total leakage from transport, injection and storage",,,NO,
Total B,,,NO,
Difference (A-B)(6),,,NO,
,,,,
(1) Excluding recycled carbon dioxide (CO2) for enhanced recovery.,,,,
(2) Corrected for baseline background fluxes.,,,,
(3)  Fugitive emissions during above-ground operations such as processing and CO2 recycling during enhanced oil and gas recovery operations should be reported as fugitive emissions from oil and natural gas and reported under the appropriate categories for that sector.,,,,
"(4) Once captured, there is no differentiated treatment between biogenic carbon and fossil carbon. Emissions and storage of both biogenic and fossil carbon will be estimated and reported.",,,,
(5) It should be checked that the mass of CO2 captured does no exceed the mass of CO2 stored plus the fugitive emissions (leakage) reported for the inventory year.,,,,
"(6) Ideally the value should be zero (see page 5.19, volume 2 of the 2006 IPCC guidelines).",,,,
,,,,
Documentation box:,,,,
Parties should provide detailed explanations on CO2 transport and storage in the corresponding part of chapter 3: energy (CRF subsector 1.C) of the NIR. Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.,,,,
Documentation box,,,,
