TABLE 1.D  SECTORAL BACKGROUND DATA FOR ENERGY,,,,,,,Inventory 1990,,,,
International aviation and international navigation (international bunkers) and multilateral operations,,,,,,,Submission 2023 v6,,,,
(Sheet 1 of 1),,,,,,,CYPRUS,,,,
,,,,,,,,,,,
GREENHOUSE GAS SOURCE ,ACTIVITY DATA,IMPLIED EMISSION FACTORS,,,EMISSIONS,,,,,,
AND SINK CATEGORIES,Consumption , CO2        ,CH4,N2O, CO2        ,CH4,N2O,,,,
,(TJ),(t/TJ),(kg/TJ),,(kt),,,,,,
International aviation (aviation bunkers),10043.33,,,,718.10,0.01,0.02,,,,
Jet kerosene,10043.33,71.50,0.50,2.00,718.10,0.01,0.02,,,,
Aviation gasoline,NO,NO,NO,NO,NO,NO,NO,,,,
Biomass,NO,NO,NO,NO,NO,NO,NO,,,,
International navigation (marine bunkers),2405.60,,,,182.79,0.01,0.01,,,,
Residual fuel oil,1373.60,77.40,7.00,2.00,106.32,0.01,0.00,,,,
Gas/diesel oil,1032.00,74.10,3.90,4.70,76.47,0.00,0.00,,,,
Gasoline,NO,NO,NO,NO,NO,NO,NO,,,,
Other liquid fuels (please specify),NO,,,,NO,NO,NO,,,,
Gaseous fuels,NO,NO,NO,NO,NO,NO,NO,,,,
Biomass,NO,NO,NO,NO,NO,NO,NO,,,,
Other fossil fuels (please specify)(1),NO,,,,NO,NO,NO,,,,
Multilateral operations(2),NO,NO,NO,NO,NO,NO,NO,,,,
,,,,,,,,,,,
(1) Include information in the documentation box on which fuels are included and provide a reference to the section in the national inventory report  (NIR) where further information is provided. ,,,,,,,,,,,
"(2)   Parties may choose to report or not report the activity data and implied emission factors for multilateral operations, consistent with the principle of confidentiality stated in the UNFCCC reporting guidelines. In any case, Parties should report the emissions from multilateral operations, where available, under memo iItems in the summary tables and in the sectoral report table for energy.",,,,,,,,,      ,,
,,,,,,,,,,,
"Note:  In accordance with the IPCC Guidelines, international aviation and international navigation emissions from fuel sold to ships or aircraft engaged in international transport should be excluded from national totals and reported separately for information purposes only.",,,,,,,,,,,
,,,,,,,,,,,
Additional information,,,,,,,,,,,
Fuel consumption,Distribution (a) (per cent),,,,,,,,,,
,Domestic,International,,,,,,,,,
Aviation,3.50,96.50,,,,,,,,,
Marine,1.22,98.78,,,,,,,,,
"(a) For calculating the allocation of fuel consumption, the sums of fuel consumption for domestic navigation and aviation (table 1.A(a)) and for international bunkers (table 1.D) are used.",,,,,,,,,,,
,,,,,,,,,,,
Documentation Box:,,,,,,,,,,,
"• Parties should provide detailed explanations on the  fuel combustion subsector, including international aviation and international navigation, in the corresponding part of  chapter 3: energy (CRF subsector 1.A) of the NIR.  Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.  ",,,,,,,,,,,
"• Provide in this documentation box a brief explanation of how the consumption of international aviation and international navigation fuels was estimated and separated from domestic consumption, and include a reference to the section of the NIR where the explanation is provided in more detail.",,,,,,,,,,,
Documentation box,,,,,,,,,,,
Documentation box,,,,,,,,,,,
