TABLE 10  EMISSION TRENDS,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,
N2O,,,Submission 2023 v6,,,,,,,,,,,,,,,,,,,,,,
(Sheet 4 of 6),,,CYPRUS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Base year(1),1990,Change from base to latest reported year,,,,,,,,,,,,,,,,,,,,,,
,(kt),,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,0.07,0.07,0.00,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion (sectoral approach),0.07,0.07,0.00,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,0.05,0.05,0.00,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
5.  Other,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,
C. CO2 transport and storage,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
C.  Metal industry,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use,"NE,NA","NE,NA",0.00,,,,,,,,,,,,,,,,,,,,,,
E.  Electronic industry,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as ODS substitutes,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,
H.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
3.  Agriculture,0.44,0.44,0.00,,,,,,,,,,,,,,,,,,,,,,
A.  Enteric fermentation,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Manure management,0.22,0.22,0.00,,,,,,,,,,,,,,,,,,,,,,
C.  Rice cultivation,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Agricultural soils,0.21,0.21,0.00,,,,,,,,,,,,,,,,,,,,,,
E.  Prescribed burning of savannas,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
F.  Field burning of agricultural residues,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
G.  Liming,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Urea application,,,,,,,,,,,,,,,,,,,,,,,,,
I.  Other carbon containing fertlizers,,,,,,,,,,,,,,,,,,,,,,,,,
J.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
"4. Land use, land-use change and forestry",0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
A.  Forest land,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
B.  Cropland,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
C.  Grassland,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
D.  Wetlands,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
E.  Settlements ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
F.  Other land,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
G.  Harvested wood products,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other       ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
5.  Waste,0.04,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,
A.  Solid waste disposal ,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Biological treatment of solid waste,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
C.  Incineration and open burning of waste,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
D.  Waste water treatment and discharge,0.04,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,
E.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
6.  Other (as specified in summary 1.A),,,,,,,,,,,,,,,,,,,,,,,,,
Total direct N2O emissions without N2O from LULUCF,0.56,0.56,0.00,,,,,,,,,,,,,,,,,,,,,,
Total direct N2O emissions with N2O from LULUCF,0.56,0.56,0.00,,,,,,,,,,,,,,,,,,,,,,
Memo items: ,,,,,,,,,,,,,,,,,,,,,,,,,
International bunkers,0.03,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,
Aviation,0.02,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,
Navigation,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,
Multilateral operations,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
CO2 emissions from biomass,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 captured,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term storage of C in waste disposal sites,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect N2O,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,
Indirect CO2 (3),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 6.,,,,,,,,,,,,,,,,,,,,,,,,,
