TABLE 10  EMISSION TRENDS,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HFCs, PFCs, SF6, and NF3",,,Submission 2023 v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Sheet 5 of 6),,,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Base year(1),1990,Change from base to latest reported year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions of HFCs and PFCs -  (kt CO2 equivalent) ,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions of HFCs -  (kt CO2 equivalent) ,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-23,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-32,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-41,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-43-10mee,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-125,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-134,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-134a,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-143,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-143a,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-152,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-152a,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-161,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-227ea,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-236cb,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-236ea,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-236fa,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-245ca,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-245fa,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-365mfc,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified mix of HFCs(4) -  (kt CO2 equivalent) ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions of PFCs -  (kt CO2 equivalent) ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF4,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2F6,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3F8,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4F10,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-C4F8,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5F12,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6F14,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10F18,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-C3F6,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified mix of PFCs(4) -  (kt CO2 equivalent) ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified mix of HFCs and PFCs - (kt CO2 equivalent),NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions of  SF6 -  (kt CO2 equivalent),2.73,2.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF6,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions of NF3 - (kt CO2 equivalent),NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NF3,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
