TABLE 10 EMISSION TRENDS,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY,,,Submission 2023 v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Sheet 6 of 6),,,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS EMISSIONS,Base year(1),1990,Change from base to latest reported year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CO2 equivalent (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 emissions without net CO2 from LULUCF,4644.86,4644.86,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 emissions with net CO2 from LULUCF,4491.73,4491.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 emissions without CH4 from LULUCF,776.45,776.45,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 emissions with CH4 from LULUCF,776.48,776.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2O emissions without N2O from LULUCF,147.69,147.69,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2O emissions with N2O from LULUCF,147.72,147.72,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFCs,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFCs,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified mix of HFCs and PFCs,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF6,2.73,2.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NF3,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (without LULUCF),5571.73,5571.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (with LULUCF),5418.66,5418.66,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total (without LULUCF, with indirect)",5576.94,5576.94,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total (with LULUCF, with indirect)",5423.87,5423.87,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
