TABLE 2(I).A-H   SECTORAL BACKGROUND DATA FOR  INDUSTRIAL PROCESSES AND PRODUCT USE                                                                                                      ,,,,,,,,,,,Inventory 1990,,,
"Emissions of CO2, CH4 and N2O",,,,,,,,,,,Submission 2023 v6,,,
(Sheet 2 of 2),,,,,,,,,,,CYPRUS,,,
,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND ,ACTIVITY DATA,,IMPLIED EMISSION FACTORS (2),,,EMISSIONS,,,,,,,,
SINK CATEGORIES,Production/Consumption quantity,,CO2,CH4,N2O,CO2,,CH4,,N2O,,,,
,,,,,,Emissions(3),Recovery(4),Emissions(3),Recovery(4),Emissions(3),Recovery(4),,,
,Description (1),(kt),(t/t),,,(kt),,,,,,,,
C.  Metal industry,,,,,,NO,NO,NO,NO,NO,NO,,,
1.  Iron and steel production,,,,,,NO,NO,NO,NO,,,,,
a. Steel,,NO,NO,NO,,NO,NO,NO,NO,,,,,
b. Pig iron ,,NO,NO,NO,,NO,NO,NO,NO,,,,,
c. Direct reduced iron,,NO,NO,NO,,NO,NO,NO,NO,,,,,
d. Sinter,,NO,NO,NO,,NO,NO,NO,NO,,,,,
e. Pellet ,,NO,NO,NO,,NO,NO,NO,NO,,,,,
f. Other (please specify),,,,,,NO,NO,NO,NO,,,,,
2.  Ferroalloys production,,NO,NO,NO,,NO,NO,NO,NO,,,,,
3.  Aluminium production,,NO,NO,,,NO,NO,,,,,,,
4.  Magnesium  production,,NO,NO,,,NO,NO,,,,,,,
5. Lead production,,NO,NO,,,NO,NO,,,,,,, 
6. Zinc production,,NO,NO,,,NO,NO,,,,,,,
7.  Other (please specify),,,,,,NO,NO,NO,NO,NO,NO,,,
"D.  Non-energy products from fuels
 and solvent use",,,,,,4.19,NO,"NE,NA",NO,"NE,NA",NO,,,
1.  Lubricant use,Consumption,7.00,0.59,"NO,NE","NO,NE",4.13,NO,NE,NO,NE,NO,,,
2.  Paraffin wax use,Total wax consumption,0.11,0.59,"NO,NA","NO,NA",0.06,NO,NA,NO,NA,NO,,,
3.  Other (please specify)(5)(6),,,,,,"NO,NE,IE",NO,NE,NO,NE,NO,,,
Other (please specify),,,,,,"NO,NE,IE",NO,NE,NO,NE,NO,,,
