TABLE 2(I) SECTORAL REPORT FOR INDUSTRIAL PROCESSES AND PRODUCT USE,,,,,,,,,,,,Inventory 1990
(Sheet 1 of 2),,,,,,,,,,,,Submission 2023 v6
,,,,,,,,,,,,CYPRUS
,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2,CH4,N2O,HFCs(1),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6,NF3 ,NOx,CO,NMVOC,SO2
,(kt),,,CO2 equivalent (kt),,,(kt),,,,,
Total industrial processes,721.26,"NO,NE,NA",0.01,"NO,NE",NO,NO,0.00,NO,"NO,NE,IE,NA","NO,NE,IE,NA",0.00,"NO,NE,NA"
A.  Mineral industry ,717.07,,,,,,,,"NO,NE","NO,NE","NO,NE","NO,NE"
1.  Cement production,667.66,,,,,,,,,,,NE
2.  Lime production,5.33,,,,,,,,,,,
3. Glass production,NO,,,,,,,,,,,
4. Other process uses of carbonates,44.08,,,,,,,,"NO,NE","NO,NE","NO,NE","NO,NE"
B.  Chemical industry ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1.  Ammonia production,NO,NO,NO,,,,,,NO,NO,NO,NO
2.  Nitric acid production ,,,NO,,,,,,NO,,,
3.  Adipic acid production,NO,,NO,,,,,,NO,NO,NO,
"4. Caprolactam, glyoxal and glyoxylic acid production",NO,,NO,,,,,,,,NO,NO
5.  Carbide production,NO,NO,,,,,,,NO,NO,NO,NO
6. Titanium dioxide production,NO,,,,,,,,,,,
7. Soda ash production,NO,,,,,,,,,,,
8. Petrochemical and carbon black production,NO,NO,,,,,,,NO,NO,NO,NO
9. Fluorochemical production,,,,NO,NO,NO,NO,NO,,,,
10.  Other (as specified in table 2(I).A-H),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
C.  Metal industry,NO,NO,NO,NO,NO,NO,NO,NO,"NO,NE","NO,NE",0.00,"NO,NE"
1.  Iron and steel production,NO,NO,,,,,,,NE,NE,0.00,NE
2.  Ferroalloys production,NO,NO,,,,,,,NO,NO,NO,NO
3.  Aluminium production,NO,,,,,,,,NO,NO,NO,NO
4.  Magnesium production,NO,,,,,,,,NO,NO,NO,NO
5. Lead production,NO,,,,,,,,NO,NO,NO,NO
6. Zinc production,NO,,,,,,,,NO,NO,NO,NO
7.  Other (as specified in table 2(I).A-H),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,,,,,,,,,,
"(1)   The emissions of hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), unspecified mix of HFCs and PFCs, and other fluorinated gases are to be expressed as carbon dioxide equivalent emissions. Data on disaggregated emissions of HFCs and PFCs are to be provided in table 2(II).",,,,,,,,,,,,
