TABLE 2(II).B-H  SECTORAL BACKGROUND DATA FOR  INDUSTRIAL PROCESSES AND PRODUCT USE,,,,,,Inventory 1990
Sources of fluorinated substances,,,,,,Submission 2023 v6
(Sheet 1 of 2),,,,,,CYPRUS
,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Gas (please specify),ACTIVITY  DATA,,IMPLIED EMISSION FACTORS(1) ,EMISSIONS,
,One row per substance,,,,Emissions(2),Recovery(3)
,,Description,(t),(kg/t),(t),(t)
B.   Chemical industry,,,,,,
9. Fluorochemical production,,,,,,
By-product emissions,,,,,,
Production of HCFC-22,,Production of HCFC-22,,,,
Other (please specify - one row per substance),,Production,,,,
Fugitive emissions(4)  ,,,,,,
Production of HFC-134a,,Production of HFC-134a,,,,
Production of SF6,,Production of SF6,,,,
Other (please specify - one row per substance),,Production,,,,
C.   Metal production ,,,,,,
3. Production of aluminium,,,,,,
By-product emissions,,Production of primary aluminium,,,,
F-gases used in foundries(5),,Amount of aluminium casted,,,,
4. Magnesium production(6),,Amount of magnesium casted,,,,
7. Other  (please specify - one row per substance),,,,,,
E.  Electronics industry(7),,,,,,
1.  Integrated circuit or semiconductor,,Consumption,,,,
Unspecified mix of HFCs and PFCs,Unspecified mix of HFCs and PFCs,Consumption,NO,NO,NO,NO
SF6,SF6,Consumption,NO,NO,NO,NO
NF3,NF3,Consumption,NO,NO,NO,NO
2.  TFT flat panel display,,Consumption,,,,
Unspecified mix of HFCs and PFCs,Unspecified mix of HFCs and PFCs,Consumption,NO,NO,NO,NO
SF6,SF6,Consumption,NO,NO,NO,NO
NF3,NF3,Consumption,NO,NO,NO,NO
3.  Photovoltaics,,Consumption,,,,
Unspecified mix of HFCs and PFCs,Unspecified mix of HFCs and PFCs,Consumption,NO,NO,NO,NO
SF6,SF6,Consumption,NO,NO,NO,NO
NF3,NF3,Consumption,NO,NO,NO,NO
4.  Heat transfer fluid,,Consumption,,,,
Unspecified mix of HFCs and PFCs,Unspecified mix of HFCs and PFCs,Consumption,NO,NO,NO,NO
SF6,SF6,Consumption,NO,NO,NO,NO
NF3,NF3,Consumption,NO,NO,NO,NO
5. Other (please specify - one row per substance)(8),,Consumption,,,,
,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 2.,,,,,,
