TABLE 3.B(a) SECTORAL BACKGROUND DATA FOR AGRICULTURE,,,,,,,,,,,,Inventory 1990
CH4 Emissions from Manure Management,,,,,,,,,,,,Submission 2023 v6
(Sheet 2 of 2),,,,,,,,,,,,CYPRUS
,,,,,,,,,,,,
Additional information (for Tier 2) (a),,,,,,,,,,,,
Animal category,,Indicator,Climate region,Manure Management Systems (b),,,,,,,,
,,,,Anaerobic lagoon  , Liquid system,Daily spread,Solid storage and dry lot,"Pasture, range, and paddock",Composting,Digesters,Burned for fuel or as waste,Other
,,,,,,,,,,,,
,,,,,,,,,,,,
Option A,Dairy cattle,Allocation (%),Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Temperate,NO,20.00,NO,80.00,NO,NO,NO,NO,NO
,,,Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,MCF(c),Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Temperate,NO,NO,NO,NE,NO,NO,NE,NO,NO
,,,Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,Non-dairy cattle,Allocation (%),Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Temperate,NO,20.00,NO,80.00,NO,NO,NO,NO,NO
,,,Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,MCF(c),Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Temperate,NO,NO,NO,NE,NO,NO,NE,NO,NO
,,,Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
Option B,Mature dairy cattle,Allocation (%),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,,MCF(c),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,Other mature cattle,Allocation (%),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,,MCF(c),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,Growing cattle,Allocation (%),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,,MCF(c),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,,,Sheep - Sheep_Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Sheep - Sheep_Allocation (%) - Temperate,NO,NO,NO,100.00,NO,NO,NO,NO,NO
,,,Sheep - Sheep_Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Sheep - Sheep_MCF (c) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Sheep - Sheep_MCF (c) - Temperate,NO,NO,NO,NE,NO,NO,NO,NO,NO
,,,Sheep - Sheep_MCF (c) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,market swine - Swine_Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,market swine - Swine_Allocation (%) - Temperate,NO,90.00,NO,10.00,NO,NO,NO,NO,NO
,,,market swine - Swine_Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,market swine - Swine_MCF (c) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,market swine - Swine_MCF (c) - Temperate,NO,NE,NO,NO,NO,NO,NE,NO,NO
,,,market swine - Swine_MCF (c) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,breeding swine - Swine_Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,breeding swine - Swine_Allocation (%) - Temperate,NO,90.00,NO,10.00,NO,NO,NO,NO,NO
,,,breeding swine - Swine_Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,breeding swine - Swine_MCF (c) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,breeding swine - Swine_MCF (c) - Temperate,NO,NE,NO,NO,NO,NO,NE,NO,NO
,,,breeding swine - Swine_MCF (c) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Goats - Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Goats - Allocation (%) - Temperate,NO,NO,NO,100.00,NO,NO,NO,NO,NO
