TABLE 3.G-I SECTORAL BACKGROUND DATA FOR AGRICULTURE,,,Inventory 1990,
"CO2 emissions from liming, urea application and other carbon-containing fertilizers",,,Submission 2023 v6,
(Sheet 1 of 1),,,CYPRUS,
,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,ACTIVITY DATA,IMPLIED EMISSION FACTORS,EMISSIONS ,
,Amount applied,CO2-C per unit ,CO2,
,(t/yr),(t CO2–C /t),(kt),
G.  Liming(1),,,NO,
             Limestone CaCO3,NO,NO,NO,
             Dolomite CaMg(CO3)2,NO,NO,NO,
H.  Urea application,2475.00,0.20,1.82,
I.  Other carbon-containing fertlizers,NO,NO,NO,
J.  Other (please specify),NO,NO,NO,
.,,,,
(1) Emissions should include all national liming regardless of land use. A Party should report total estimates for total lime application.,,,,
Documentation box:,,,,
Parties should provide detailed explanations on the agriculture sector in chapter 5: Agriculture (CRF sector 3) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.,,,,
Documentation box,,,,
Documentation box,,,,
Documentation box,,,,
Documentation box,,,,
