TABLE 3 SECTORAL REPORT FOR AGRICULTURE,,,,,,Inventory 1990
(Sheet 1 of 2),,,,,,Submission 2023 v6
,,,,,,CYPRUS
,,,,,,
GREENHOUSE GAS SOURCE AND ,CO2,CH4,N2O,NOx,CO,NMVOC
SINK CATEGORIES,(kt),,,,,
3. Total agriculture,1.82,12.03,0.44,1.50,2.30,1.58
I. Livestock,,11.95,0.22,,,1.51
A. Enteric fermentation,,7.88,,,,
1.   Cattle(1),,4.05,,,,
Option A:,,,,,,
Dairy cattle,,2.21,,,,
Non-dairy cattle,,1.84,,,,
Option B:,,,,,,
Mature dairy cattle,,,,,,
Other mature cattle,,,,,,
Growing cattle,,,,,,
Option C (country-specific):,,,,,,
Other (as specified in table 3(I).A),,,,,,
2.    Sheep,,2.32,,,,
3.    Swine,,0.42,,,,
4.    Other livestock,,1.09,,,,
Goats,,1.03,,,,
Horses,,0.01,,,,
Mules and Asses,,0.05,,,,
Other (please specify),,NO,,,,
B.  Manure management,,4.07,0.22,,,1.51
1.    Cattle(1),,0.69,0.03,,,0.69
Option A:,,,,,,
Dairy cattle,,0.42,0.02,,,0.40
Non-dairy cattle,,0.28,0.01,,,0.29
Option B:,,,,,,
Mature dairy cattle,,,,,,
Other mature cattle,,,,,,
Growing cattle,,,,,,
Option C (country-specific):,,,,,,
Other (as specified in table 3(I).B),,,,,,
2.    Sheep,,0.08,0.05,,,0.05
3.    Swine,,3.16,0.00,,,0.19
4.    Other livestock,,0.13,0.06,,,0.58
Goats,,0.04,0.03,,,0.11
Horses,,0.00,0.00,,,0.00
Mules and Asses,,0.01,0.00,,,0.01
Poultry,,0.08,0.03,,,0.46
Other (please specify),,NO,NO,,,NO
5. Indirect N2O emissions,,,0.09,,,
,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 2.,,,,,,
