"TABLE 4(II)   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,Inventory 1990,
Emissions and removals from drainage and rewetting and other management of organic and mineral soils ,,,,,,,,Submission 2023 v6,
(Sheet 1 of 1),,,,,,,,CYPRUS,
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Subdivision(2),ACTIVITY DATA,IMPLIED EMISSION FACTORS ,,,EMISSIONS,,,
Land-use category(1),,Area,CO2 per area ,N2O–N per area(3),CH4 per area,CO2(4),N2O,CH4,
,,(kha),(kg CO2/ha),(kg N2O–N/ha),(kg CH4/ha),(kt),,,
Total for all land use categories,,,,,,NO,NO,NO,
A. Forest land(5),,,,,,NO,NO,NO,
Total organic soils,,NO,NO,NO,NO,NO,NO,NO,
Drained organic soils,,NO,NO,NO,NO,NO,NO,NO,
Rewetted organic soils,,NO,NO,NO,NO,NO,NO,NO,
Other (please specify),,NO,NO,NO,NO,NO,NO,NO,
Total mineral soils ,,NO,NO,NO,NO,NO,NO,NO,
Rewetted mineral soils,,NO,NO,NO,NO,NO,NO,NO,
Other (please specify),,NO,NO,NO,NO,NO,NO,NO,
"B. Cropland (5), (6)",,,,,,NO,NO,NO,
Total organic soils,,NO,NO,,NO,NO,,NO,
Drained organic soils,,NO,NO,,NO,NO,,NO,
Rewetted organic soils,,NO,NO,,NO,NO,,NO,
Other (please specify),,NO,NO,,NO,NO,,NO,
Total mineral soils ,,NO,NO,NO,NO,NO,NO,NO,
Rewetted mineral soils,,NO,NO,,NO,NO,,NO,
Other (please specify),,NO,NO,NO,NO,NO,NO,NO,
C.  Grassland (5),,,,,,NO,NO,NO,
Total organic soils,,NO,NO,,NO,NO,,NO,
Drained organic soils,,NO,NO,,NO,NO,,NO,
Rewetted organic soils,,NO,NO,,NO,NO,,NO,
Other (please specify),,NO,NO,,NO,NO,,NO,
Total mineral soils ,,NO,NO,NO,NO,NO,NO,NO,
Rewetted mineral soils,,NO,NO,,NO,NO,,NO,
Other (please specify),,NO,NO,NO,NO,NO,NO,NO,
D. Wetlands (5),,,,,,NO,NO,NO,
D.1 Peat extraction lands,,,,,,NO,NO,NO,
Total organic soils,,NO,NO,NO,NO,NO,NO,NO,
Drained organic soils,,NO,NO,NO,NO,NO,NO,NO,
Rewetted organic soils,,NO,NO,NO,NO,NO,NO,NO,
Other (please specify),,NO,NO,NO,NO,NO,NO,NO,
Total mineral soils ,,NO,NO,NO,NO,NO,NO,NO,
Rewetted mineral soils,,NO,NO,NO,NO,NO,NO,NO,
Other (please specify),,NO,NO,NO,NO,NO,NO,NO,
D.2 Flooded lands,,,,,,NO,NO,NO,
Total organic soils,,NO,NO,NO,NO,NO,NO,NO,
Drained organic soils,,NO,NO,NO,NO,NO,NO,NO,
Rewetted organic soils,,NO,NO,NO,NO,NO,NO,NO,
Other (please specify),,NO,NO,NO,NO,NO,NO,NO,
Total mineral soils ,,NO,NO,NO,NO,NO,NO,NO,
Rewetted mineral soils,,NO,NO,NO,NO,NO,NO,NO,
Other (please specify),,NO,NO,NO,NO,NO,NO,NO,
D.3 Other wetlands (please specify),,,,,,NO,NO,NO,
H. Other (please specify) (5),,,,,,NO,NO,NO,
.,,,,,,,,,
(1)  Nitrous oxide (N2O) emissions from drained cropland and grassland soils are covered in the agriculture tables of the CRF under cultivation of organic soils.,,,,,,,,,
"(2) A Party should report further disaggregations of drained soils corresponding to the methods used. Tier 1 disaggregates soils into ""nutrient rich"" and ""nutrient poor"" areas, whereas higher-tier methods can further disaggregate soils into different peatland types, soil fertility or tree species.",,,,,,,,,
"(3)  In the calculation of the implied emission factor, N2O emissions are converted to N2O-N by multiplying by 28/44.  ",,,,,,,,,
"(4) If CO2 emissions or removals from drainage of wetland soils are not already included in tables 4.A to 4.F, they are to be reported here. Parties may also choose to report CO2 emissions or removals from rewetting and other management activities here unless they are included elsewhere.  They should be clearly documented in the documentation box and in the NIR. Double counting should be avoided. Parties that include all carbon stock changes in the carbon stock tables (4.A-4.F), should report IE (included elsewhere) in this column.",,,,,,,,,
"(5) In table 4, these emissions will be added to the respective land-use category. ",,,,,,,,,
(6) On-site CH4 emissions /removals from rice cultivation are included in the agriculture sector.,,,,,,,,,
Documentation box:,,,,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in Chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,
Documentation box,,,,,,,,,
Documentation box,,,,,,,,,
Documentation box,,,,,,,,,
Documentation box,,,,,,,,,
Documentation box,,,,,,,,,
