"TABLE 4(III)   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,Inventory 1990,,,
"Direct nitrous oxide (N2O) emissions from nitrogen (N) mineralization/immobilization associated with loss/gain of soil organic matter
",,,Submission 2023 v6,,,
resulting from change of land use or management of mineral soils(1),,,CYPRUS,,,
(Sheet 1 of 1),,,,,,
,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,ACTIVITY DATA,IMPLIED EMISSION FACTORS,EMISSIONS ,,,
Land-use category(2),Area (3),N2O–N emissions per area(4) ,N2O,,,
,(kha) ,(kg N2O–N/ha),(kt),,,
Total all land-use categories ,0.06,0.37,0.00,,,
A. Forest land,"NO,NA","NO,NA","NO,NA",,,
1. Forest land remaining forest land,NA,NA,NA,,,
2. Lands converted to forest land(5),NO,NO,NO,,,
B. Cropland(2) ,0.03,0.49,0.00,,,
2. Lands converted to cropland(5),0.03,0.49,0.00,,,
4.B.2.1  Forest land converted to cropland,NO,NO,NO,,,
4.B.2.2  Grassland converted to cropland,0.03,0.49,0.00,,,
4.B.2.4  Settlements converted to cropland,NO,NO,NO,,,
C. Grasslands,NO,NO,NO,,,
1. Grasslands remaining grasslands,NO,NO,NO,,,
2. Lands converted to grasslands(5),NO,NO,NO,,,
D. Wetlands,NO,NO,NO,,,
1. Wetlands remaining wetlands,NO,NO,NO,,,
2. Lands converted to wetlands(5),NO,NO,NO,,,
E. Settlements ,0.03,0.10,0.00,,,
1. Settlements remaining settlements,NA,NA,NA,,,
2. Lands converted to settlements(5),0.03,0.10,0.00,,,
4.E.2.1  Forest land converted to settlements,NO,NO,NO,,,
4.E.2.2  Cropland converted to settlements,0.02,0.05,0.00,,,
4.E.2.3  Grassland converted to settlements,0.01,0.25,0.00,,,
F. Other land,0.00,1.59,0.00,,,
.,,,,,,
"  (1) Methodologies for N2O emissions from N mineralization associated with loss of soil organic matter resulting from change of land use or management of mineral soils are based on equations 11.1, 11.2 and 11.8 of the 2006 IPCC Guidelines. N2O immobilization associated with gain of organic matter resulting from change of land use or management of mineral soils can be reported only when a Party applies a tier 3 approach in the relevant calculation. ",,,,,,
(2) N2O emissions from Cropland remaining cropland are included in the agriculture sector ,,,,,,
" (3) The total area of the subcategories, in accordance with the subdivision used, should be entered here.  For lands remaining in the category, the area subject to management changes should be reported. For converted lands the cumulative area remaining in the category in the reporting year should be reported here.",,,,,,
"(4)  In the calculation of the implied emission factor, N2O emissions are converted to N2O–N by multiplying by 28/44.",,,,,,
"(5)  If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. If detailed data are not available, Parties should include all emissions from land conversion here. ",,,,,,
,,,,,,
Documentation box:,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in Chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
