"TABLE 4(V)   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,Inventory 1990,,,,
Biomass Burning(1),,,,,,,,,,Submission 2023 v6,,,,
(Sheet 1 of 1),,,,,,,,,,CYPRUS,,,,
,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED EMISSION FACTOR,,,EMISSIONS,,,,,,
,,Description(4),Unit,Values,CO2,CH4,N2O,CO2(5)(6),CH4,N2O,,,,
Land-use category(2),Subdivision (3),,(ha or kg dm),,(t/activity data unit),,,(kt),,,,,,
Total for land-use categories,,,ha,15.67,"NO,IE",0.07,0.00,"NO,IE",0.00,0.00,,,,
A. Forest land,,,ha,15.67,"NO,IE",0.07,0.00,"NO,IE",0.00,0.00,,,,
1. Forest land remaining forest land(7),,,ha,15.67,"NO,IE",0.07,0.00,"NO,IE",0.00,0.00,,,,
Controlled burning ,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Wildfires,,,ha,15.67,IE,0.07,0.00,IE,0.00,0.00,,,,
Cyprus,Cyprus,,ha,15.67,IE,0.07,0.00,IE,0.00,0.00,,,,
2. Land converted to forest land,,,ha,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE",,,,
Controlled burning ,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Wildfires,,,ha,IE,IE,IE,IE,IE,IE,IE,,,,
B. Cropland,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
1.  Cropland remaining cropland(8),,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Controlled burning ,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Wildfires,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
2. Land converted to cropland,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Controlled burning ,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Wildfires,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
C. Grassland,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
1. Grassland remaining grassland(6),,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Controlled burning ,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Wildfires,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
2. Land converted to grassland,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Controlled burning ,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Wildfires,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
D. Wetlands,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
1. Wetlands remaining wetlands,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Controlled burning ,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Wildfires,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
2. Land converted to wetlands,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Controlled burning ,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
Wildfires,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
E.  Settlements,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
F. Other land,,,ha,NO,NO,NO,NO,NO,NO,NO,,,,
H. Other (please specify),,,,,,,,,,,,,,
.,,,,,,,,,,,,,,
(1) The methodology for estimating non-CO2 emissions from biomass burning is described in section 2.4 of chapter 2 of volume 4 of the 2066 IPCC Guidelines.,,,,,,,,,,,,,,
"(2) Parties should report both controlled/prescribed burning and wildfires emissions, where appropriate, in a separate manner.",,,,,,,,,,,,,,
(3) When Parties estimate emissions from biomass burning on mineral and organic soils separately they are encouraged to use this column to provide this disaggregation.,,,,,,,,,,,,,,
"(4) For each category, activity data should be selected between area burned or biomass burned. The units for area will be ha and for biomass burned will be kg dm. The implied emission factor will refer to the selected activity data with an automatic change in the units.",,,,,,,,,,,,,,
"(5)  If  carbon dioxide (CO2) emissions from biomass burning are not already included in tables 4.A – 4.F, they should be reported here. This should be clearly documented in the documentation box and in the  national inventory report (NIR).  Double counting should be avoided. Parties that include all carbon stock changes in the carbon stock tables (4.A–F), should report ""IE"" (included elsewhere) in this column. ",,,,,,,,,,,,,,
(6) Parties who wish to do so may report CO2 emissions from burning of organic soils here.  ,,,,,,,,,,,,,,
"(7) CH4 and N2O emissions associated with the burning of forest land and grassland defined as savannah should be reported under the agriculture sector. CO2 emissions/removals associated with burning of savannahs should be included here, taking into account footnote 5.",,,,,,,,,,,,,,
(8)  In situ above-ground woody biomass burning is reported here. Agricultural residue burning is reported in the agriculture sector.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in Chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the NIR. Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
