"TABLE 4.C   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,
Grassland,,,,,,,,,,,,,,,,,Submission 2023 v6,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,CYPRUS,,
,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (8),,
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,"Carbon stock change in living biomass(3), (4)",,,Net carbon stock change in dead organic matter(4) (6),Net carbon stock change in soils(4) (5) (7) ,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Gains,Losses,Net change,,Mineral soils,Organic soils,Gains,Losses,Net change,,Mineral soils,Organic soils,,,
,,,,,(t C/ha),,,,,,(kt C),,,,,,(kt),,
C. Total grassland,,131.62,131.62,NO,0.05,-0.00,0.05,-0.00,0.00,NO,6.44,-0.26,6.17,-0.02,0.13,NO,-23.05,,
1. Grassland remaining grassland,,131.45,131.45,NO,0.05,-0.00,0.05,NA,NA,NO,6.43,-0.05,6.39,NA,NA,NO,-23.42,,
Cyprus,Cyprus,131.45,131.45,NO,0.05,-0.00,0.05,NA,NA,NO,6.43,-0.05,6.39,NA,NA,NO,-23.42,,
2. Land converted to grassland(9) ,,0.17,0.17,NO,0.01,-1.25,-1.24,-0.12,0.78,NO,0.00,-0.21,-0.21,-0.02,0.13,NO,0.36,,
2.1 Forest land converted to grassland,,0.00,0.00,NO,0.06,-16.59,-16.53,-68.50,NA,NO,0.00,-0.00,-0.00,-0.02,NA,NO,0.09,,
2.2 Cropland converted to grassland,,0.17,0.17,NO,0.01,-1.22,-1.21,NA,0.78,NO,0.00,-0.21,-0.21,NA,0.13,NO,0.27,,
2.3 Wetlands converted to grassland,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2.4 Settlements converted to grassland,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2.5 Other Land converted to grassland,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
.,,,,,,,,,,,,,,,,,,,
"(1)  Land categories may be further divided according to climate zone, management system, soil type, including whether the soil is drained, rewetted or categorized as other, vegetation type, tree species, ecological zone or national land classification.  When Parties estimate emissions and removals or carbon stock change on dry and wet soils separately, they are encouraged to use this column to provide this disaggregation. When a Party reports emissions and removals from coastal wetlands areas that are not part of the total land area of the country, a Party may use appropriate subcategories for indicating whether the emissions and removals come from areas included or excluded from the total land area of the country.",,,,,,,,,,,,,,,,,,,
"(2)  The total area of the subcategories, in accordance with the sub-division used, should be entered here. For lands converted to grassland report the cumulative area remaining in the category in the reporting year. The total area should equal the area of mineral soil plus the area of organic soil by subcategory. ",,,,,,,,,,,,,,,,,,,
"(3) Carbon stock gains and losses should be listed separately except in cases where, due to the methods used, it is technically impossible to separate information on gains and losses.  ",,,,,,,,,,,,,,,,,,,
(4) The signs for estimates of gains in carbon stocks are positive (+) and of losses in carbon stocks are negative (–).  ,,,,,,,,,,,,,,,,,,,
(5) Parties who wish to do so may report annual on-site CO2-C emissions/removals and off-site CO2-C emissions from drained and rewetted organic soils here.,,,,,,,,,,,,,,,,,,,
(6)  No reporting on dead organic matter pools is required for category 4.C.1 Grassland remaining grassland. ,,,,,,,,,,,,,,,,,,,
"(7) When Parties cannot estimate carbon stock changes for organic and mineral soil separately, these should be reported under mineral soils.",,,,,,,,,,,,,,,,,,,
"(8) Where Parties directly estimate emissions and removals rather than carbon stock changes, they may report emissions/removals directly in this column and use notation keys in the stock change columns.",,,,,,,,,,,,,,,,,,,
"(9) A Party may report aggregated estimates for all land conversions to grassland, when data are not available to report them separately. A Party should specify in the documentation box which types of land conversion are included.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in Chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,
