"TABLE  4.E  SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,,,,,,,,,,,,,,,
Settlements,,,,,,,,,,,,,,,,,Submission 2023 v6,,,,,,,,,,,,,,,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,CYPRUS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (5),,,,,,,,,,,,,,,,
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,"Carbon stock change in living biomass(3), (4)",,,Net carbon stock change in dead organic matter(4),Net carbon stock change in soils(4),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gains,Losses,Net change,,Mineral soils,Organic soils,Gains,Losses,Net change,,Mineral soils,Organic soils,,,,,,,,,,,,,,,,,
,,,,,(t C/ha),,,,,,(kt C),,,,,,(kt),,,,,,,,,,,,,,,,
E.  Total settlements,,48.90,48.90,NO,0.00,-0.00,-0.00,"NO,NA",0.00,NO,0.00,-0.13,-0.13,"NO,NA",0.00,NO,0.46,,,,,,,,,,,,,,,,
1. Settlements remaining settlements,,48.87,48.87,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA,NO,"NO,NA",,,,,,,,,,,,,,,,
Cyprus,Cyprus,48.87,48.87,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA,NO,"NO,NA",,,,,,,,,,,,,,,,
2. Land converted to settlements,,0.03,0.03,NO,0.04,-4.34,-4.29,"NO,NA",0.13,NO,0.00,-0.13,-0.13,"NO,NA",0.00,NO,0.46,,,,,,,,,,,,,,,,
2.1 Forest land converted to settlements,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,
2.2 Cropland converted to settlements,,0.02,0.02,NO,0.04,-5.49,-5.45,NA,0.32,NO,0.00,-0.12,-0.12,NA,0.01,NO,0.42,,,,,,,,,,,,,,,,
2.3 Grassland converted to settlements,,0.01,0.01,NO,0.04,-1.20,-1.16,NA,-0.38,NO,0.00,-0.01,-0.01,NA,-0.00,NO,0.05,,,,,,,,,,,,,,,,
2.4 Wetlands converted to settlements,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,
2.5 Other Land converted to settlements,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1)   Land categories may be further divided according to climate zone, management system, soil type, including whether the soil is drained, rewetted or categorized as other, vegetation type, tree species, ecological zone or national land classification.  When Parties estimate emissions and removals or carbon stock change on dry and wet soils separately, they are encouraged to use this column to provide this disaggregation. When a Party reports emissions and removals from coastal wetlands areas that are not part of the total land area of the country, a Party may use appropriate subcategories for indicating whether the emissions and removals come from areas included or excluded from the total land area of the country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2) The total area of the subcategories, in accordance with the subdivision used, should be entered here.  For lands converted to settlements report the cumulative area remaining in the category in the reporting year. The total area should equal the area of mineral soil plus the area of organic soil by subcategory. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3)  Carbon stock gains and losses should be listed separately except in cases where, due to the methods used, it is technically impossible to separate information on gains and losses.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)  The signs for estimates of gains in carbon stocks are positive (+) and of losses in carbon stocks are negative (–).  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(5) Where Parties directly estimate emissions and removals rather than carbon stock changes, they may report emissions/removals directly in this column and use notation keys in the stock change columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in Chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
