"TABLE 4.F  SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,,,,,,,,,Inventory 1990,,
Other land,,,,,,,,,,,,,,,,,Submission 2023 v6,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,CYPRUS,,
,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,,ACTIVITY DATA,,,IMPLIED CARBON-STOCK-CHANGE FACTORS,,,,,,CHANGES IN CARBON STOCK AND NET CO2 EMISSIONS/REMOVALS FROM SOILS,,,,,,Net CO2 emissions/ removals(4) (5),,
Land-use category,Subdivision(1),"Total area(2)
(kha)","Area of mineral soil
(kha)","Area of organic soil
(kha)",Carbon stock change in living biomass per area(3) (4),,,Net carbon stock change in dead organic matter per area(4),Net carbon stock change in soils per area(4),,Carbon stock change in living biomass(3) (4),,,Net carbon stock change in dead organic matter(4),Net carbon stock change in soils(4),,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Gains,Losses,Net change,,Mineral soils,Organic soils,Gains,Losses,Net change,,Mineral soils,Organic soils,,,
,,,,,(t C/ha),,,,,,(kt C),,,,,,(kt),,
F. Total other land,,2.92,2.92,NO,NO,-0.01,-0.01,"NO,NA",-0.00,NO,NO,-0.02,-0.02,"NO,NA",-0.01,NO,0.11,,
1. Other land remaining other land(6),,2.91,2.91,NO,,,,,,,,,,,,,,,
2. Land converted to other land(7),,0.00,0.00,NO,NO,-5.14,-5.14,"NO,NA",-1.90,NO,NO,-0.02,-0.02,"NO,NA",-0.01,NO,0.11,,
2.1 Forest land converted to other land,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2.2 Cropland converted to other land,,0.00,0.00,NO,NO,-9.00,-9.00,NA,-1.90,NO,NO,-0.02,-0.02,NA,-0.00,NO,0.08,,
2.3 Grassland converted  to other land,,0.00,0.00,NO,NO,-1.20,-1.20,NA,-1.90,NO,NO,-0.00,-0.00,NA,-0.00,NO,0.02,,
2.4 Wetlands converted to other land,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2.5 Settlements converted to other land,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
.,,,,,,,,,,,,,,,,,,,
"(1)   Land categories may be further divided according to climate zone, management system, soil type, including whether the soil is drained, rewetted or categorized as other, vegetation type, tree species, ecological zone or national land classification. When Parties estimate emissions and removals or carbon stock change on dry and wet soils separately, they are encouraged to use this column to provide this disaggregation. ",,,,,,,,,,,,,,,,,,,
"(2) The total area of the subcategories, in accordance with the subdivision used, should be entered here. For lands converted to Other land report the cumulative area remaining in the category in the reporting year. The total area should equal the area of mineral soil plus the area of organic soil by subcategory. ",,,,,,,,,,,,,,,,,,,
"(3)  Carbon stock gains and losses should be listed separately except in cases where, due to the methods used, it is technically impossible to separate information on gains and losses.  ",,,,,,,,,,,,,,,,,,,
(4) The signs for estimates of gains in carbon stocks are positive (+) and of losses in carbon stocks are negative (–).  ,,,,,,,,,,,,,,,,,,,
"(5) Where Parties directly estimate emissions and removals rather than carbon stock changes, they may report emissions/removals directly in this column and use notation keys in the stock change columns.",,,,,,,,,,,,,,,,,,,
"(6)  This land-use category is to allow the total of identified land area to match the national area.  It includes bare soil, rock, ice and all land areas that do not fall into any other of the other five land-use categories.",,,,,,,,,,,,,,,,,,,
"(7) A Party may report aggregated estimates for all land conversions to other land, when data are not available to report them separately. A Party should specify in the documentation box which types of land conversion are included.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,
