"TABLE 4.G   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,Inventory 1990,,
Harvested wood products (HWP)(1),,,,,,Submission 2023 v6,,
(Sheet 1 of 2),,,,,,CYPRUS,,
,,,,,,,,
APPROACH  A(2),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES(3),HWP in use (IU) from domestic consumption,,,,Net emissions/ removals from HWP in use (6),,,
,Gains(4),Losses(4),Half-life(5),Annual change in stock (ΔC HWP  IU DC),,,,
,(t C),,(yr),(kt C),(kt CO2),,,
"TOTAL HWP                                               consumed domestically
(ΔC HWPdom  IU DC)","NE,NO","NE,NO",,"NE,NO",NO,,,
1. Solid wood(7),NE,NE,,NE,,,,
2. Paper and paperboard,NO,NO,NO,NO,NO,,,
3. Other (please specify),,,,,,,,
,,,,,,,,
Information item:(8),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,HWP in solid waste disposal sites (SWDS) from domestic consumption(9),,,,Net CO2 emissions/ removals from HWP in SWDS,Net CO2 emissions/ removals from HWP from domestic consumption (IU+SWDS),,
,Gains(4),Losses(4),Half-life(10) ,Annual change in stock (ΔC HWP SWDS DC),,,,
,(t C),,(yr/),(kt C),(kt CO2),(kt CO2),,
HWP in SWDS(11),NO,NO,NO,NO,NO,NO,,
,,,,,,,,
APPROACH  B(12),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES(3),HWP in use from domestic harvest,,,,Net emissions/ removals from HWP in use (6),,,
,Gains(4),Losses(4),Half-life(5),"Annual Change in stock
(ΔC HWP  IU DH)",,,,
,(t C),,(yr),(kt C),(kt CO2),,,
TOTAL HWP                                                         from domestic harvest (ΔC HWP  IU DH),8306.22,-8889.03,,-0.58,2.14,,,
1. Solid wood(7),8306.22,-8889.03,,-0.58,2.14,,,
Sawnwood,4564.77,-5128.97,35.00,-0.56,2.07,,,
Wood panels,3741.45,-3760.07,25.00,-0.02,0.07,,,
2. Paper and paperboard,NO,NO,2.00,NO,NO,,,
3. Other (please specify),NO,NO,,NO,NO,,,
Cyprus,NO,NO,NA,NO,NO,,,
HWP produced and consumed domestically    (ΔC HWPdom  IU DH)(13),,,,,,,,
Total,,,,,,,,
1. Solid wood(7),,,,,,,,
2. Paper and paperboard,,,,,,,,
3. Other (please specify),,,,,,,,
HWP produced and exported                             (ΔC HWPexp  IU DH)(13),,,,,,,,
Total,,,,,,,,
1. Solid wood(7),,,,,,,,
2. Paper and paperboard,,,,,,,,
3. Other (please specify),,,,,,,,
Information item:(8),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,HWP in solid waste disposal sites (SWDS) produced from domestic harvest(9),,,,Net CO2 emissions/ removals from HWP in SWDS,Net CO2 emissions/ removals from HWP from domestic harvest  (IU + SWDS),,
,Gains(4),Losses(4),Half-life(10) ,Annual change in stock (ΔC HWP SWDS DH),,,,
,(t C),,(yr),(kt C),(kt CO2),(kt CO2),,
HWP in SWDS(11),NE,NE,NA,NE,NE,NE,,
,,,,,,,,
APPROACH  C(14),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES(3),HWP in use from domestic consumption,,,,,,,
,Gains(4),Losses(4),Half-life(5),Annual change in stock   (ΔC HWP  IU DC),,,,
,(t C),,(yr),(kt C),,,,
TOTAL,,,,,,,,
1. Solid wood(7),,,,,,,,
2. Paper and paperboard,,,,,,,,
3. Other (please specify),,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Additional variables,,,Net CO2 emissions/ removals from HWP in use (6)        ,,,,
,Annual domestic harvest (H),"Annual imports of wood, and paper products + wood fuel, pulp, recovered paper, roundwood/chips            (Pim)","Annual exports of wood, and paper products + wood fuel, pulp, recovered paper, roundwood/chips     (Pex)",,,,,
,(kt C),(kt C),(kt C),(kt CO2),,,,
1. Solid wood,,,,,,,,
2. Paper and paperboard,,,,,,,,
3. Other (please specify),,,,,,,,
,,,,,,,,
Information item:(8) ,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,HWP in solid waste disposal sites (SWDS) from domestic consumption(9),,,,Net CO2 emissions/ removals from HWP in SWDS ,Net CO2 emissions/ removals from HWP  (IU+SWDS)(16),,
,Gains(4),Losses(4),Half-life(10) ,Annual change in stock (ΔC HWP SWSD DC),,,,
,(t C),,(yr),(kt C),(kt CO2),(kt CO2),,
HWP in SWDS(11),,,,,,,,
,,,,,,,,
(1) A Party should only provide data for the approach it has chosen to use for reporting on harvested wood products.,,,,,,,,
"(2) Stock change approach. Refer to equations 12.1, 12.2 and 12.A.2 of volume 4 of the 2006 IPCC Guidelines.",,,,,,,,
(3) Categories are defined in table 12.5 of volume 4 of the 2006 IPCC Guidelines. Countries may apply more detailed category breakdowns that better reflect their wood product industry.,,,,,,,,
"(4) Gains refers to annual carbon inflow to HWP pool, losses refers to annual carbon outflow from HWP pool.",,,,,,,,
"(5) Half-lives are needed when applying flux data methodology as suggested in equation 12.1 of volume 4 of the 2006 IPCC Guidelines.  Following default half-lives may be used for HWP in use: sawnwood 35 years, wood panels 25 years, paper and paperboard 2 years (based on Table 3a.1.3 of the IPCC good practice guidance for LULUCF).",,,,,,,,
"(6) For the purposes of reporting, the signs for removals are always negative (–) and for emissions positive (+).  ",,,,,,,,
"(7) If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. If detailed data are not available, Parties should include all emissions from solid wood under other solid wood products.      ",,,,,,,,
