"TABLE 4.G  SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,,Inventory 1990,,,,,,
Harvested wood products (HWP)(1),,,,,,,,,Submission 2023 v6,,,,,,
(Sheet 2 of 2),,,,,,,,,CYPRUS,,,,,,
,,,,,,,,,,,,,,,
HWP activity data(2),,,,,,,,,,,,,,,
Inventory 1990,Sawnwood ,,,Wood panels,,,Paper and paperboard,,,,,,,,
,Production,Imports,Exports,Production,Imports,Exports,Production,Imports,Exports,,,,,,
,m3,m3,m3,m3,m3,m3,metric t,metric t,metric t,,,,,,
….(3),,,,,,,,,,,,,,,
1960,24822.34,22556.81,NO,15064.22,4826.57,NO,NO,5122.07,NO,,,,,,
1961,25200.00,22900.00,100.00,15293.42,4900.00,NO,NO,5200.00,NO,,,,,,
1962,23200.00,48700.00,500.00,15526.10,5800.00,NO,NO,5200.00,NO,,,,,,
1963,22400.00,33300.00,NO,15762.32,5700.00,NO,NO,6100.00,NO,,,,,,
1964,16100.00,29400.00,300.00,16002.14,4900.00,NO,NO,6500.00,NO,,,,,,
1965,22800.00,35700.00,100.00,16245.61,5300.00,NO,NO,7500.00,NO,,,,,,
1966,14400.00,31300.00,100.00,16492.78,8143.00,NO,NO,7800.00,NO,,,,,,
1967,14700.00,34100.00,NO,16743.71,9564.00,NO,NO,9300.00,NO,,,,,,
1968,16000.00,42600.00,NO,16998.45,17974.00,NO,NO,10900.00,NO,,,,,,
1969,13700.00,46000.00,NO,17257.08,15764.00,NO,NO,13700.00,NO,,,,,,
1970,16000.00,51700.00,NO,17519.64,12585.00,NO,NO,15800.00,NO,,,,,,
1971,16900.00,62300.00,500.00,17786.19,24348.00,NO,NO,21100.00,NO,,,,,,
1972,20500.00,70000.00,400.00,18056.80,21858.00,NO,NO,20200.00,NO,,,,,,
1973,18000.00,65100.00,200.00,18331.53,38464.00,NO,NO,25500.00,NO,,,,,,
1974,21000.00,37500.00,3000.00,18610.43,19327.00,NO,NO,21800.00,NO,,,,,,
1975,38100.00,600.00,3000.00,18893.58,16400.00,NO,NO,14900.00,NO,,,,,,
1976,70400.00,15000.00,2000.00,19181.04,20000.00,1400.00,NO,22800.00,NO,,,,,,
1977,74800.00,47000.00,1600.00,19472.87,11400.00,1200.00,NO,27800.00,NO,,,,,,
1978,71600.00,64800.00,2800.00,19769.15,11200.00,1200.00,NO,35900.00,NO,,,,,,
1979,83100.00,66100.00,500.00,20069.93,23500.00,100.00,NO,43700.00,NO,,,,,,
1980,76000.00,53900.00,300.00,20375.28,22800.00,200.00,NO,50000.00,NO,,,,,,
1981,63500.00,58900.00,100.00,20685.28,14200.00,200.00,NO,52100.00,NO,,,,,,
1982,72500.00,48300.00,1000.00,21000.00,20000.00,100.00,NO,47300.00,NO,,,,,,
1983,55300.00,58600.00,1600.00,22000.00,15700.00,NO,NO,43200.00,NO,,,,,,
1984,58600.00,68000.00,1300.00,23000.00,26600.00,NO,NO,52100.00,NO,,,,,,
1985,62700.00,62000.00,1300.00,24000.00,27500.00,NO,NO,49000.00,NO,,,,,,
1986,59000.00,49400.00,1300.00,23000.00,32500.00,200.00,NO,36800.00,NO,,,,,,
1987,57300.00,52500.00,NO,24000.00,45500.00,100.00,NO,48000.00,NO,,,,,,
1988,55400.00,52500.00,NO,24000.00,45500.00,3000.00,NO,48000.00,NO,,,,,,
1989,60000.00,72400.00,NO,22000.00,78100.00,900.00,NO,34800.00,NO,,,,,,
1990,22000.00,72400.00,NO,13800.00,78100.00,900.00,NO,34800.00,NO,,,,,,
.            ,,,,,,,,,,,,,,,
  (1) This table is only included for the latest reported inventory year in the CRF.,,,,,,,,,,,,,,,
  (2) Information should be provided on how activity data from the period from 1900 to the first year of the tabulated time series has been computed (equations 12.1 and 12.6 of volume 4 of the 2006 IPCC Guidelines). ,,,,,,,,,,,,,,,
  (3) Provide activity data from the first year for which they are available.,,,,,,,,,,,,,,,
Note:  Information as outlined in the table above should be provided where tier 1 or tier 2 methods have been used (volume 4 of the 2006 IPCC Guidelines). Further information shall be provided in the relevant sections of the NIR.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Additional information,,,,,,,,,,,,,,,
Factors used to convert from product units to carbon,,,,,,,,,,,,,,,
1. Solid wood(a),NA,,,,,,,,,,,,,,
Sawnwood,0.23,,,,,,,,,,,,,,
Wood panels,0.29,,,,,,,,,,,,,,
2. Paper and paperboard(a),0.45,,,,,,,,,,,,,,
3. Other (please specify),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
(a) A Party may apply different categories in case tier 3 methods are available. ,,,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,
