TABLE 8  RECALCULATION - RECALCULATED DATA,,,,,,,,,,,,,,,,,Recalculated year:,Inventory 1990
(Sheet 1 of 4),,,,,,,,,,,,,,,,,,Submission 2023 v6
,,,,,,,,,,,,,,,,,,CYPRUS
,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2,,,,,,CH4,,,,,,N2O,,,,,
,Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3)
,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,
Total national emissions and removals,4348.18,4491.73,143.55,3.30,2.58,2.65,755.13,776.48,21.35,2.83,0.38,0.39,219.17,147.72,-71.46,-32.60,-1.28,-1.32
1. Energy,3932.90,3921.78,-11.12,-0.28,-0.20,-0.21,14.13,14.17,0.03,0.24,0.00,0.00,27.82,18.40,-9.42,-33.86,-0.17,-0.17
A. Fuel combustion activities,3932.90,3921.78,-11.12,-0.28,-0.20,-0.21,13.68,13.71,0.03,0.24,0.00,0.00,27.82,18.40,-9.42,-33.86,-0.17,-0.17
1.  Energy Industries,1761.49,1761.49,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,3.66,3.66,0.00,0.00,0.00,0.00
2.  Manufacturing industries and construction,512.20,502.34,-9.86,-1.93,-0.18,-0.18,0.99,0.98,-0.01,-1.16,-0.00,-0.00,1.53,1.51,-0.02,-1.31,-0.00,-0.00
3.  Transport,1217.82,1216.56,-1.26,-0.10,-0.02,-0.02,7.89,7.88,-0.00,-0.04,-0.00,-0.00,21.74,12.35,-9.40,-43.23,-0.17,-0.17
4.  Other sectors,430.40,430.40,0.00,0.00,0.00,0.00,2.76,2.81,0.05,1.73,0.00,0.00,0.86,0.86,-0.00,-0.06,-0.00,-0.00
5.  Other,10.99,10.99,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00
B. Fugitive emissions from fuels,"NO,NE","NO,NE",,,,,0.45,0.45,0.00,0.00,0.00,0.00,"NO,NE","NO,NE",,,,
1.  Solid fuels,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,
2.  Oil and natural gas,"NO,NE","NO,NE",,,,,0.45,0.45,0.00,0.00,0.00,0.00,"NO,NE","NO,NE",,,,
C. CO2 Transport and storage,NO,NO,,,,,,,,,,,,,,,,
2.  Industrial processes and product use,718.50,721.26,2.76,0.38,0.05,0.05,"NO,NE,NA","NO,NE,NA",,,,,3.93,3.93,0.00,0.00,0.00,0.00
A.  Mineral industry,717.07,717.07,0.00,0.00,0.00,0.00,,,,,,,,,,,,
B.  Chemical industry,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,
C.  Metal industry,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,
D.  Non-energy products from fuels and solvent use,1.43,4.19,2.76,193.68,0.05,0.05,"NE,NA","NE,NA",,,,,"NE,NA","NE,NA",,,,
G.  Other product manufacture and use ,IE,IE,,,,,NE,NE,,,,,3.93,3.93,0.00,0.00,0.00,0.00
H.  Other ,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,
,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 4.,,,,,,,,,,,,,,,,,,
