TABLE 8  RECALCULATION - RECALCULATED DATA,,,,,,,,,,,,,,,,,Recalculated year:,Inventory 1990
(Sheet 3 of 4),,,,,,,,,,,,,,,,,,Submission 2023 v6
,,,,,,,,,,,,,,,,,,CYPRUS
,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2,,,,,,CH4,,,,,,N2O,,,,,
,Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3)
,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,
5.  Waste,"NO,NA","NO,NA",,,,,431.23,425.39,-5.84,-1.35,-0.10,-0.11,9.80,9.80,0.00,0.00,0.00,0.00
A.  Solid waste disposal ,"NO,NA","NO,NA",,,,,301.21,295.37,-5.84,-1.94,-0.10,-0.11,,,,,,
B.  Biological treatment of solid waste,,,,,,,NO,NO,,,,,NO,NO,,,,
C.  Incineration and open burning of waste,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,
D.  Waste water treatment and discharge,,,,,,,130.02,130.02,0.00,0.00,0.00,0.00,9.80,9.80,0.00,0.00,0.00,0.00
E.  Other ,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,
6.  Other (as specified in summary 1.A),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Memo items: ,,,,,,,,,,,,,,,,,,
International bunkers,900.89,900.89,0.00,0.00,0.00,0.00,0.52,0.52,0.00,0.00,0.00,0.00,7.34,7.34,0.00,0.00,0.00,0.00
Aviation,718.10,718.10,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,5.32,5.32,0.00,0.00,0.00,0.00
Navigation,182.79,182.79,0.00,0.00,0.00,0.00,0.38,0.38,0.00,0.00,0.00,0.00,2.01,2.01,0.00,0.00,0.00,0.00
Multilateral operations,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,
CO2 emissions from biomass,30.50,30.50,0.00,0.00,0.00,0.00,,,,,,,,,,,,
CO2 captured,NO,NO,,,,,,,,,,,,,,,,
Long-term storage of C in waste disposal sites,NE,NE,,,,,,,,,,,,,,,,
Indirect N2O,,,,,,,,,,,,,"NO,NE","NO,NE",,,,
,,,,,,,,,,,,,,,,,,
Indirect CO2 ,6.49,5.21,-1.28,-19.75,-0.02,-0.02,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 4.,,,,,,,,,,,,,,,,,,
