TABLE 8  RECALCULATION - RECALCULATED DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recalculated year:,Inventory 1990,
(Sheet 4 of 4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submission 2023 v6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYPRUS,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,HFCs,,,,,,PFCs,,,,,,SF6,,,,,,Unspecified mix of HFCs and PFCs,,,,,,NF3,,,,,,
,Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),
,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,
Total Actual Emissions,"NO,NE","NO,NE",,,,,NO,NO,,,,,2.73,2.73,0.00,0.00,0.00,0.00,NO,NO,,,,,NO,NO,,,,,
2.B.9. Flurochemical production,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,
2.B.10. Other,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,
2.C.3. Aluminium production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.C.4. Magnesium production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.C.7. Other,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,
2.E.1.  Integrated circuit or semiconductor,,,,,,,,,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,
2.E.2.  TFT flat panel display,,,,,,,,,,,,,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,,
