"TABLE 4(KP) RECALCULATIONS.  REPORT OF SUPPLEMENTARY INFORMATION FOR LAND USE, LAND-USE CHANGE AND FORESTRY ACTIVITIES UNDER THE KYOTO PROTOCOL",,,,,,,,,,,,,,,,,NEW ZEALAND
Information on Recalculations - Recalculated data for KP-LULUCF,,,,,,,,,,,,,,,,,Inventory 1990
,,,,,,,,,,,,,,,,,Submission 2023 v3
,,,,,,,,,,,,,,,,,
Activities,,CO2,,,,CH4,,,,N2O,,,,Total net emissions/removals,,,
,,Previous submission,Latest submission,Difference,Difference(1) ,Previous submission,Latest submission,Difference,Difference(1) ,Previous submission,Latest submission,Difference,Difference(1) ,Previous submission,Latest submission,Difference,Difference(1) 
,,(kt),,,(%),(kt),,,(%),(kt),,,(%),CO2 equivalent (kt),,,(%)
"4 (KP).  Land Use, Land-Use Change and Forestry",,,,,,,,,,,,,,,,,
4 (KP-I) A.1,Afforestation and reforestation,,,,,,,,,,,,,,,,
,Carbon stock change in above-ground biomass,,,,,,,,,,,,,,,,
,Carbon stock change in below-ground biomass,,,,,,,,,,,,,,,,
,Net carbon stock change in litter,,,,,,,,,,,,,,,,
,Net carbon stock change in dead wood,,,,,,,,,,,,,,,,
,Net carbon stock change in mineral soils,,,,,,,,,,,,,,,,
,Net carbon stock change in organic soils,,,,,,,,,,,,,,,,
,Net carbon stock change in HWP,,,,,,,,,,,,,,,,
4 (KP-I) A.2,Deforestation,,,,,,,,,,,,,,,,
,Carbon stock change in above-ground biomass,,,,,,,,,,,,,,,,
,Carbon stock change in below-ground biomass,,,,,,,,,,,,,,,,
,Net carbon stock change in litter,,,,,,,,,,,,,,,,
,Net carbon stock change in dead wood,,,,,,,,,,,,,,,,
,Net carbon stock change in mineral soils,,,,,,,,,,,,,,,,
,Net carbon stock change in organic soils,,,,,,,,,,,,,,,,
,Net carbon stock change in HWP,,,,,,,,,,,,,,,,
4 (KP-I) B.1,Forest management,,,,,,,,,,,,,,,,
,Carbon stock change in above-ground biomass,,,,,,,,,,,,,,,,
,Carbon stock change in below-ground biomass,,,,,,,,,,,,,,,,
,Net carbon stock change in litter,,,,,,,,,,,,,,,,
,Net carbon stock change in dead wood,,,,,,,,,,,,,,,,
,Net carbon stock change in mineral soils,,,,,,,,,,,,,,,,
,Net carbon stock change in organic soils,,,,,,,,,,,,,,,,
,Net carbon stock change in HWP,,,,,,,,,,,,,,,,
4 (KP-I) B.2,Cropland management (if elected),,,,,,,,,,,,,,,,
,Carbon stock change in above-ground biomass,,,,,,,,,,,,,,,,
,Carbon stock change in below-ground biomass,,,,,,,,,,,,,,,,
,Net carbon stock change in litter,,,,,,,,,,,,,,,,
,Net carbon stock change in dead wood,,,,,,,,,,,,,,,,
,Net carbon stock change in mineral soils,,,,,,,,,,,,,,,,
,Net carbon stock change in organic soils,,,,,,,,,,,,,,,,
4 (KP-I) B.3,Grazing land management (if elected),,,,,,,,,,,,,,,,
,Carbon stock change in above-ground biomass,,,,,,,,,,,,,,,,
,Carbon stock change in below-ground biomass,,,,,,,,,,,,,,,,
,Net carbon stock change in litter,,,,,,,,,,,,,,,,
,Net carbon stock change in dead wood,,,,,,,,,,,,,,,,
,Net carbon stock change in mineral soils,,,,,,,,,,,,,,,,
,Net carbon stock change in organic soils,,,,,,,,,,,,,,,,
4 (KP-I) B.4,Revegetation (if elected),,,,,,,,,,,,,,,,
,Carbon stock change in above-ground biomass,,,,,,,,,,,,,,,,
,Carbon stock change in below-ground biomass,,,,,,,,,,,,,,,,
,Net carbon stock change in litter,,,,,,,,,,,,,,,,
,Net carbon stock change in dead wood,,,,,,,,,,,,,,,,
,Net carbon stock change in mineral soils,,,,,,,,,,,,,,,,
,Net carbon stock change in organic soils,,,,,,,,,,,,,,,,
4 (KP-I) B.5,Wetland drainage and rewetting (if elected),,,,,,,,,,,,,,,,
,Carbon stock change in above-ground biomass,,,,,,,,,,,,,,,,
,Carbon stock change in below-ground biomass,,,,,,,,,,,,,,,,
,Net carbon stock change in litter,,,,,,,,,,,,,,,,
,Net carbon stock change in dead wood,,,,,,,,,,,,,,,,
,Net carbon stock change in drained soils,,,,,,,,,,,,,,,,
,Net carbon stock change in rewetted soils,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Natural disturbances,,CO2 equivalents,,,,,,,,,,,,,,,
,,Previous submission,Latest submission,Difference,Difference(1) ,,,,,,,,,,,,
,,(kt),,,(%),,,,,,,,,,,,
4 (KP-I) A.1,Afforestation and reforestation,,,,,,,,,,,,,,,,
,Background level for natural disturbances,,,,,,,,,,,,,,,,
,Margin,,,,,,,,,,,,,,,,
4 (KP-I) B.1,Forest management,,,,,,,,,,,,,,,,
,Background level for natural disturbances,,,,,,,,,,,,,,,,
,Margin,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"(1) Estimate the percentage change due to recalculation with respect to the previous submission (percentage change = 100 x [(LS-PS)/PS], where LS = latest submission and PS = previous submission. All cases of recalculation of the estimate of the source/sink category should be addressed and explained in the NIR. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Documentation box:  ,,,,,,,,,,,,,,,,,
Parties should provide detailed information on recalculations in chapter 11 of the NIR. Use this documentation box to provide references to other relevant sections of the NIR.,,,,,,,,,,,,,,,,,
