"TABLE 4(KP-I)A.1.1.  SUPPLEMENTARY BACKGROUND FOR LAND USE, LAND-USE CHANGE AND FORESTRY  (1)",,,,,,,,,,,,,,
ACTIVITIES UNDER THE KYOTO PROTOCOL,,,,,,,,,,,,,,NEW ZEALAND
Article 3.3 activities: Afforestation and reforestation,,,,,,,,,,,,,,Inventory 1990
Additional information: Emissions and removals from natural disturbance,,,,,,,,,,,,,,Submission 2023 v3
,,,,,,,,,,,,,,
Identification code of geographic location(2),IDENTIFICATION OF NATURAL DISTURBANCES EVENT ,,AREA SUBJECT TO NATURAL DISTURBANCES IN THE YEAR WHEN IT WAS FIRST REPORTED ,,EMISSIONS FROM AREAS SUBJECT TO  NATURAL DISTURBANCES,,,,,Background level(7),Margin(7),Trigger test(8),ACCOUNTING QUANTITIES,
,,,Area subject to natural disturbances in the year when it was first reported ,Area subject to natural disturbances in the inventory year,Total emissions(4),,,Salvage Logging(5),Emissions from natural disturbances(6),,,,Emissions in inventory year that can be exluded in the inventory year(9),Subsequent removals in inventory year(10)
,Year of natural disturbances(3),Disturbance type ,,,CO2,CH4,N2O,,,,,,Emissions,Removals
,,,(kha),,(kt C),(kt),,(kt CO2 eq),,(kt CO2 eq),,(Yes/No),(kt CO2 eq),
Total for inventory year,,,,,,,,,,,,,,
"Total for 2013 natural disturbances(11), (12)",Year: 2013,"Total for 2013 natural disturbances(11), (12)",,,,,,,,,,,,
2013,Year: 2013,2013.00,,,,,,,,,,,,
Wildfire,Year: 2013,Wildfire,,,,,,,,,,,,
"Total for 2014 natural disturbances(11), (12)",Year: 2014,"Total for 2014 natural disturbances(11), (12)",,,,,,,,,,,,
"Total for 2015 natural disturbances(11), (12)",Year: 2015,"Total for 2015 natural disturbances(11), (12)",,,,,,,,,,,,
"Total for 2016 natural disturbances(11), (12)",Year: 2016,"Total for 2016 natural disturbances(11), (12)",,,,,,,,,,,,
"Total for 2017 natural disturbances(11), (12)",Year: 2017,"Total for 2017 natural disturbances(11), (12)",,,,,,,,,,,,
"Total for 2018 natural disturbances(11), (12)",Year: 2018,"Total for 2018 natural disturbances(11), (12)",,,,,,,,,,,,
"Total for 2019 natural disturbances(11), (12)",Year: 2019,"Total for 2019 natural disturbances(11), (12)",,,,,,,,,,,,
"Total for 2020 natural disturbances(11), (12)",Year: 2020,"Total for 2020 natural disturbances(11), (12)",,,,,,,,,,,,
.,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,
Parties should provide detailed explanation on how the subsequent removals to be excluded from accounting are calculated in relevant annex of the NIR. Use this documentation box to provide references to relevant sections of the NIR if any additional details are needed to understand the content of this table.,,,,,,,,,,,,,,
Documentation box,"-: New Zealand has not yet applied the natural disturbance provision as yet so there is nothing to report in this table

- Total for 2013 natural distu: New Zealand has not yet applied the natural disturbance provision as yet so there is nothing to report in this table

- 2013: New Zealand has not yet applied the natural disturbance provision as yet so there is nothing to report in this table
",,,,,,,,,,,,,
,,,,,,,,,,,,,,
(1) Reporting in this table is required by Parties which apply the provision to exclude emissions from natural disturbances in accordance with paragraphs 33 and 34 in the annex to decision 2/CMP.7 and have indicated their intent to apply the referred provision in their report to facilitate the calculation of the assigned amount in accordance with paragraph 1(k) in annex I to decision 2/CMP.8.,,,,,,,,,,,,,,
(2) Geographic location refers to the boundaries of the areas that encompass the lands subject to natural disturbances under afforestation and reforestation.,,,,,,,,,,,,,,
(3) Year when the natural disturbance took place.,,,,,,,,,,,,,,
"(4) The Party should report here emissions from natural disturbances. The values reported here should be consistent with, although not necessarily equal to, information provided in tables 4(KP-I)A.1 and  4(KP-II)4. Regardless of the method used to estimate carbon stock changes, the Party needs to provide information in the NIR on how CO2 emissions from natural disturbances were singled out, if necessary.",,,,,,,,,,,,,,
(5) Emissions from salvage logging in the inventory year (information on how emissions from salvage logging have been estimated should be provided in the NIR).,,,,,,,,,,,,,,
(6) Emissions reported here shall not include salvage logging emissions.,,,,,,,,,,,,,,
"(7) Information on the calculation of the background level and the margin should be provided in the NIR, including any recalculations made to the background level and the margin to maintain methodological consistency with the reported emissions.",,,,,,,,,,,,,,
"(8) If emissions from natural disturbances exceed the background level plus the margin, if a margin is needed, this cell should report ""yes"".",,,,,,,,,,,,,,
"(9) Emissions that can be excluded from the accounting in the inventory year equal ""emissions from natural disturbances"" minus the ""background level"". ",,,,,,,,,,,,,,
"(10) Parties should document in the document box below, and in the NIR, how the subsequent removals to be excluded from accounting are calculated. Parties should also document that the methodology used is consistent with that used for the background level and margin, if applied. Parties should indicate in the documentation box where this information can be found in the NIR.",,,,,,,,,,,,,,
"(11) Disturbances should be listed by year and type of disturbance (in this order, totals by year of natural disturbances to be included).  Multiple  natural disturbances events of the same type, such as fires due to  a severe drought period, can be grouped provided that all relevant information is provided in the NIR or annexes to the NIR. Also in the case that an area is subject to multiple types of disturbances, additional information on how double-counting of emissions and removals is avoided should be provided in the NIR. Also in the case that the area is subject to disturbances in multiple years, additional information on how double counting of emissions and removals from these areas is avoided should be provided in the NIR. ",,,,,,,,,,,,,,
"(12) Parties should report emissions from natural disturbances that occurred in the inventory year. Parties could also report delayed emissions from natural disturbances that have occurred in previous years, if consistent with the methodology used in the calculation of the background level.",,,,,,,,,,,,,,
