TABLE 4(KP-I)A.2.   SUPPLEMENTARY BACKGROUND DATA ON CARBON STOCK CHANGES AND NET CO2 EMISSIONS AND ,,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVALS FOR LAND USE, LAND-USE CHANGE AND FORESTRY ACTIVITIES UNDER THE KYOTO PROTOCOL",,,,,,,,,,,,,,,,,,,,,,,,,,NEW ZEALAND
"Article 3.3 activities: Deforestation(1), (2)",,,,,,,,,,,,,,,,,,,,,,,,,,Inventory 1990
,,,,,,,,,,,,,,,,,,,,,,,,,,Submission 2023 v3
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOGRAPHIC LOCATION(3),ACTIVITY DATA,,,,IMPLIED CARBON STOCK CHANGE FACTORS,,,,,,,,,,CHANGE IN CARBON STOCK,,,,,,,,,,"Net carbon stock change in HWP (5), (9)",Net CO2 emissions/ removals(10)
Identification code ,Subdivision(4),Area subject to the activity,Area of mineral soils,Area of organic soils,"Carbon stock change in above-ground biomass per area(5), (6)",,,"Carbon stock change in below-ground biomass per area(5), (6)",,,Net carbon stock change in litter per area(5),Net carbon stock change in dead wood per area(5),Net carbon stock change in soils per area(5),,"Carbon stock change in above-ground biomass(5), (6)",,,"Carbon stock change in below-ground biomass (5), (6)",,,Net carbon stock change in litter(5),Net carbon stock change in dead wood(5),Net carbon stock change in soils(5),,,
,,,,,Gains,Losses, Net change,Gains,Losses, Net change,,,Mineral soils,Organic soils(7),Gains,Losses, Net change,Gains,Losses, Net change,,,Mineral soils,"Organic soils(7), (8)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(kha),,,(t C/ha),,,,,,,,,,(kt C),,,,,,,,,,,(kt CO2)
Total for activity A.2 (11),,,,,,,,,,,,,,,,,,,,,,,,,,
Subtotal,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtotal,Subtotal,,,,,,,,,,,,,,,,,,,,,,,,,
All deforestation land,All deforestation land,,,,,,,,,,,,,,,,,,,,,,,,,
"Deforested land previously reported under afforestation/reforestation and forest management  and subject to natural disturbances (12), (13)",,,,,,,,,,,,,,,,,,,,,,,,,,
Subtotal,,,,,,,,,,,,,,,,,,,,,,,,,,
Land previously reported under afforestation and reforestation,Land previously reported under afforestation and reforestation,,,,,,,,,,,,,,,,,,,,,,,,,
Wildfire,Wildfire,,,,,,,,,,,,,,,,,,,,,,,,,
Land previously reported under forest management,Land previously reported under forest management,,,,,,,,,,,,,,,,,,,,,,,,,
Wildfire,Wildfire,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
