TABLE 4(KP-I)B.1   SUPPLEMENTARY BACKGROUND DATA ON CARBON STOCK CHANGES AND NET CO2 EMISSIONS AND ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVALS FOR LAND USE, LAND-USE CHANGE AND FORESTRY ACTIVITIES UNDER THE KYOTO PROTOCOL",,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ZEALAND
Article 3.4 activities: Forest management (1),,,,,,,,,,,,,,,,,,,,,,,,,,,Inventory 1990
,,,,,,,,,,,,,,,,,,,,,,,,,,,Submission 2023 v3
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOGRAPHIC LOCATION (2),ACTIVITY DATA,,,,,IMPLIED CARBON STOCK CHANGE FACTORS,,,,,,,,,,CHANGE IN CARBON STOCK,,,,,,,,,,,Net CO2 emissions/ removals(9)
Identification code ,Subdivision,Year (3),Area subject to the activity,Area of mineral soils,Area of organic soils,"Carbon stock change in above-ground biomass per area(4), (5)",,,"Carbon stock change in below-ground biomass per area(4), (5)",,,Net carbon stock change in litter per area(4),Net carbon stock change in dead wood per area(4),Net carbon stock change in soils per area(4),,"Carbon stock change in above-ground biomass(4),  (5)",,,"Carbon stock change in below-ground biomass(4),  (5)",,,Net carbon stock change in litter(4),Net carbon stock change in dead wood(4),Net carbon stock change in soils(4),,"Net carbon stock change in HWP(4), (8)",
,,,,,,Gains,Losses, Net change,Gains,Losses, Net change,,,Mineral soils,Organic soils(6),Gains,Losses, Net change,Gains,Losses, Net change,,,Mineral soils,"Organic soils(6), (7)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(kha),,,(t C/ha),,,,,,,,,,(kt C),,,,,,,,,,,(kt CO2)
Total for activity B.1(10),,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtotal,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtotal,Subtotal,,,,,,,,,,,,,,,,,,,,,,,,,,
All forest management land,All forest management land,,,,,,,,,,,,,,,,,,,,,,,,,,
Newly established forest(CEF-ne)(11),,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtotal ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newly established forest plantations,Newly established forest plantations,,,,,,,,,,,,,,,,,,,,,,,,,,
Newly established,Newly established,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvested and converted forest plantations (CEF-hc),,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtotal ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvested and converted forest plantations,Harvested and converted forest plantations,,,,,,,,,,,,,,,,,,,,,,,,,,
