"TABLE 4(KP-I)B.1.2.  SUPPLEMENTARY BACKGROUND FOR LAND USE, LAND-USE CHANGE AND FORESTRY ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTIVITIES UNDER THE KYOTO PROTOCOL,,,,,,,,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,
Article 3.4 activities: Forest management,,,,,,,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional information: Carbon equivalent forests (1),,,,,,,,,Submission 2023 v3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARVESTED AND CONVERTED FOREST PLANTATION (CEF-hc),,,,,NEWLY ESTABLISHED FOREST (CEF-ne),,,,,Difference between carbon stock in the inventory year  and the carbon stock at the time of harvest(6),,,,,,,,,,,,,,,,,,,,,,,,,
Geographic location(2),Identification code(3),Area,Normal harvesting cycle,Carbon stock at harvesting,Identification code(3),Current Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Subdivision,Area(4),Age of forest,Carbon stock(5),,,,,,,,,,,,,,,,,,,,,,,,,,
,,(kha),Years,(kt C),,,(kha),Years,(kt C),(kt C),,,,,,,,,,,,,,,,,,,,,,,,,
Carbon equivalent forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanation on the land use, land-use change and forestry sector in the relevant annex of the NIR: ""Supplementary information on LULUCF activities under the Kyoto Protocol"". Use this documentation box to provide references to relevant sections of the NIR if any additional details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1)    Reporting is required in this table only by Parties that apply the provision in decision 2/CMP.7, annex, paragraphs 37-39.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)    Geographical location refers to the boundaries of the areas that encompass land subject to forest management.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)    A subcategory under the relevant  geographic location should be constructed in such a way that reported information on the harvested and converted forest plantation area and the corresponding newly established forest area can be combined. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)   The area of the newly established forest needs to be at least equivalent to the area of the harvested forest plantation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(5)    The carbon stock in the newly established forested area should reach that of the harvested and converted area at the time of harvest within the normal harvesting cycle of the harvested and converted forest plantation.  If this criteria is not met, a debit should be included under the relevant category in table B.1. Additional information on the assumed growth (function) should be provided in the NIR. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(6)    This column compares the carbon stock in the newly established forest with the expected carbon stock at the time of harvest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
