TABLE 4(KP-I)B.2.   SUPPLEMENTARY BACKGROUND DATA ON CARBON STOCK CHANGES AND NET CO2 EMISSIONS AND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVALS FOR LAND USE, LAND-USE CHANGE AND FORESTRY ACTIVITIES UNDER THE KYOTO PROTOCOL",,,,,,,,,,,,,,,,,,,,,,,,,NEW ZEALAND,,,,,,,,
"Elected Article 3.4 activities: Cropland management(1), (2)",,,,,,,,,,,,,,,,,,,,,,,,,Inventory 1990,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Submission 2023 v3,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOGRAPHIC LOCATION (3),ACTIVITY DATA,,,,IMPLIED CARBON STOCK CHANGE FACTORS,,,,,,,,,,CHANGE IN CARBON STOCK,,,,,,,,,,Net CO2 emissions/ removals(9),,,,,,,,
Identification code ,Subdivision(4),Area subject to the activity,Area of mineral soils,Area of organic soils,"Carbon stock change in above-ground biomass per area(5), (6)",,,"Carbon stock change in below-ground biomass per area(5), (6)",,,Net carbon stock change in litter per area(5),Net carbon stock change in dead wood per area(5),Net carbon stock change in soils per area(5),,"Carbon stock change in above-ground biomass(5), (6)",,,"Carbon stock change in below-ground biomass(5), (6)",,,Net carbon stock change in litter(5),Net carbon stock change in dead wood(5),Net carbon stock change in soils(5),,,,,,,,,,
,,,,,Gains,Losses, Net change,Gains,Losses, Net change,,,Mineral soils,Organic soils(7),Gains,Losses, Net change,Gains,Losses, Net change,,,Mineral soils,"Organic soils(7), (8)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(kha),,,(t C/ha),,,,,,,,,,(kt C),,,,,,,,,,(kt CO2),,,,,,,,
Total for activity B.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parties should provide detailed explanation on the land use, land-use change and forestry sector in the relevant annex of the NIR. ""Supplementary information on LULUCF activities under the Kyoto Protocol"". Use this documentation box to provide references to relevant sections of the NIR if any additional details are needed to understand the content of this table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1)      If Cropland management has been elected, report here information on anthropogenic carbon stock change for the inventory year for all geographic locations that encompass land subject to cropland management under Article 3.4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2)    If cropland management has been elected, this table and all relevant CRF tables shall also be reported for the base year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)    Geographic location refers to the boundaries of the areas that encompass land subject to cropland management (if elected). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4)    Activity data may be further subdivided according to climate zone, management system, soil type, vegetation type, tree species, ecological zone, national land classification or other criteria. Complete one row for each subdivision.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5)      The signs for estimates of gains in carbon stocks are positive (+) and of losses in carbon stocks are negative (-).  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(6)      Carbon stock gains and losses should be listed separately except in cases where, due to the methods used, it is technically impossible to separate information on gains and losses.  In that case, net gains should be reported in the ""Gains"" column and net losses should be reported in the ""Losses"" column.  The notation key IE should be filled in, in the other column.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(7)     The value reported here is an emission or removal and not a carbon stock change.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(8)    CO2 emissions from dissolved organic carbon from drained and CO2 emissions/removals from rewetted organic soils may also be included here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(9)     For the purposes of reporting, the signs for removals are always negative (-) and for emissions positive (+). Net changes in carbon stocks are converted to CO2 by multiplying C by 44/12 and changing the sign for net CO2 removals to be negative (-) and for net CO2 emissions to be positive (+).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
