"TABLE 4(KP-II)2.  SUPPLEMENTARY BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY ",,,,,,,,,,,,
ACTIVITIES UNDER THE KYOTO PROTOCOL,,,,,NEW ZEALAND,,,,,,,
"CH4 and N2O emissions from drained and rewetted organic soils(1), (2), (3)",,,,,Inventory 1990,,,,,,,
,,,,,Submission 2023 v3,,,,,,,
 ,,,,,,,,,,,,
Identification code of geographical location(4),ACTIVITY DATA,IMPLIED EMISSION FACTOR,,EMISSIONS,,,,,,,,
,Area,N2O-N per area(5),CH4 per area,N2O(6),CH4(7),,,,,,,
,(kha),(kg N2O-N/ha),(kg CH4/ha),(kt),,,,,,,,
A.1.  Afforestation and reforestation,,,,,,,,,,,,
Total for organic soils A.1.,,,,,,,,,,,,
Drained organic soils A.1.,,,,,,,,,,,,
Rewetted organic soils A.1.,,,,,,,,,,,,
A.2.  Deforestation,,,,,,,,,,,,
Total for organic soils A.2.,,,,,,,,,,,,
Drained organic soils A.2.,,,,,,,,,,,,
Rewetted organic soils A.2.,,,,,,,,,,,,
B.1.  Forest management,,,,,,,,,,,,
Total for organic soils B.1.,,,,,,,,,,,,
Drained organic soils B.1.,,,,,,,,,,,,
Rewetted organic soils B.1.,,,,,,,,,,,,
B.2.  Cropland management (if elected),,,,,,,,,,,,
Total for organic soils B.2.,,,,,,,,,,,,
Drained organic soils B.2.,,,,,,,,,,,,
Rewetted organic soils B.2.,,,,,,,,,,,,
B.3.  Grazing land management (if elected),,,,,,,,,,,,
Total for organic soils B.3.,,,,,,,,,,,,
Drained organic soils B.3.,,,,,,,,,,,,
Rewetted organic soils B.3.,,,,,,,,,,,,
B.4.  Revegetation (if elected),,,,,,,,,,,,
Total for organic soils B.4.,,,,,,,,,,,,
Drained organic soils B.4.,,,,,,,,,,,,
Rewetted organic soils B.4.,,,,,,,,,,,,
B.5.  Wetland drainage and rewetting (if elected) (7),,,,,,,,,,,,
Total for organic soils B.5.,,,,,,,,,,,,
Drained organic soils B.5.,,,,,,,,,,,,
Rewetted organic soils B.5.,,,,,,,,,,,,
,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,
"Parties should provide detailed explanation on the land use, land-use change and forestry sector in the relevant annex of the NIR: ""Supplementary information on LULUCF activities under the Kyoto Protocol"". Use this documentation box to provide references to relevant sections of the NIR if any additional details are needed to understand the content of this table.",,,,,,,,,,,,
Documentation box,"-: No methodology is provided in good practice guidance for methane emissions
-: No methodology is provided in good practice guidance",,,,,,,,,,,
Documentation box,"-: No methodology is provided in good practice guidance
-: No methodology is provided in good practice guidance",,,,,,,,,,,
Documentation box,-: No methodology is provided in good practice guidance,,,,,,,,,,,
Documentation box,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,
Documentation box,,,,,,,,,,,,
,,,,,,,,,,,,
"(1)        Methodologies for CH4 and N2O emissions from drained and rewetted soils  are given in the ""Wetlands Supplement"" for all land-use categories.",,,,,,,,,,,,
(2)       N2O emissions from drained cropland and grazing land soils are covered in the agriculture sector under cultivation of histosols.,,,,,,,,,,,,
"(3)       For activities other than wetland drainage and rewetting, a Party may choose to include CH4 emissions from drained, rewetted and other organic soils. A Party should provide detailed information on methodologies, emissions and removals from these subdivisions in the NIR, ensuring consistency in reporting among categories.",,,,,,,,,,,,
(4)      Geographical location refers to the boundaries of the areas that encompass land subject to the listed activities.,,,,,,,,,,,,
"(5)    In the calculation of the implied emission factor, N2O emissions are converted to N2O-N by multiplying by 28/44.",,,,,,,,,,,,
(6)    Only N2O emissions which have not been reported under agriculture should be included here.,,,,,,,,,,,,
"(7)    Also includes emissions from drainage ditches, as appropriate. Detailed data should be provided in the NIR. On-site CH4 emissions from rice cultivation are included in the agriculture sector. Parties should avoid double counting.",,,,,,,,,,,,
