"TABLE NIR 3.  SUMMARY OVERVIEW FOR KEY CATEGORIES FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,
ACTIVITIES UNDER THE KYOTO PROTOCOL,,,,,
,,,,,
,,,,,
 KEY CATEGORIES OF EMISSIONS AND REMOVALS,Gas,CRITERIA USED FOR KEY CATEGORY IDENTIFICATION,,,Comments(4)
,,Associated category in UNFCCC inventory(1) is key (indicate which category),Category contribution is greater than the smallest category considered key in the UNFCCC inventory(2) (including LULUCF),Other(3),
Specify key categories according to the national level of disaggregation used(1),,,,,
Afforestation and Reforestation,,,,,
CO2,CO2,,,,
Deforestation,,,,,
CO2,CO2,,,,
,,,,,
(1)    See section 2.3.6 of the 2013 Revised Supplementary Methods and Good Practice Guidance Arising from the Kyoto Protocol.,,,,,
"(2)   If the emissions or removals of the category exceed the emissions of the smallest category identified as key in the UNFCCC inventory (including LULUCF), Parties should indicate YES. If not, Parties should indicate NO.",,,,,
(3)    This should include qualitative assessment as per section 4.3.3 of the 2006 IPCC Guidelines or any other criteria.,,,,,
"(4)   Indicate the criteria  (level, trend of both) identifying the category as key.",,,,,
