SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES,,,,,,,,,,,,Inventory 1990
(Sheet 1 of 3),,,,,,,,,,,,Submission 2023 v3
,,,,,,,,,,,,NEW ZEALAND
,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals,CH4,N2O,HFCs(1),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6,NF3,NOx,CO ,NMVOC,SO2
,(kt),,,(kt CO2 equivalent),,,(kt),,,,,
Total national emissions and removals,4937.34,1305.96,20.24,"NO,NA",909.95,"NO,NA",0.00,"NO,NA",102.49,622.55,143.68,58.60
1. Energy,22486.66,46.96,0.74,,,,,,99.51,555.58,108.68,50.62
A. Fuel combustion     Reference approach(2),22978.91,,,,,,,,,,,
                                           Sectoral approach(2),22026.93,8.09,0.74,,,,,,99.51,555.58,94.47,47.87
1.  Energy industries,5979.07,0.10,0.02,,,,,,22.42,2.36,0.47,7.92
2.  Manufacturing industries and construction                          ,4676.53,1.17,0.17,,,,,,21.09,25.26,3.41,24.97
3.  Transport,7936.45,3.17,0.37,,,,,,39.40,377.04,73.91,5.16
4.  Other sectors,3434.88,3.66,0.17,,,,,,16.60,150.93,16.68,9.82
5.  Other,,,,,,,,,,,,
B. Fugitive emissions from fuels,459.73,38.86,0.00,,,,,,"NO,NE","NO,NE",14.21,2.75
1.  Solid fuels,"NO,NA",13.12,NO,,,,,,NO,NO,NO,NO
2.  Oil and natural gas and other emissions from energy production,459.73,25.74,0.00,,,,,,"NO,NE","NO,NE",14.21,2.75
C. CO2 Transport and storage,NO,,,,,,,,,,,
2.  Industrial processes and product use,2519.96,1.10,0.34,"NO,NA",909.95,NA,0.00,NA,1.88,29.66,35.00,7.97
A.  Mineral industry,561.87,,,,,,,,"NO,NA","NO,NA","NO,NA",0.60
B.  Chemical industry,175.40,1.10,"NO,NA",NA,NA,NA,NA,NA,0.43,0.05,0.31,1.34
C.  Metal industry,1757.51,"NO,NA",,,909.95,,0.00,,1.44,29.61,"NO,NA,NE",5.95
D.  Non-energy products from fuels and solvent use ,25.17,NA,NA,,,,,,0.01,0.00,28.02,0.01
E.  Electronic industry ,,,,,,,,,,,,
F.  Product uses as substitutes for ODS,,,,"NO,NA",NO,,,,,,,
G.  Other product manufacture and use ,NA,NA,0.34,,NO,,0.00,,NA,NA,6.67,0.07
H.  Other(3),,,,,,,,,,,,
,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,
