SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES,,,,,,,,,,,,Inventory 1990,
(Sheet 2 of 3),,,,,,,,,,,,Submission 2023 v3,
,,,,,,,,,,,,NEW ZEALAND,
,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND,CO2,CH4,N2O,HFCs (1),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6,NF3,NOx,CO ,NMVOC,SO2,
SINK CATEGORIES,,,,,,,,,,,,,
,(kt),,,(kt CO2 equivalent),,,(kt),,,,,,
3.  Agriculture,335.68,1108.20,17.69,,,,,,0.58,19.00,"NO,NE,IE,NA",,
A.  Enteric fermentation,,1078.42,,,,,,,,,,,
B.  Manure management,,28.88,0.17,,,,,,,,"NO,NE,NA",,
C.  Rice cultivation,,NO,,,,,,,,,NO,,
D.  Agricultural soils,,NE,17.51,,,,,,NO,NO,NE,,
E.  Prescribed burning of savannas,,IE,IE,,,,,,IE,IE,IE,,
F.  Field burning of agricultural residues,,0.90,0.02,,,,,,0.58,19.00,NE,,
G. Liming,296.48,,,,,,,,,,,,
H. Urea application,39.19,,,,,,,,,,,,
I.  Other carbon-contining fertilizers,NE,,,,,,,,,,,,
J.  Other ,,,,,,,,,,,,,
"4.  Land use, land-use change and forestry  (4)",-20565.17,2.73,1.09,,,,,,0.52,18.30,"NE,NA",NA,
A. Forest land (4),-19275.86,0.70,0.72,,,,,,0.09,3.15,NE,,
B. Cropland (4),469.02,"NE,IE",0.03,,,,,,NE,NE,NE,,
C. Grassland (4),641.98,2.03,0.21,,,,,,0.43,15.16,NE,,
D. Wetlands (4),-8.44,"NE,NO",0.00,,,,,,NE,NE,NE,,
E. Settlements (4),75.68,"NE,NA",0.00,,,,,,NE,NE,NE,,
F. Other land (4),13.66,"NE,NA",0.00,,,,,,NE,NE,NE,,
G. Harvested wood products ,-2481.21,,,,,,,,,,,,
H. Other  (4),NA,NA,NA,,,,,,NA,NA,NA,NA,
5.  Waste,158.91,146.89,0.38,,,,,,"NO,NE","NO,NE","NO,NE",NE,
A.  Solid waste disposal (5),"NO,NA",132.73,,,,,,,NE,NE,NE,,
B.  Biological treatment of solid waste (5),,0.11,0.01,,,,,,"NO,NE","NO,NE","NO,NE",,
C.  Incineration and open burning of waste (5),158.91,5.09,0.10,,,,,,NE,NE,NE,NE,
D.  Wastewater treatment and discharge,,8.96,0.28,,,,,,NE,NE,NE,,
E.  Other (5),,,,,,,,,,,,,
6.  Other   (please specify)(6),1.30,0.07,0.00,NO,NO,NO,NO,NO,"NO,NE","NO,NE","NO,NE","NO,NE",
,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,
