SUMMARY 2   SUMMARY REPORT FOR CO2 EQUIVALENT EMISSIONS,,,,,,,,,Inventory 1990,
(Sheet 1 of 1),,,,,,,,,Submission 2023 v3,
,,,,,,,,,NEW ZEALAND,
,,,,,,,,,,
GREENHOUSE GAS SOURCE AND ,CO2(1),CH4,N2O,HFCs ,PFCs,SF6,Unspecified mix of HFCs and PFCs,NF3,Total ,
SINK CATEGORIES,CO2 equivalent (kt ),,,,,,,,,
Total (net emissions)(1),4937.34,32649.06,6032.52,"NO,NA",909.95,19.97,"NO,NA","NO,NA",44548.84,
1. Energy,22486.66,1173.92,219.73,,,,,,23880.30,
A. Fuel combustion (sectoral approach),22026.93,202.37,219.67,,,,,,22448.97,
1.  Energy industries,5979.07,2.50,5.30,,,,,,5986.88,
2.  Manufacturing industries and construction,4676.53,29.20,51.99,,,,,,4757.72,
3.  Transport,7936.45,79.27,110.47,,,,,,8126.19,
4.  Other sectors,3434.88,91.40,51.91,,,,,,3578.19,
5.  Other,,,,,,,,,,
B. Fugitive emissions from fuels,459.73,971.54,0.06,,,,,,1431.33,
1.  Solid fuels,"NO,NA",328.03,NO,,,,,,328.03,
2.  Oil and natural gas,459.73,643.51,0.06,,,,,,1103.30,
C. CO2 transport and storage,NO,,,,,,,,NO,
2.  Industrial processes and product use,2519.96,27.60,102.45,"NO,NA",909.95,19.97,NA,NA,3579.92,
A.  Mineral industry,561.87,,,,,,,,561.87,
B.  Chemical industry,175.40,27.60,"NO,NA",NA,NA,NA,NA,NA,203.00,
C.  Metal industry,1757.51,"NO,NA",,,909.95,2.74,,,2670.20,
D.  Non-energy products from fuels and solvent use,25.17,NA,NA,,,,,,25.17,
E.  Electronic Industry ,,,,,,,,,,
F.  Product uses as ODS substitutes ,,,,"NO,NA",NO,,,,"NO,NA",
G.  Other product manufacture and use ,NA,NA,102.45,,NO,17.24,,,119.68,
H.  Other ,,,,,,,,,,
3.  Agriculture,335.68,27705.07,5271.30,,,,,,33312.05,
A.  Enteric fermentation,,26960.43,,,,,,,26960.43,
B.  Manure management,,722.02,49.72,,,,,,771.73,
C.  Rice cultivation,,NO,,,,,,,NO,
D.  Agricultural soils,,NE,5216.82,,,,,,5216.82,
E.  Prescribed burning of savannas,,IE,IE,,,,,,IE,
F.  Field burning of agricultural residues,,22.62,4.77,,,,,,27.39,
G. Liming,296.48,,,,,,,,296.48,
H. Urea application,39.19,,,,,,,,39.19,
I.  Other carbon-containing fertilizers,NE,,,,,,,,NE,
J.  Other ,,,,,,,,,,
"4. Land use, land-use change and forestry(1)",-20565.17,68.36,325.58,,,,,,-20171.23,
A. Forest land,-19275.86,17.53,213.16,,,,,,-19045.18,
B. Cropland,469.02,"NE,IE",7.49,,,,,,476.52,
C. Grassland,641.98,50.83,64.00,,,,,,756.82,
D. Wetlands,-8.44,"NE,NO",0.00,,,,,,-8.44,
E. Settlements ,75.68,"NE,NA",0.00,,,,,,75.69,
F. Other land,13.66,"NE,NA",0.10,,,,,,13.77,
G. Harvested wood products,-2481.21,,,,,,,,-2481.21,
H. Other       ,NA,NA,NA,,,,,,NA,
5.  Waste,158.91,3672.33,113.39,,,,,,3944.63,
A.  Solid waste disposal ,"NO,NA",3318.20,,,,,,,3318.20,
B.  Biological treatment of solid waste,,2.74,1.96,,,,,,4.70,
C.  Incineration and open burning of waste,158.91,127.35,29.46,,,,,,315.72,
D.  Waste water treatment and discharge,,224.04,81.97,,,,,,306.01,
E.  Other ,,,,,,,,,,
6.  Other (as specified in summary 1.A),1.30,1.78,0.09,NO,NO,NO,NO,NO,3.17,
6. Tokelau_1. Energy,1.25,0.01,0.01,NO,NO,NO,NO,NO,1.26,
6. Tokelau_2. Industrial Processes and Product Use,NO,NO,0.05,NO,NO,NO,NO,NO,0.05,
6. Tokelau_3. Agriculture,NO,1.15,NO,NO,NO,NO,NO,NO,1.15,
6. Tokelau_5. Waste,0.05,0.63,0.03,NO,NO,NO,NO,NO,0.71,
Memo items:(2),,,,,,,,,,
International bunkers,2349.10,2.19,22.35,,,,,,2373.64,
Aviation,1321.65,0.23,11.01,,,,,,1332.90,
Navigation,1027.45,1.96,11.34,,,,,,1040.74,
Multilateral operations,NO,NO,NO,,,,,,NO,
CO2 emissions from biomass,3937.74,,,,,,,,3937.74,
CO2 captured,"NO,IE,NA",,,,,,,,"NO,IE,NA",
Long-term storage of C in waste disposal sites,2534.78,,,,,,,,2534.78,
Indirect N2O,,,40.81,,,,,,,
Indirect CO2 (3),"NO,NE",,,,,,,,,
"Total CO2 equivalent emissions without land use, land-use change and forestry",,,,,,,,,64720.07,
"Total CO2 equivalent emissions with land use, land-use change and forestry",,,,,,,,,44548.84,
"Total CO2 equivalent emissions, including indirect CO2,  without land use, land-use change and forestry",,,,,,,,,NA,
"Total CO2 equivalent emissions, including indirect CO2,  with land use, land-use change and forestry",,,,,,,,,NA,
,,,,,,,,,,
"(1)     For carbon dioxide (CO2) from land use, land-use change and forestry the net emissions/removals are to be reported.  For the purposes of reporting, the signs for removals are always negative (-) and for emissions positive (+). ",,,,,,,,,,
(2)     See footnote 7 to table Summary 1.A.,,,,,,,,,,
"(3)    In accordance with the UNFCCC Annex I inventory reporting guidelines, for Parties that decide to report indirect CO2, the national totals shall be provided with and  without indirect CO2.",,,,,,,,,,
