SUMMARY 3   SUMMARY REPORT FOR  METHODS AND EMISSION FACTORS USED ,,,,,,,,,,,,,,,,Inventory 1990
(Sheet 1 of 2),,,,,,,,,,,,,,,,Submission 2023 v3
,,,,,,,,,,,,,,,,NEW ZEALAND
,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK ,CO2,,CH4,,N2O,,HFCs,,PFCs,,SF6,,Unspecified mix of HFCs and PFCs,,NF3,
CATEGORIES,Method applied,Emission factor,Method applied,Emission factor,Method applied,Emission factor,Method applied,Emission factor,Method applied,Emission factor,Method applied,Emission factor,Method applied,Emission factor,Method applied,Emission factor
1. Energy,"T1,T2,T3","CS,D,OTH,PS","T1,T2,T3","CS,D,OTH",T1,"CS,D",,,,,,,,,,
A. Fuel combustion ,"T2,T3",CS,T1,"CS,D",T1,"CS,D",,,,,,,,,,
1.  Energy industries,T2,CS,T1,D,T1,D,,,,,,,,,,
2.  Manufacturing industries and construction,T2,CS,T1,D,T1,D,,,,,,,,,,
3.  Transport,"T2,T3",CS,T1,"CS,D",T1,"CS,D",,,,,,,,,,
4.  Other sectors,T2,CS,T1,D,T1,D,,,,,,,,,,
5.  Other ,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,"T1,T2,T3","CS,D,OTH,PS","T1,T2,T3","CS,D,OTH",T1,D,,,,,,,,,,
1.  Solid fuels,,,"T1,T2","CS,D",,,,,,,,,,,,
2.  Oil and natural gas,"T1,T2,T3","CS,D,OTH,PS","T1,T3","CS,D,OTH",T1,D,,,,,,,,,,
C. CO2 transport and storage,,,,,,,,,,,,,,,,
2.  Industrial processes,"CS,T1,T2,T3","CS,D",T1,D,T1,D,,,T1,D,T1,"CS,D",,,,
A.  Mineral industry,"CS,T1","CS,D",,,,,,,,,,,,,,
B.  Chemical industry,"T1,T2","CS,D",T1,D,,,,,,,,,,,,
C.  Metal industry,"T1,T2,T3","CS,D",,,,,,,T1,D,T1,D,,,,
D.  Non-energy products from fuels and solvent use,T1,D,,,,,,,,,,,,,,
E.  Electronic industry ,,,,,,,,,,,,,,,,
F.  Product uses as ODS substitutes ,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,,,,,T1,D,,,,,T1,"CS,D",,,,
H.  Other ,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Use the following notation keys to specify the method applied:,,,,,,,,,,,,,,,,
D (IPCC default),,"T1a, T1b, T1c (IPCC Tier 1a, Tier 1b and Tier 1c, respectively) ",,,,,CR (CORINAIR),,M (model),,,,,,,
RA (Reference Approach) ,,T2 (IPCC Tier 2),,,,,CS (Country Specific),,,,,,,,,
T1 (IPCC Tier 1) ,,T3 (IPCC Tier 3),,,,,OTH (Other),,,,,,,,,
"If using more than one method within one source category, list all the relevant methods. Explanations regarding country-specific methods, other methods or any modifications to the default IPCC methods, as well as  information regarding the use of different methods per source category where more than one method is indicated, should be provided in the documentation box. Also use the documentation box to explain the use of notation OTH. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Use the following notation keys to specify the emission factor used:,,,,,,,,,,,,,,,,
D (IPCC default),,CS (Country Specific) ,,,OTH (Other),,,,,,,,,,,
CR (CORINAIR),,PS (Plant Specific),,,M (model),,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Where a mix of emission factors has been used, list all the methods in the relevant cells and give further explanations in the documentation box. Also use the documentation box to explain the use of notation OTH.",,,,,,,,,,,,,,,,
