TABLE 1.A(a)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,,Inventory 1990
Fuel combustion activities - sectoral approach,,,,,,,,,Submission 2023 v3
(Sheet 1 of 4),,,,,,,,,NEW ZEALAND
,,,,,,,,,
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,AGGREGATE ACTIVITY DATA,,IMPLIED EMISSION FACTORS,,,EMISSIONS,,,
,Consumption ,, CO2(1),CH4,N2O, CO2(2),CH4,N2O,CO2
,,,,,,,,,Amount captured
,(TJ),NCV/GCV(3),(t/TJ),(kg/TJ),,(kt),,,
1.A. Fuel combustion,386313.91,GCV,,,,22026.93,8.09,0.74,NO
Liquid fuels,176440.63,GCV,66.81,19.84,3.00,11788.74,3.50,0.53,NO
Solid fuels,35219.59,GCV,90.96,41.28,1.42,3203.74,1.45,0.05,NO
Gaseous fuels,129749.70,GCV,54.16,2.79,0.14,7027.14,0.36,0.02,NO
Other fossil fuels(4),90.68,GCV,80.63,11.53,8.78,7.31,0.00,0.00,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),44813.30,GCV,87.87,61.98,3.08,,2.78,0.14,NO
1.A.1. Energy industries,104775.88,GCV,,,,5979.07,0.10,0.02,NO
Liquid fuels,12511.07,GCV,63.10,1.37,0.21,789.45,0.02,0.00,NO
Solid fuels,5205.67,GCV,91.20,0.95,1.42,474.76,0.00,0.01,NO
Gaseous fuels,86740.20,GCV,54.36,0.90,0.09,4714.86,0.08,0.01,NO
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),318.95,GCV,49.17,0.90,0.09,15.68,0.00,0.00,NO
a.  Public electricity and heat production(7),62652.30,GCV,,,,3484.93,0.06,0.01,NO
Liquid fuels,144.96,GCV,72.91,2.62,0.57,10.57,0.00,0.00,NO
Solid fuels,5205.67,GCV,91.20,0.95,1.42,474.76,0.00,0.01,NO
Gaseous fuels,56982.72,GCV,52.64,0.89,0.09,2999.61,0.05,0.01,NO
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),318.95,GCV,49.17,0.90,0.09,15.68,0.00,0.00,NO
b.  Petroleum refining,12366.11,GCV,,,,778.88,0.02,0.00,NO
Liquid fuels,12366.11,GCV,62.99,1.35,0.20,778.88,0.02,0.00,NO
Solid fuels,NO,GCV,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,GCV,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,NO
c.  Manufacture of solid fuels and other energy industries(8),29757.48,GCV,,,,1715.25,0.03,0.00,NO
Liquid fuels,NO,GCV,NO,NO,NO,NO,NO,NO,NO
Solid fuels,NO,GCV,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,29757.48,GCV,57.64,0.90,0.09,1715.25,0.03,0.00,NO
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,NO
,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 4.,,,,,,,,,
,,,,,,,,,
"Note:  For the coverage of fuel categories, refer to the 2006 IPCC Guidelines (chapter 1 of energy volume, section 1.4.1.1, page 1.11). If some derived gases (e.g. gas works, gas, coke oven gas, blast furnace gas) are considered, Parties should provide information on the allocation of these derived gases under the above fuel categories (liquid, solid, gaseous, biomass and other fuels) in the NIR (see also documentation box at the end of sheet 4 of this table).",,,,,,,,,
