TABLE 1.A(a)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,,Inventory 1990
Fuel combustion activities - sectoral approach,,,,,,,,,Submission 2023 v3
(Sheet 2 of 4),,,,,,,,,NEW ZEALAND
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,AGGREGATE ACTIVITY DATA,,IMPLIED EMISSION FACTORS,,,EMISSIONS,,,
,Consumption ,, CO2(1)   ,CH4,N2O, CO2(2),CH4,N2O, CO2
,,,,,,,,,Amount captured
,(TJ),NCV/GCV(3),(t/TJ),(kg/TJ),,(kt),,,
1.A.2 Manufacturing industries and construction,101602.58,GCV,,,,4676.53,1.17,0.17,NO
Liquid fuels,12030.49,GCV,68.93,6.03,2.12,829.28,0.07,0.03,NO
Solid fuels,24230.38,GCV,91.07,9.45,1.42,2206.69,0.23,0.03,NO
Gaseous fuels,30323.40,GCV,54.10,0.90,0.09,1640.56,0.03,0.00,NO
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),35018.31,GCV,89.41,23.97,3.20,3130.95,0.84,0.11,NO
a.  Iron and steel,2193.86,GCV,,,,116.16,0.00,0.00,NO
Liquid fuels,IE,GCV,"NO,IE",IE,IE,IE,IE,IE,NO
Solid fuels,IE,GCV,"NO,IE",IE,IE,IE,IE,IE,NO
Gaseous fuels,2193.86,GCV,52.95,0.90,0.09,116.16,0.00,0.00,NO
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,GCV,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,NO
b.  Non-ferrous metals,632.62,GCV,,,,37.76,0.00,0.00,NO
Liquid fuels,275.58,GCV,68.42,9.36,2.17,18.85,0.00,0.00,NO
Solid fuels,NO,GCV,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,357.04,GCV,52.95,0.90,0.09,18.91,0.00,0.00,NO
