TABLE 1.A(a)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,Inventory 1990,
Fuel combustion activities - sectoral approach,,,,,,,,Submission 2023 v3,
(Sheet 3 of 4),,,,,,,,NEW ZEALAND,
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,AGGREGATE ACTIVITY DATA,,IMPLIED EMISSION FACTORS,,,EMISSIONS,,,
,Consumption ,, CO2(1)        ,CH4,N2O, CO2(2),CH4,N2O,
,,,,,,,,,
,(TJ),NCV/GCV(3),(t/TJ),(kg/TJ),,(kt),,,
1.A.3  Transport,119460.11,GCV,,,,7936.45,3.17,0.37,
Liquid fuels,116626.24,GCV,66.74,25.30,3.12,7783.34,2.95,0.36,
Solid fuels,NO,GCV,NO,NO,NO,NO,NO,NO,
Gaseous fuels,2753.87,GCV,52.95,79.71,2.60,145.82,0.22,0.01,
Other fossil fuels(4),80.00,GCV,91.20,9.38,1.31,7.30,0.00,0.00,
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,
a.  Domestic aviation(10),13873.74,GCV,,,,940.31,0.01,0.03,
Aviation gasoline,723.64,GCV,65.89,0.48,1.90,47.68,0.00,0.00,
Jet kerosene,13150.10,GCV,67.88,0.48,1.90,892.63,0.01,0.02,
Biomass,NO,GCV,NO,NO,NO,NO,NO,NO,
b.  Road transportation(11),100887.57,GCV,,,,6659.33,3.14,0.31,
Gasoline,79562.50,GCV,65.88,35.67,3.42,5241.94,2.84,0.27,
Diesel oil,16982.54,GCV,69.14,4.62,1.62,1174.18,0.08,0.03,
Liquefied petroleum gases (LPG),1692.54,GCV,60.79,0.70,0.09,102.89,0.00,0.00,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Gaseous fuels,2650.00,GCV,52.95,82.80,2.70,140.32,0.22,0.01,
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,
Other fossil fuels (please specify)(4),NO,GCV,,,,NO,NO,NO,
i.  Cars,100865.18,GCV,,,,6658.15,3.14,0.31,
Gasoline,79562.50,GCV,65.88,35.67,3.42,5241.94,2.84,0.27,
Diesel oil,16982.54,GCV,69.14,4.62,1.62,1174.18,0.08,0.03,
Liquefied petroleum gases (LPG),1692.54,GCV,60.79,0.70,0.09,102.89,0.00,0.00,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Gaseous fuels,2627.61,GCV,52.95,82.80,2.70,139.13,0.22,0.01,
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,
Other fossil fuels (please specify)(4),NO,GCV,,,,NO,NO,NO,
Biodiesel (fossil fraction),NO,GCV,NO,NO,NO,NO,NO,NO,
ii.  Light duty trucks,"NO,IE",GCV,,,,"NO,IE","NO,IE","NO,IE",
Gasoline,IE,GCV,IE,IE,IE,IE,IE,IE,
Diesel oil,IE,GCV,IE,IE,IE,IE,IE,IE,
Liquefied petroleum gases (LPG),IE,GCV,IE,IE,IE,IE,IE,IE,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Gaseous fuels,NO,GCV,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,
Other fossil fuels (please specify)(4),NO,GCV,,,,NO,NO,NO,
Biodiesel (fossil fraction),NO,GCV,NO,NO,NO,NO,NO,NO,
iii.  Heavy duty trucks and buses,22.39,GCV,,,,1.19,0.00,0.00,
Gasoline,IE,GCV,IE,IE,IE,IE,IE,IE,
Diesel oil,IE,GCV,IE,IE,IE,IE,IE,IE,
Liquefied petroleum gases (LPG),IE,GCV,IE,IE,IE,IE,IE,IE,
Other liquid fFuels (please specify),NO,,,,,NO,NO,NO,
Gaseous fuels,22.39,GCV,52.95,82.80,2.70,1.19,0.00,0.00,
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,
Other fossil fuels (please specify)(4),NO,GCV,,,,NO,NO,NO,
Biodiesel (fossil fraction),NO,GCV,NO,NO,NO,NO,NO,NO,
iv.  Motorcycles,"NO,IE",GCV,,,,"NO,IE","NO,IE","NO,IE",
Gasoline,IE,GCV,IE,IE,IE,IE,IE,IE,
Diesel oil,NO,GCV,NO,NO,NO,NO,NO,NO,
Liquefied petroleum gases (LPG),NO,GCV,NO,NO,NO,NO,NO,NO,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Gaseous fuels,NO,GCV,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,
Other fossil fuels (please specify)(4),NO,,,,,NO,NO,NO,
v.  Other (please specify),,,,,,,,,
c.  Railways,1133.80,GCV,,,,78.39,0.00,0.03,
Liquid fuels,1133.80,GCV,69.14,3.94,27.17,78.39,0.00,0.03,
Solid fuels,NO,GCV,NO,NO,NO,NO,NO,NO,
Gaseous fuels,NO,GCV,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,
Other fossil  fuels (please specify),NO,,,,,NO,NO,NO,
d.  Domestic Navigation(10) ,3461.12,GCV,,,,252.92,0.02,0.01,
Residual fuel oil,3197.10,GCV,72.85,6.65,1.90,232.90,0.02,0.01,
Gas/diesel oil,184.02,GCV,69.14,3.70,3.70,12.72,0.00,0.00,
Gasoline,NO,GCV,NO,NO,NO,NO,NO,NO,
Other liquid fuels (please specify),NO,,,,,NO,NO,NO,
Gaseous fuels,NO,GCV,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,
Other fossil fuels (please specify)(4),80.00,GCV,,,,7.30,0.00,0.00,
Coal,80.00,GCV,91.20,9.38,1.31,7.30,0.00,0.00,
e.  Other transportation (please specify),103.87,GCV,,,,5.50,0.00,0.00,
Liquid fuels,NO,GCV,NO,NO,NO,NO,NO,NO,
Solid fuels,NO,GCV,NO,NO,NO,NO,NO,NO,
Gaseous fuels,103.87,GCV,52.95,0.90,0.09,5.50,0.00,0.00,
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,
i. Pipeline transport,103.87,GCV,,,,5.50,0.00,0.00,
Liquid fuels,NO,GCV,NO,NO,NO,NO,NO,NO,
Solid fuels,NO,GCV,NO,NO,NO,NO,NO,NO,
Gaseous fuels,103.87,GCV,52.95,0.90,0.09,5.50,0.00,0.00,
Other fossil fuels(4),NO,GCV,NO,NO,NO,NO,NO,NO,
Biomass(6),NO,GCV,NO,NO,NO,NO,NO,NO,
ii. Other (please specify),,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 4.,,,,,,,,,
