TABLE 1.A(b)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,,,,,,,,,,,Inventory 1990,,,,,,
CO2 from fuel combustion activities - reference approach  (IPCC worksheet fuel combustion activities) ,,,,,,,,,,,,,,,,,,Submission 2023 v3,,,,,,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,,NEW ZEALAND,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FUEL TYPES,,,Unit,Production,Imports,Exports,International,Stock change,Apparent,Conversion,NCV/ GCV (2),Apparent,Carbon emission,Carbon ,Carbon ,Net carbon,Fraction of,Actual CO2,,,,,,
,,,,,,,bunkers,,consumption,factor          ,,consumption,factor,content,stored[C excluded],emissions,carbon,emissions,,,,,,
,,,,,,,,,,(TJ/Unit)1,,(TJ),(t C/TJ),(kt),(kt C),((kt) C),oxidized,((kt) CO2),,,,,,
Liquid fossil ,Primary fuels,Crude oil,PJ,71.78,143.77,38.32,,-3.51,180.73,1000.00,GCV,180732.96,19.05,3442.96,NO,3442.96,1.00,12624.20,,,,,,
,,Orimulsion,PJ,NO,NO,NO,,NO,NO,NO,GCV,NO,NO,NO,NO,NO,NO,NO,,,,,,
,,Natural gas liquids,PJ,IE,IE,IE,,IE,IE,1000.00,GCV,IE,NA,"IE,NA",NO,"NO,IE,NA",1.00,"NO,IE,NA",,,,,,
,Secondary fuels ,Gasoline,PJ,,13.32,1.84,0.01,-32.00,43.46,1000.00,GCV,43457.35,17.98,781.57,NO,781.57,1.00,2865.76,,,,,,
,,Jet kerosene,PJ,,1.97,4.83,19.89,0.03,-22.78,1000.00,GCV,-22780.57,18.53,-422.12,NO,-422.12,1.00,-1547.78,,,,,,
,,Other kerosene,PJ,,NO,NO,0.00,-0.05,0.05,1000.00,GCV,45.54,17.97,0.82,NO,0.82,1.00,3.00,,,,,,
,,Shale oil,PJ,,NO,NO,,NO,NO,NO,GCV,NO,NO,NO,NO,NO,NO,NO,,,,,,
,,Gas/diesel oil,PJ,,0.44,10.18,5.93,-0.40,-15.27,1000.00,GCV,-15273.73,18.86,-288.01,NO,-288.01,1.00,-1056.03,,,,,,
