TABLE 1.A(c)  COMPARISON OF CO2 EMISSIONS FROM FUEL COMBUSTION,,,,,,,Inventory 1990,,,
Comparison of CO2 emissions from fuel combustion,,,,,,,Submission 2023 v3,,,
(Sheet 1 of 1),,,,,,,NEW ZEALAND,,,
,,,,,,,,,,
FUEL TYPES,REFERENCE APPROACH,,,SECTORAL APPROACH(1),,DIFFERENCE(2),,,,
,,,,,,,,,,
,Apparent energy consumption(3),"Apparent energy consumption (excluding non-energy use, reductants and feedstocks) (4)",CO2 emissions ,Energy consumption ,CO2 emissions(5),Energy consumption ,CO2 emissions(6),,,
,(PJ),(PJ),(kt),(PJ),(kt),(%),(%),,,
Liquid fuels (excluding international bunkers),188.23,232.83,12620.93,176.44,11788.74,31.96,7.06,,,
Solid fuels (excluding international bunkers),52.21,37.78,3448.63,35.22,3203.74,7.27,7.64,,,
Gaseous fuels,145.81,91.11,6909.35,129.75,7027.14,-29.78,-1.68,,,
Other fossil fuels,"NO,NE",NE,"NO,NE",0.09,7.31,-100.00,-100.00,,,
Peat,"NO,NE",NE,"NO,NE",NO,NO,"NO,NE","NO,NE",,,
Total(5),386.25,361.72,22978.91,341.50,22026.93,5.92,4.32,,,
,,,,,,,,,,
"(1)   ""Sectoral approach"" is used to indicate the approach (if different from the reference approach) used by the Party to estimate  carbon dioxide (CO2) emissions from fuel combustion as reported in table 1.A(a), sheets 1-4. ",,,,,,,,,,
"(2)   Difference in CO2 emissions estimated by the reference approach (RA) and the sectoral approach (SA)  (difference = 100% x ((RA-SA)/SA)). For calculating the difference in energy consumption between the two approaches, data as reported in the column ""Apparent energy consumption (excluding non-energy use, reductants and feedstocks)"" are used for the reference approach.",,,,,,,,,,
,,,,,,,,,,
(3)   Apparent energy consumption data shown in this column are as in table 1.A(b). ,,,,,,,,,,
"(4)   For the purposes of comparing apparent energy consumption in the reference approach with energy consumption in the sectoral approach, data in this column come from table 1.A(d).",,,,,,,,,,
(5)   For the sectoral approach gross emissions (without accounting for CO2 captured) are included in the comparison.,,,,,,,,,,
"(6) In the case of discrepancies between the approaches (of more than 2 per cent), investigate and document the reasons for such discrepancies.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Documentation Box:,,,,,,,,,,
"• Parties should provide detailed explanations on the fuel combustion subsector, including information related to the comparison of CO2 emissions calculated using the sectoral approach with those calculated using the reference approach, in the corresponding part of chapter 3: energy (CRF subsector 1.A) of the national inventory report  (NIR).  Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,
Documentation box,,,,,,,,,,
