TABLE 1.A(d)  SECTORAL BACKGROUND DATA FOR ENERGY,,,,,,,,,Inventory 1990,,,
"Feedstocks, reductants and other non-energy use of fuels",,,,,,,,,Submission 2023 v3,,,
(Sheet 1 of 1),,,,,,,,,NEW ZEALAND,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FUEL TYPE ,,,ACTIVITY DATA AND RELATED INFORMATION,IMPLIED EMISSION FACTOR,CARBON EXCLUDED FROM REFERENCE APPROACH,,IMPLIED CARBON EXCLUDED FRACTION,REPORTED CO2 EMISSIONS(1),,,,
,,,Fuel quantity for NEU          ,Carbon                                 emission factor               ,Carbon excluded,CO2 excluded,Carbon fraction excluded from reference approach(2),CO2 emissions from the NEU reported in the inventory,Reported under: Select category(ies)  from the category tree(3),,,
,,,(TJ), (t C/TJ), ((kt) C), ((kt) CO2),(%), ((kt) CO2),,,,
Liquid fossil,Primary fuels,Crude oil,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
fossil,,Orimulsion,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Natural gas liquids,NO,NO,NO,NO,"NO,IE,NA",NO,IPPU - Other (please specify),,,
,Secondary fuels ,Gasoline,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Jet kerosene,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Other kerosene(4),NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Shale oil,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Gas/diesel oil(4),NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Residual fuel oil,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Liquefied petroleum gases (LPG)(4),NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Ethane(4),NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Naphtha(4),NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Bitumen,5977.38,NO,125.28,459.36,359.27,NO,IPPU - Other (please specify),,,
,,Lubricants(5),IE,IE,NA,NA,NA,IE,Non-energy Products from Fuels and Solvent Use,,,
,,Petroleum coke(5),IE,IE,IE,IE,IE,IE,Metal Industry,,,
,,Refinery feedstocks,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Other oil(6),NO,NO,NO,NO,"NO,IE,NA",NO,IPPU - Other (please specify),,,
Other liquid fossil,,,NO,NO,NO,,,NO,,,,
Liquid fossil totals,,,5977.38,"NO,IE",125.28,459.36,3.51,"NO,IE",,,,
Solid fossil,Primary fuels,Anthracite,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Coking coal,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Other bituminous coal,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Sub-bituminous Coal,14432.16,24.48,354.10,1298.36,36.06,1295.17,Iron and Steel Production,,,
,,Lignite,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Oil shale and tar sand,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,Secondary fuels,BKB and patent fuel,NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
,,Coke oven/gas coke,NO,NO,NO,NO,"NO,IE",NO,IPPU - Other (please specify),,,
,,Coal tar(7),NO,NO,NO,NO,NO,NO,IPPU - Other (please specify),,,
Other solid fossil,,,,,,,,,,,,
Solid fossil totals,,,14432.16,24.48,354.10,1298.36,27.35,1295.17,,,,
Gaseous fossil,,"Natural gas (dry)(4,8)",14303.52,0.49,221.29,811.41,10.51,25.95,Chemical Industry,,,
