TABLE 1.B.2  SECTORAL BACKGROUND DATA FOR ENERGY,,,,,,,,,,Inventory 1990,
"Oil, natural gas and other emissions from energy production",,,,,,,,,,Submission 2023 v3,
(Sheet 1 of 1),,,,,,,,,,NEW ZEALAND,
,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND ,ACTIVITY  DATA(1),,,    IMPLIED EMISSION FACTORS,,,EMISSIONS,,,,
SINK CATEGORIES,Description(1),Unit(1),Value,CO2(2),CH4,N2O,CO2,,CH4 (4) ,N2O,
,,,,,,,Emissions(3),Amount captured ,,,
,,,,(kg/unit) (5),,,(kt),,,,
1. B. 2. a. Oil(6),,,,,,,0.01,NO,0.18,"NO,NA",
1.   Exploration,,number of wells drilled,NO,NO,NO,NO,NO,NO,NO,NO,
2.   Production(7),,m3,2212387.00,0.00,0.00,,0.00,NO,0.00,,
3.   Transport,,m3,2212387.00,0.00,0.03,,0.01,NO,0.07,,
4.    Refining/storage,,m3,5006977.54,"NO,NA",0.02,NA,NA,NO,0.11,NA,
5.   Distribution of oil products,,m3,2567958.31,"NO,NE",NE,,NE,NO,NE,,
6.  Other,,NA,NO,NO,NO,,NO,NO,NO,,
1. B. 2. b. Natural gas,,,,,,,1.67,"NO,NA",16.94,,
1.   Exploration,,NA,IE,"NO,IE",IE,,IE,NO,IE,,
2.   Production(7),,million m3,6000.78,34.41,956.22,,0.21,NO,5.74,,
3.   Processing,,NA,NE,"NO,NE",NE,,NE,NO,NE,,
4.   Transmission and storage,,TJ,0.20,52800.00,486995.02,,0.01,NO,0.10,,
5.  Distribution,,TJ,782.10,1853.58,14191.80,,1.45,NO,11.10,,
6.   Other,,NA,NO,"NO,NA",NO,,NO,NA,NO,,
1. B. 2. c. Venting and flaring,,,,,,,229.48,"NO,IE",6.43,0.00,
Venting,,,,,,,109.30,"NO,IE",3.85,,
i.    Oil,,NA,IE,IE,IE,,IE,IE,IE,,
ii.   Gas,,TJ,C,C,NE,,109.30,NO,NE,,
iii.  Combined,,TJ,272.44,"NO,NA",14125.00,,NA,NO,3.85,,
Flaring(8),,,,,,,120.18,"NO,IE",2.59,0.00,
i.    Oil,,TJ,99.75,61136.09,IE,IE,6.10,NO,IE,IE,
ii.   Gas,,NA,IE,IE,IE,IE,IE,IE,IE,IE,
iii.  Combined,,TJ,2206.72,51698.13,1171.47,0.09,114.08,NO,2.59,0.00,
1.B.2.d. Other (please specify)(9),,,,,,,228.58,NO,2.19,NO,
Geothermal,,TJ,54713.26,4177.71,40.06,NO,228.58,NO,2.19,NO,
.,,,,,,,,,,,
"(1)   Specify the activity data (AD) used in the description column (see examples). Specify the unit of the AD in the unit column in either energy units or volume units (e.g. PJ, 106 m3 and 106 bbl/yr).",,,,,,,,,,,
"(2)  The implied emission factors (IEFs) for carbon dioxide (CO2) are estimated on the basis of gross emissions, i.e. CO2  emissions + amount captured. ",,,,,,,,,,,
(3)   Net CO2 emissions after subtracting the amounts of CO2 captured.,,,, ,,,,,,,
"(4)  In this table, fugitive CH4 emissions should also be reported for the transmission/distribution of biogas. Emissions associated with the biogas production without energy production should be included in the waste sector under biological treatment of waste (CRF Table 5.B). ",,,,,,,,,,,
"(5)   The unit of the IEF will depend on the unit of the AD used, and is therefore not specified in this column.  ",,,,,,,,,,,
"(6)   Use the category also to cover emissions from combined oil and gas production fields. Natural gas processing and distribution from these fields should be included under subcategories 1.B.2.b.iii and 1.B.2.b.v, respectively. ",,,,,,,,,,,
"(7)   If using default emission factors, these categories will include emissions from production other than venting and flaring.",,,,,,,,,,,
"(8)  For emissions from flaring, this table should only be used for reporting of flaring emissions associated with oil/gas extraction and refining.",,,,,,,,,,,
"(9)    For example, fugitive CO2 emissions from production of geothermal power could be reported here.",,,,,,,,,,,
,,,,,,,,,,,
Documentation box:,,,,,,,,,,,
•  Parties should provide detailed explanations on the fugitive emissions from category 1.B.2 Oil and Natural gas in the corresponding part of chapter 3: energy (CRF category 1.B.2) of the NIR.  Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.  ,,,,,,,,,,,
"• Regarding data on the amount of fuel produced entered in this table, specify in this documentation box whether the fuel amount is based on the raw material production or on the saleable production.  Note cases where more than one type of AD is used to estimate emissions.",,,,,,,,,,,
"• Venting and Flaring: Parties using the IPCC software could report venting and flaring emissions together, indicating this in this documentation box. ",,,,,,,,,,,
"• If estimates are reported under 1.B.2.d. Other, use this documentation box to provide information regarding activities covered under this category and to provide a reference to the section in the NIR where background information can be found. ",,,,,,,,,,,
Documentation box,"1.B.2/1990: Included under 1.B.2.c.1.iii Combined 
1.B.2/1990: Included under 1.B.2.c.2.iii Combined 
1.B.2/1990: Included under 1.B.2.a.1 
1.B.2/1990: Venting included under 1.B.2.c.2.ii Gas 
1.B.2/1990: This is venting of pure CO2 from the Kapuni gas treatment plant as reported from the operator. No activity data is available. Other venting included under 1.B.2.c.1.iii Combined 
",,,,,,,,,,
