TABLE 10  EMISSION TRENDS,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4,,,Submission 2023 v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Sheet 3 of 6),,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Base year(1),1990,Change from base to latest reported year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,46.96,46.96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion (sectoral approach),8.09,8.09,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,0.10,0.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction,1.17,1.17,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,3.17,3.17,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,3.66,3.66,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,38.86,38.86,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,13.12,13.12,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,25.74,25.74,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. CO2 transport and storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes,1.10,1.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,1.10,1.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Metal industry,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Electronic industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as ODS substitutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Agriculture,1108.20,1108.20,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Enteric fermentation,1078.42,1078.42,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Manure management,28.88,28.88,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Rice cultivation,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Agricultural soils,NE,NE,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Prescribed burning of savannas,IE,IE,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Field burning of agricultural residues,0.90,0.90,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Liming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Urea application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.  Other carbon-containing fertilizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Land use, land-use change and forestry",2.73,2.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Forest land,0.70,0.70,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Cropland,"NE,IE","NE,IE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Grassland,2.03,2.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Wetlands,"NE,NO","NE,NO",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Settlements ,"NE,NA","NE,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Other land,"NE,NA","NE,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Harvested wood products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other       ,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Waste,146.89,146.89,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Solid waste disposal ,132.73,132.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Biological treatment of solid waste,0.11,0.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Incineration and open burning of waste,5.09,5.09,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Waste water treatment and discharge,8.96,8.96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.  Other (as specified in summary 1.A),0.07,0.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_1. Energy,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_2. Industrial Processes and Product Use,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_3. Agriculture,0.05,0.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_5. Waste,0.03,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CH4 emissions without CH4 from LULUCF,1303.23,1303.23,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CH4 emissions with CH4 from LULUCF,1305.96,1305.96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memo items:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International bunkers,0.09,0.09,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navigation,0.08,0.08,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilateral operations,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 emissions from biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 captured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term storage of C in waste disposal sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect CO2 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
