TABLE 10  EMISSION TRENDS,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,
N2O,,,Submission 2023 v3,,,,,,,,,,,,,,,,,,,,,,
(Sheet 4 of 6),,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Base year(1),1990,Change from base to latest reported year,,,,,,,,,,,,,,,,,,,,,,
,(kt),,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,0.74,0.74,0.00,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion (sectoral approach),0.74,0.74,0.00,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,0.02,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction,0.17,0.17,0.00,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,0.37,0.37,0.00,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,0.17,0.17,0.00,,,,,,,,,,,,,,,,,,,,,,
5.  Other,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
C. CO2 transport and storage,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes,0.34,0.34,0.00,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,
C.  Metal industry,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,
E.  Electronic industry,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as ODS substitutes,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,0.34,0.34,0.00,,,,,,,,,,,,,,,,,,,,,,
H.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Agriculture,17.69,17.69,0.00,,,,,,,,,,,,,,,,,,,,,,
A.  Enteric fermentation,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Manure management,0.17,0.17,0.00,,,,,,,,,,,,,,,,,,,,,,
C.  Rice cultivation,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Agricultural soils,17.51,17.51,0.00,,,,,,,,,,,,,,,,,,,,,,
E.  Prescribed burning of savannas,IE,IE,0.00,,,,,,,,,,,,,,,,,,,,,,
F.  Field burning of agricultural residues,0.02,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,
G.  Liming,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Urea application,,,,,,,,,,,,,,,,,,,,,,,,,
I.  Other carbon containing fertlizers,,,,,,,,,,,,,,,,,,,,,,,,,
J.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Land use, land-use change and forestry",1.09,1.09,0.00,,,,,,,,,,,,,,,,,,,,,,
A.  Forest land,0.72,0.72,0.00,,,,,,,,,,,,,,,,,,,,,,
B.  Cropland,0.03,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,
C.  Grassland,0.21,0.21,0.00,,,,,,,,,,,,,,,,,,,,,,
D.  Wetlands,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
E.  Settlements ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
F.  Other land,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
G.  Harvested wood products,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other       ,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,
5.  Waste,0.38,0.38,0.00,,,,,,,,,,,,,,,,,,,,,,
A.  Solid waste disposal ,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Biological treatment of solid waste,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,
C.  Incineration and open burning of waste,0.10,0.10,0.00,,,,,,,,,,,,,,,,,,,,,,
D.  Waste water treatment and discharge,0.28,0.28,0.00,,,,,,,,,,,,,,,,,,,,,,
E.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,
6.  Other (as specified in summary 1.A),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_1. Energy,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
