TABLE 10  EMISSION TRENDS,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HFCs, PFCs, SF6, and NF3",,,Submission 2023 v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Sheet 5 of 6),,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Base year(1),1990,Change from base to latest reported year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions of HFCs and PFCs -  (kt CO2 equivalent) ,909.95,909.95,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions of HFCs -  (kt CO2 equivalent) ,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-23,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-32,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-41,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-43-10mee,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-125,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-134,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-134a,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-143,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-143a,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-152,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-152a,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-161,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-227ea,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-236cb,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-236ea,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-236fa,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-245ca,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-245fa,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-365mfc,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified mix of HFCs(4) -  (kt CO2 equivalent) ,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions of PFCs -  (kt CO2 equivalent) ,909.95,909.95,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF4,0.11,0.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2F6,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3F8,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4F10,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-C4F8,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5F12,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6F14,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10F18,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-C3F6,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified mix of PFCs(4) -  (kt CO2 equivalent) ,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified mix of HFCs and PFCs - (kt CO2 equivalent),"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions of  SF6 -  (kt CO2 equivalent),19.97,19.97,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF6,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions of NF3 - (kt CO2 equivalent),"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NF3,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
