TABLE 2(I).A-H   SECTORAL BACKGROUND DATA FOR  INDUSTRIAL PROCESSES AND PRODUCT USE                                                                                                      ,,,,,,,,,,,Inventory 1990,,,
"Emissions of CO2, CH4 and N2O",,,,,,,,,,,Submission 2023 v3,,,
(Sheet 2 of 2),,,,,,,,,,,NEW ZEALAND,,,
,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND ,ACTIVITY DATA,,IMPLIED EMISSION FACTORS (2),,,EMISSIONS,,,,,,,,
SINK CATEGORIES,Production/Consumption quantity,,CO2,CH4,N2O,CO2,,CH4,,N2O,,,,
,,,,,,Emissions(3),Recovery(4),Emissions(3),Recovery(4),Emissions(3),Recovery(4),,,
,Description (1),(kt),(t/t),,,(kt),,,,,,,,
C.  Metal industry,,,,,,1757.51,"NO,NA","NO,NA","NO,NA",,,,,
1.  Iron and steel production,,,,,,1306.73,"NO,NA","NO,NA","NO,NA",,,,,
a. Steel,Total steel production,C,C,NA,,1306.73,NO,NA,NA,,,,,
b. Pig iron ,,NA,"NO,NA","NO,NA",,NA,NO,NA,NO,,,,,
c. Direct reduced iron,,NA,NA,NA,,NA,NA,NA,NA,,,,,
d. Sinter,,NO,NO,NO,,NO,NO,NO,NO,,,,,
e. Pellet ,,NO,NO,NO,,NO,NO,NO,NO,,,,,
f. Other (please specify),,,,,,,,,,,,,,
2.  Ferroalloys production,,NO,NO,NO,,NO,NO,NO,NO,,,,,
3.  Aluminium production,,264.08,1.70,,,448.98,NO,,,,,,,
4.  Magnesium  production,Amount of SF6 used,0.00,NO,,,NO,NO,,,,,,,
5. Lead production,Recycled lead,9.00,0.20,,,1.80,NO,,,,,,, 
6. Zinc production,,NO,NO,,,NO,NO,,,,,,,
7.  Other (please specify),,,,,,,,,,,,,,
"D.  Non-energy products from fuels
 and solvent use",,,,,,25.17,NO,NA,"NO,NA",NA,"NO,NA",,,
1.  Lubricant use,Lubricant used,38.43,0.59,NA,NA,22.83,NO,NA,NA,NA,NA,,,
2.  Paraffin wax use,Paraffin wax used,3.81,0.62,NA,NA,2.35,NO,NA,NA,NA,NA,,,
3.  Other (please specify)(5)(6),,,,,,"NO,NA",NO,NA,NO,NA,NO,,,
Other (please specify),,,,,,"NO,NA",NO,NA,NO,NA,NO,,,
Asphalt Road Paving,Asphalt used,107.37,"NO,NA","NO,NA","NO,NA",NA,NO,NA,NO,NA,NO,,,
Asphalt Roofing,Asphalt used,0.05,"NO,NA","NO,NA","NO,NA",NA,NO,NA,NO,NA,NO,,,
Paint Application,Paint used,44.17,"NO,NA","NO,NA","NO,NA",NA,NO,NA,NO,NA,NO,,,
