TABLE 2(I) SECTORAL REPORT FOR INDUSTRIAL PROCESSES AND PRODUCT USE,,,,,,,,,,,,Inventory 1990
(Sheet 1 of 2),,,,,,,,,,,,Submission 2023 v3
,,,,,,,,,,,,NEW ZEALAND
,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2,CH4,N2O,HFCs(1),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6,NF3 ,NOx,CO,NMVOC,SO2
,(kt),,,CO2 equivalent (kt),,,(kt),,,,,
Total industrial processes,2519.96,1.10,0.34,"NO,NA",909.95,NA,0.00,NA,1.88,29.66,35.00,7.97
A.  Mineral industry ,561.87,,,,,,,,"NO,NA","NO,NA","NO,NA",0.60
1.  Cement production,448.75,,,,,,,,,,,0.60
2.  Lime production,82.60,,,,,,,,,,,
3. Glass production,IE,,,,,,,,,,,
4. Other process uses of carbonates,30.52,,,,,,,,"NO,NA","NO,NA","NO,NA","NO,NA"
B.  Chemical industry ,175.40,1.10,"NO,NA",NA,NA,NA,NA,NA,0.43,0.05,0.31,1.34
1.  Ammonia production,21.68,NA,NA,,,,,,NA,NA,NA,NA
2.  Nitric acid production ,,,NO,,,,,,NO,,,
3.  Adipic acid production,NO,,NO,,,,,,NO,NO,NO,
"4. Caprolactam, glyoxal and glyoxylic acid production",NO,,NO,,,,,,,,NO,NO
5.  Carbide production,1.43,"NO,NA",,,,,,,NA,NA,NA,NA
6. Titanium dioxide production,NO,,,,,,,,,,,
7. Soda ash production,NO,,,,,,,,,,,
8. Petrochemical and carbon black production,"NO,NA",1.10,,,,,,,0.43,0.05,0.24,NA
9. Fluorochemical production,,,,,,,,,,,,
10.  Other (as specified in table 2(I).A-H),152.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,1.34
C.  Metal industry,1757.51,"NO,NA",,,909.95,,0.00,,1.44,29.61,"NO,NA,NE",5.95
1.  Iron and steel production,1306.73,"NO,NA",,,,,,,0.88,0.56,NE,0.67
2.  Ferroalloys production,NO,NO,,,,,,,NO,NO,NO,NO
3.  Aluminium production,448.98,,,,909.95,,,,0.57,29.05,NA,5.28
4.  Magnesium production,NO,,,,,,0.00,,NO,NO,NO,NO
5. Lead production,1.80,,,,,,,,NA,NA,NA,NA
6. Zinc production,NO,,,,,,,,NO,NO,NO,NO
7.  Other (as specified in table 2(I).A-H),,,,,,,,,,,,
,,,,,,,,,,,,
"(1)   The emissions of hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), unspecified mix of HFCs and PFCs, and other fluorinated gases are to be expressed as carbon dioxide equivalent emissions. Data on disaggregated emissions of HFCs and PFCs are to be provided in table 2(II).",,,,,,,,,,,,
