TABLE 2(I) SECTORAL REPORT FOR INDUSTRIAL PROCESSES AND PRODUCT USE,,,,,,,,,,,,Inventory 1990,
(Sheet 2 of 2),,,,,      ,,,,,,,Submission 2023 v3,
,,,,,,,,,,,,NEW ZEALAND,
,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2,CH4,N2O,HFCs(1),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6,NF3 ,NOx,CO,NMVOC,SO2,
,(kt),,,CO2 equivalent (kt),,,(kt),,,,,,
D.  Non-energy products from fuels and solvent use,25.17,NA,NA,,,,,,0.01,0.00,28.02,0.01,
1.  Lubricant use,22.83,NA,NA,,,,,,NA,NA,NA,NA,
2.  Paraffin wax use,2.35,NA,NA,,,,,,NA,NA,NA,NA,
3.  Other ,"NO,NA",NA,NA,,,,,,0.01,0.00,28.02,0.01,
E.  Electronics industry,,,,,,,,,,,,,
1.  Integrated circuit or semiconductor,,,,,,,,,,,,,
2.  TFT flat panel display,,,,,,,,,,,,,
3.  Photovoltaics,,,,,,,,,,,,,
4.  Heat transfer fluid,,,,,,,,,,,,,
5.  Other (as specified in table 2(II)),,,,,,,,,,,,,
F.  Product uses as substitutes for ODS(2),,,,"NO,NA",NO,,,,,,,,
1.  Refrigeration and air conditioning,,,,NO,NO,,,,,,,,
2.  Foam blowing agents,,,,"NO,NA",,,,,,,,,
3.  Fire protection,,,,NO,,,,,,,,,
4.  Aerosols,,,,NO,,,,,,,,,
5.  Solvents,,,,,,,,,,,,,
6.  Other applications,,,,,,,,,,,,,
G.  Other product manufacture and use,NA,NA,0.34,,NO,,0.00,,NA,NA,6.67,0.07,
1.  Electrical equipment,,,,,,,0.00,,,,,,
2.  SF6 and PFCs from other product use,,,,,NO,,0.00,,,,,,
3.  N2O from product uses,,,0.34,,,,,,,,,,
4.  Other ,NA,NA,NA,,,,,,NA,NA,6.67,0.07,
H.  Other (as specified in tables 2(I).A-H and 2(II))(3),,,,,,,,,,,,,
,,,,,,,,,,,,,
"(1)   The emissions of hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), unspecified mix of HFCs and PFCs, and other fluorinated gases are to be expressed as carbon dioxide equivalent emissions. Data on disaggregated emissions of HFCs and PFCs are to be provided in table 2(II).",,,,,,,,,,,,,
(2)   ODS ozone-depleting substances.,,,,,,,,,,,,,
(3)  Carbon dioxide (CO2) from food and drink production (e.g. gasification of water) can be of biogenic or non-biogenic origin. Only information on CO2 emissions of non-biogenic origin should be reported. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Documentation box:,,,,,,,,,,,,,
Parties should provide detailed explanations on the industrial processes sector in chapter 4: industrial processes (CRF sector 2) of the national inventory report (NIR).  Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table. ,,,,,,,,,,,,,
Documentation box,"2.A.1: Activity data is confidential as there are only one to two cement producers in New Zealand. 
2.A.3: Activity data confidential as there are only two glass producers in New Zealand.  Emissions aggregated with use of limestone in steel production, and reported in 2.A.4.b
2.A.4.b: Soda ash use in glass and aluminium production aggregated for confidentiality. 
2.A.4.d: Limestone use in glass and steel making aggregated for confidentiality.  
2.B.1: All ammonia produced is processed into urea. ",,,,,,,,,,,,
