"TABLE 2(II) SECTORAL REPORT FOR INDUSTRIAL PROCESSES AND PRODUCT USE - EMISSIONS OF HFCs, PFCs, SF6 AND NF3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inventory 1990,
(Sheet 1 of 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submission 2023 v3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ZEALAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,HFC-23,HFC-32,HFC-41,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-143,HFC-143a,HFC-152,HFC-152a,HFC-161,HFC-227ea,HFC-236cb,HFC-236ea,HFC-236fa,HFC-245ca,HFC-245fa,HFC-365mfc,Unspecified mix of HFCs (1),Total HFCs,CF4,C2F6,C 3F8,C4F10,c-C4F8,C5F12,C6F14,C10F18,c-C3F6,Unspecified mix of PFCs (1),Total PFCs,Unspecified mix of HFCs and PFCs(1),SF6,NF3
,(t),,,,,,,,,,,,,,,,,,,CO2 equivalent (kt),,(t),,,,,,,,,CO2 equivalent (kt),,CO2 equivalent (kt),(t),(t)
Total actual emissions of halocarbons (by chemical) and SF6,"NO,NA","NO,NA",NA,"NO,NA","NO,NA",NA,"NO,NA",NA,"NO,NA",NA,"NO,NA",NA,"NO,NA",NA,NA,NA,NA,"NO,NA","NO,NA",NA,,105.63,10.60,"NO,NA",NA,NA,NA,NA,NA,NA,NA,,NA,0.88,NA
B.   Chemical industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
9. Flurochemical production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By-product emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fugitive emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
C.   Metal industry,,,,,,,,,,,,,,,,,,,,,,105.63,10.60,,,,,,,,,,,0.12,
3. Aluminium production,,,,,,,,,,,,,,,,,,,,,,105.63,10.60,,,,,,,,,,,,
4. Magnesium production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,
7. Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Electronics industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Integrated circuit or semiconductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  TFT flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Photovoltaics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Heat transfer fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other (as specified in table 2(II)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as substitutes for ODS(2),NO,NO,,NO,NO,,"NO,NA",,NO,,NO,,"NO,NA",,,,,"NO,NA","NO,NA",,,,NO,NO,,,,,,,,,,,
1.  Refrigeration and air conditioning,NO,NO,,,NO,,NO,,NO,,NO,,,,,,,,,,,,NO,NO,,,,,,,,,,,
2.  Foam blowing agents,,,,,,,"NO,NA",,,,,,"NO,NA",,,,,"NO,NA","NO,NA",,,,,,,,,,,,,,,,
3.  Fire protection,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
4.  Aerosols,,,,NO,,,NO,,,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,
5.  Solvents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.  Other applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,0.76,
1.  Electrical equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,
2.  SF6 and PFCs from other product use,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,0.12,
4.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.   Other (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.H.3  Other (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,CO2 equivalent (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total emissions (3),"NO,NA","NO,NA",NA,"NO,NA","NO,NA",NA,"NO,NA",NA,"NO,NA",NA,"NO,NA",NA,"NO,NA",NA,NA,NA,NA,"NO,NA","NO,NA",NA,,780.63,129.32,"NO,NA",NA,NA,NA,NA,NA,NA,NA,,NA,19.97,NA
B.     Chemical industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
C.     Metal production,,,,,,,,,,,,,,,,,,,,,,780.63,129.32,,,,,,,,,,,2.74,
E.     Electronics industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.     Product uses as substitutes for ODS,NO,NO,,NO,NO,,"NO,NA",,NO,,NO,,"NO,NA",,,,,"NO,NA","NO,NA",,,,NO,NO,,,,,,,,,,,
G.    Other product manufacture and use,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,17.24,
H.    Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
