TABLE 2(II).B-H  SECTORAL BACKGROUND DATA FOR  INDUSTRIAL PROCESSES AND PRODUCT USE,,,,,,,,,,,Inventory 1990
Sources of fluorinated substances,,,,,,,,,,,Submission 2023 v3
(Sheet 2 of 2),,,,,,,,,,,NEW ZEALAND
,,,,,,,,,,,
GREENHOUSE GAS SOURCE,Gas (please specify),ACTIVITY DATA,,,IMPLIED  EMISSION  FACTORS(1),,,EMISSIONS(2),,,
AND SINK CATEGORIES,,Amount,,,Product manufacturing factor,Product life factor,Disposal loss factor,From manufacturing,From stocks,From disposal,Recovery(3)
,One row per substance,Filled into new manufactured products,In operating systems (average annual stocks),Remaining in products at decommissioning,,,,,,,
,, (t),,,%,,,(t),,,
F.  Product uses as substitutes for ODS ,,,,,,,,,,,
1.  Refrigeration and airconditioning,,,,,,,,,,,
Commercial refrigeration,,,,,,,,,,,
HFC-23,HFC-23,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-32,HFC-32,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-125,HFC-125,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-134a,HFC-134a,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-143a,HFC-143a,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-152a,HFC-152a,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
C2F6,C2F6,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
C3F8,C3F8,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Domestic  refrigeration,,,,,,,,,,,
HFC-134a,HFC-134a,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Industrial refrigeration,,,,,,,,,,,
HFC-32,HFC-32,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-125,HFC-125,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-134a,HFC-134a,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-143a,HFC-143a,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Transport refrigeration,,,,,,,,,,,
HFC-32,HFC-32,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-125,HFC-125,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-134a,HFC-134a,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HFC-143a,HFC-143a,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mobile air-conditioning,,,,,,,,,,,
HFC-134a,HFC-134a,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Stationary air-conditioning,,,,,,,,,,,
HFC-32,HFC-32,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
