TABLE 3.B(a) SECTORAL BACKGROUND DATA FOR AGRICULTURE,,,,,,,,,,,,Inventory 1990
CH4 Emissions from Manure Management,,,,,,,,,,,,Submission 2023 v3
(Sheet 2 of 2),,,,,,,,,,,,NEW ZEALAND
,,,,,,,,,,,,
Additional information (for Tier 2) (a),,,,,,,,,,,,
Animal category,,Indicator,Climate region,Manure Management Systems (b),,,,,,,,
,,,,Anaerobic lagoon  , Liquid system,Daily spread,Solid storage and dry lot,"Pasture, range, and paddock",Composting,Digesters,Burned for fuel or as waste,Other
,,,,,,,,,,,,
,,,,,,,,,,,,
Option A,Dairy cattle,Allocation (%),Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Temperate,4.70,NO,NO,NO,95.30,NO,NO,NO,NO
,,,Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,MCF(c),Cool,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Warm,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Non-dairy cattle,Allocation (%),Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Temperate,NO,NO,NO,NO,100.00,NO,NO,NO,NO
,,,Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,MCF(c),Cool,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Warm,NA,NA,NA,NA,NA,NA,NA,NA,NA
Option B,Mature dairy cattle,Allocation (%),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,,MCF(c),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,Other mature cattle,Allocation (%),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,,MCF(c),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,Growing cattle,Allocation (%),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,,MCF(c),Cool,,,,,,,,,
,,,Temperate,,,,,,,,,
,,,Warm,,,,,,,,,
,,,Sheep - Sheep_Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Sheep - Sheep_Allocation (%) - Temperate,NO,NO,NO,NO,100.00,NO,NO,NO,NO
,,,Sheep - Sheep_Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Sheep - Sheep_MCF (c) - Cool,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Sheep - Sheep_MCF (c) - Temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Sheep - Sheep_MCF (c) - Warm,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Pigs - Swine_Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Pigs - Swine_Allocation (%) - Temperate,20.50,NO,25.70,42.50,8.90,NO,NO,NO,2.40
,,,Pigs - Swine_Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Pigs - Swine_MCF (c) - Cool,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Pigs - Swine_MCF (c) - Temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Pigs - Swine_MCF (c) - Warm,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Buffalo - Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Buffalo - Allocation (%) - Temperate,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Buffalo - Allocation (%) - Warm,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Buffalo - MCF (c) - Cool,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Buffalo - MCF (c) - Temperate,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Buffalo - MCF (c) - Warm,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,Camels - Allocation (%) - Cool,NO,NO,NO,NO,NO,NO,NO,NO,NO
,,,Camels - Allocation (%) - Temperate,NO,NO,NO,NO,100.00,NO,NO,NO,NO
