TABLE 3.C  SECTORAL BACKGROUND DATA  FOR AGRICULTURE,,,,,Inventory 1990,,,
Rice Cultivation,,,,,Submission 2023 v3,,,
(Sheet 1 of 1),,,,,NEW ZEALAND,,,
,,,,,,,,
GREENHOUSE GAS SOURCE AND  SINK CATEGORIES,ACTIVITY  DATA  AND  OTHER  RELATED  INFORMATION,,,IMPLIED EMISSION FACTOR (1),EMISSIONS,,,
,Harvested area(2),Organic amendments added(3),,CH4        ,CH4        ,,,
, (109 m2/yr),type,(t/ha), (g/m2),(kt),,,
1.  Irrigated,,,,,NO,,,
Continuously flooded,NO,NO,NO,NO,NO,,,
Intermittently flooded   Single aeration,NO,NO,NO,NO,NO,,,
Intermittently flooded Multiple aeration,NO,NO,NO,NO,NO,,,
2.  Rainfed ,,,,,NO,,,
Flood prone,NO,NO,NO,NO,NO,,,
Drought prone,NO,NO,NO,NO,NO,,,
3.  Deep water,,,,,NO,,,
Water depth 50–100 cm,NO,NO,NO,NO,NO,,,
Water depth > 100 cm,NO,NO,NO,NO,NO,,,
4.  Other (please specify),,,,,,,,
,,,,,,,,
Upland rice(4),NO,,,,,,,
Total(4),NO,,,,,,,
,,,,,,,,
"(1)   The implied emission factor implicitly takes account of all relevant corrections for continuously flooded fields without organic amendment, the correction for the organic amendments and the effect of different soil characteristics, if considered in the calculation of methane (CH4) emissions.",,,,,,,,
(2)   Harvested area is the cultivated area multiplied by the number of cropping seasons per year.,,,,,,,,
(3)   Specify dry weight or wet weight for organic amendments in the documentation box.,,,,,,,,
(4)   These rows are included to allow comparison with international statistics. CH4 emissions from upland rice are assumed to be zero.,,,,,,,,
,,,,,,,,
Documentation box: ,,,,,,,,
• Parties should provide detailed explanations on the agriculture sector in chapter 5: Agriculture (CRF sector 3) of the national inventory report (NIR).  Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.,,,,,,,,
"• When disaggregating by more than one region within a country, and/or by growing season, provide additional information on disaggregation and related data in the NIR and provide a reference to the relevant section in the NIR.",,,,,,,,
"• Where available, provide activity data and scaling factors by soil type and rice cultivar in the NIR.",,,,,,,,
Documentation box,"3.C/1990: Rice cultivation does not occur in New Zealand 
",,,,,,,
