TABLE 3.G-I SECTORAL BACKGROUND DATA FOR AGRICULTURE,,,Inventory 1990,
"CO2 emissions from liming, urea application and other carbon-containing fertilizers",,,Submission 2023 v3,
(Sheet 1 of 1),,,NEW ZEALAND,
,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,ACTIVITY DATA,IMPLIED EMISSION FACTORS,EMISSIONS ,
,Amount applied,CO2-C per unit ,CO2,
,(t/yr),(t CO2–C /t),(kt),
G.  Liming(1),,,296.48,
             Limestone CaCO3,658262.88,0.12,289.64,
             Dolomite CaMg(CO3)2,14367.39,0.13,6.85,
H.  Urea application,53447.65,0.20,39.19,
I.  Other carbon-containing fertlizers,NE,NE,NE,
J.  Other (please specify),,,,
.,,,,
(1) Emissions should include all national liming regardless of land use. A Party should report total estimates for total lime application.,,,,
Documentation box:,,,,
Parties should provide detailed explanations on the agriculture sector in chapter 5: Agriculture (CRF sector 3) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.,,,,
Documentation box,,,,
Documentation box,,,,
Documentation box,"3.i/1990: According to the footnote 6 to the paragraph 37(b) of the UNFCCC reporting GLs, this category is not mandatory for reporting. The IPCC (2006) Guidelines do not provide guidance for reporting on other carbon-containing fertilisers. Other carbon-containing synthetic fertilisers besides limestone, dolomite and urea are not applied to agricultural land in New Zealand. 
",,,
Documentation box,,,,
