"TABLE 4(I)   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,Inventory 1990,,,,,,,
Direct nitrous oxide (N2O) emissions from nitrogen (N) inputs(1) to managed soils,,,Submission 2023 v3,,,,,,,
,,,NEW ZEALAND,,,,,,,
,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,ACTIVITY  DATA   AND  OTHER  RELATED  INFORMATION,IMPLIED EMISSION FACTORS,EMISSIONS(4),,,,,,,
Land-use category(2),Value,N2O–N emissions per unit of N-input,N2O,,,,,,,
,kg N/yr,kg N2O–N/kg N(3),(kt),,,,,,,
Total for all land use categories,"IE,NA","IE,NA","IE,NA",,,,,,,
A. Forest land(5),IE,IE,IE,,,,,,,
1. Forest land remaining forest land,IE,IE,IE,,,,,,,
1.   Inorganic N fertilizers(6),IE,IE,IE,,,,,,,
2.  Organic N fertilizers(7),IE,IE,IE,,,,,,,
2. Land converted to forest land,IE,IE,IE,,,,,,,
1.   Inorganic N fertilizers(6),IE,IE,IE,,,,,,,
2.  Organic N fertilizers(7),IE,IE,IE,,,,,,,
D. Wetlands(5),IE,IE,IE,,,,,,,
1. Wetlands remaining wetlands,IE,IE,IE,,,,,,,
1.   Inorganic N fertilizers(6),IE,IE,IE,,,,,,,
2.  Organic N fertilizers(7),IE,IE,IE,,,,,,,
2. Land converted to wetlands,IE,IE,IE,,,,,,,
1.   Inorganic N fertilizers(6),IE,IE,IE,,,,,,,
2.  Organic N fertilizers(7),IE,IE,IE,,,,,,,
E. Settlements(5),IE,IE,IE,,,,,,,
1. Settlements remaining settlements,IE,IE,IE,,,,,,,
1.   Inorganic N fertilizers(6),IE,IE,IE,,,,,,,
2.  Organic N fertilizers(7),IE,IE,IE,,,,,,,
2. Land converted to settlements,IE,IE,IE,,,,,,,
1.   Inorganic N fertilizers(6),IE,IE,IE,,,,,,,
2.  Organic N fertilizers(7),IE,IE,IE,,,,,,,
H. Other (please specify)(5) (8),NA,NA,NA,,,,,,,
.,,,,,,,,,,
"(1)   Direct N2O emissions from N input to managed soils are estimated using equations  11.1, 11.2, 11.3, 11.4, 11.5 and 11.6 of the volume 4 of the 2006 IPCC Guidelines based on the amounts of N input applied. ",,,,,,,,,,
(2)   N2O emissions from N fertilization of cropland and grassland are reported in the agriculture sector.,,,,,,,,,,
"(3)   In the calculation of the implied emission factor, N2O emissions are converted to N2O–N by multiplying by 28/44.",,,,,,,,,,
(4)   Emissions are reported with a positive sign.,,,,,,,,,,
"(5)   If a Party is not able to separate the N inputs applied to land-use categories, other than cropland and grasslands, it may report all N2O emissions from N inputs to managed soils in the agriculture sector. This should be explicitly indicated in the documentation box.",,,,,,,,,,
(6)   N input from application of inorganic fertilizers to land use categories other than cropland and grasslands.,,,,,,,,,,
(7)   N input from organic N fertilizers to land use categories other than cropland and grassland.,,,,,,,,,,
"(8)   If a Party is not able to separate the N inputs applied to forest land and to other land-use categories, other than cropland and grasslands, it may report all N2O emissions from N inputs to managed soils under the category H. Other. This should be explicitly indicated in the documentation box.",,,,,,,,,,
,,,,,,,,,,
Documentation box:,,,,,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in Chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,,,,,
Documentation box,,,,,,,,,,
Documentation box,,,,,,,,,,
Documentation box,,,,,,,,,,
Documentation box,,,,,,,,,,
Documentation box,,,,,,,,,,
Documentation box,,,,,,,,,,
Documentation box,,,,,,,,,,
Documentation box,"4.H: Reporting of SO2 is not required for the LULUCF sector, New Zealand reports NA instead ",,,,,,,,,
