"TABLE 4(II)   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,,,,,,Inventory 1990,
Emissions and removals from drainage and rewetting and other management of organic and mineral soils ,,,,,,,,Submission 2023 v3,
(Sheet 1 of 1),,,,,,,,NEW ZEALAND,
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Subdivision(2),ACTIVITY DATA,IMPLIED EMISSION FACTORS ,,,EMISSIONS,,,
Land-use category(1),,Area,CO2 per area ,N2O–N per area(3),CH4 per area,CO2(4),N2O,CH4,
,,(kha),(kg CO2/ha),(kg N2O–N/ha),(kg CH4/ha),(kt),,,
Total for all land use categories,,,,,,"NO,NE,IE,NA",0.26,"NO,NE,NA",
A. Forest land(5),,,,,,"NE,IE",0.26,NE,
Total organic soils,,2.61,"NE,IE",63.64,NE,"NE,IE",0.26,NE,
Drained organic soils,,2.61,IE,63.64,NE,IE,0.26,NE,
Nutrient rich,Nutrient rich,IE,IE,NE,NE,IE,NE,NE,
Nutrient poor,Nutrient poor,2.61,IE,63.64,NE,IE,0.26,NE,
Rewetted organic soils,,NE,NE,NE,NE,NE,NE,NE,
Nutrient rich,Nutrient rich,NE,NE,NE,NE,NE,NE,NE,
Nutrient poor,Nutrient poor,NE,NE,NE,NE,NE,NE,NE,
Other (please specify),,NE,NE,NE,NE,NE,NE,NE,
Total mineral soils ,,NE,NE,NE,NE,NE,NE,NE,
Rewetted mineral soils,,NE,NE,NE,NE,NE,NE,NE,
Other (please specify),,NE,NE,NE,NE,NE,NE,NE,
"B. Cropland (5), (6)",,,,,,"NE,IE",NE,NE,
Total organic soils,,"NE,IE","NE,IE",,NE,"NE,IE",,NE,
Drained organic soils,,IE,IE,,NE,IE,,NE,
Nutrient rich,Nutrient rich,IE,IE,,NE,IE,,NE,
Nutrient poor,Nutrient poor,IE,IE,,NE,IE,,NE,
Rewetted organic soils,,NE,NE,,NE,NE,,NE,
Nutrient rich,Nutrient rich,NE,NE,,NE,NE,,NE,
Nutrient poor,Nutrient poor,NE,NE,,NE,NE,,NE,
Other (please specify),,NE,NE,,NE,NE,,NE,
Total mineral soils ,,NE,NE,NE,NE,NE,NE,NE,
Rewetted mineral soils,,NE,NE,,NE,NE,,NE,
Other (please specify),,NE,NE,NE,NE,NE,NE,NE,
C.  Grassland (5),,,,,,NE,NE,NE,
Total organic soils,,NE,NE,,NE,NE,,NE,
Drained organic soils,,NE,NE,,NE,NE,,NE,
Rewetted organic soils,,NE,NE,,NE,NE,,NE,
Nutrient rich,Nutrient rich,NE,NE,,NE,NE,,NE,
Other (please specify),,NE,NE,,NE,NE,,NE,
Total mineral soils ,,NE,NE,NE,NE,NE,NE,NE,
Rewetted mineral soils,,NE,NE,,NE,NE,,NE,
Other (please specify),,NE,NE,NE,NE,NE,NE,NE,
D. Wetlands (5),,,,,,"NE,NO","NE,NO","NE,NO",
D.1 Peat extraction lands,,,,,,NE,NE,NE,
Total organic soils,,NE,NE,NE,NE,NE,NE,NE,
Drained organic soils,,NE,NE,NE,NE,NE,NE,NE,
Nutrient rich,Nutrient rich,NE,NE,NE,NE,NE,NE,NE,
Nutrient poor,Nutrient poor,NE,NE,NE,NE,NE,NE,NE,
Rewetted organic soils,,NE,NE,NE,NE,NE,NE,NE,
Nutrient rich,Nutrient rich,NE,NE,NE,NE,NE,NE,NE,
Nutrient poor,Nutrient poor,NE,NE,NE,NE,NE,NE,NE,
Other (please specify),,NE,NE,NE,NE,NE,NE,NE,
Total mineral soils ,,NE,NE,NE,NE,NE,NE,NE,
Rewetted mineral soils,,NE,NE,NE,NE,NE,NE,NE,
All,All,NE,NE,NE,NE,NE,NE,NE,
Other (please specify),,NE,NE,NE,NE,NE,NE,NE,
D.2 Flooded lands,,,,,,"NE,NO","NE,NO","NE,NO",
Total organic soils,,"NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO",
Drained organic soils,,NO,NO,NO,NO,NO,NO,NO,
Nutrient rich,Nutrient rich,NO,NO,NO,NO,NO,NO,NO,
Nutrient poor,Nutrient poor,NO,NO,NO,NO,NO,NO,NO,
Rewetted organic soils,,NE,NE,NE,NE,NE,NE,NE,
Nutrient rich,Nutrient rich,NE,NE,NE,NE,NE,NE,NE,
Nutrient poor,Nutrient poor,NE,NE,NE,NE,NE,NE,NE,
Other (please specify),,NE,NE,NE,NE,NE,NE,NE,
Total mineral soils ,,NE,NE,NE,NE,NE,NE,NE,
Rewetted mineral soils,,NE,NE,NE,NE,NE,NE,NE,
All,All,NE,NE,NE,NE,NE,NE,NE,
Other (please specify),,NE,NE,NE,NE,NE,NE,NE,
D.3 Other wetlands (please specify),,,,,,NE,NE,NE,
All other wetlands,,NE,NE,NE,NE,NE,NE,NE,
Total Organic Soils,,NE,NE,NE,NE,NE,NE,NE,
Drained Organic Soils,,NE,NE,NE,NE,NE,NE,NE,
Nutrient rich,Nutrient rich,,,,,,,,
Nutrient poor,Nutrient poor,,,,,,,,
Rewetted Organic Soils,,NE,NE,NE,NE,NE,NE,NE,
Nutrient rich,Nutrient rich,,,,,,,,
Nutrient poor,Nutrient poor,,,,,,,,
Other (please specify),,NE,NE,NE,NE,NE,NE,NE,
Total Mineral Soils,,NE,NE,NE,NE,NE,NE,NE,
Rewetted Mineral Soils,,NE,NE,NE,NE,NE,NE,NE,
All,All,,,,,,,,
H. Other (please specify) (5),,,,,,NA,NA,NA,
.,,,,,,,,,
(1)  Nitrous oxide (N2O) emissions from drained cropland and grassland soils are covered in the agriculture tables of the CRF under cultivation of organic soils.,,,,,,,,,
