"TABLE 4(III)   SECTORAL BACKGROUND DATA FOR LAND USE, LAND-USE CHANGE AND FORESTRY",,,Inventory 1990,,,
"Direct nitrous oxide (N2O) emissions from nitrogen (N) mineralization/immobilization associated with loss/gain of soil organic matter
",,,Submission 2023 v3,,,
resulting from change of land use or management of mineral soils(1),,,NEW ZEALAND,,,
(Sheet 1 of 1),,,,,,
,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,ACTIVITY DATA,IMPLIED EMISSION FACTORS,EMISSIONS ,,,
Land-use category(2),Area (3),N2O–N emissions per area(4) ,N2O,,,
,(kha) ,(kg N2O–N/ha),(kt),,,
Total all land-use categories ,26278.39,0.01,0.61,,,
A. Forest land,9365.78,0.03,0.42,,,
1. Forest land remaining forest land,8530.24,0.00,0.00,,,
2. Lands converted to forest land(5),835.53,0.32,0.42,,,
4.A.2.1  Cropland converted to forest land,0.01,NO,NO,,,
4.A.2.2  Grassland converted to forest land,835.43,0.32,0.42,,,
4.A.2.3  Wetlands converted to forest land,0.02,1.38,0.00,,,
4.A.2.4  Settlements converted to forest land,0.00,0.47,0.00,,,
4.A.2.5  Other land converted to forest land,0.08,NO,NO,,,
B. Cropland(2) ,29.77,0.54,0.03,,,
2. Lands converted to cropland(5),29.77,0.54,0.03,,,
4.B.2.1  Forest land converted to cropland,0.00,0.12,0.00,,,
4.B.2.2  Grassland converted to cropland,29.76,0.54,0.03,,,
4.B.2.3  Wetlands converted to cropland,0.00,1.50,0.00,,,
4.B.2.4  Settlements converted to cropland,0.00,0.58,0.00,,,
4.B.2.5  Other land converted to cropland,NO,NO,NO,,,
C. Grasslands,15086.86,0.01,0.17,,,
1. Grasslands remaining grasslands,14788.96,0.00,0.08,,,
2. Lands converted to grasslands(5),297.90,0.19,0.09,,,
4.C.2.1  Forest land converted to grasslands,215.01,NO,NO,,,
4.C.2.2  Cropland converted to grasslands,26.67,NO,NO,,,
4.C.2.3  Wetlands converted to grasslands,56.12,1.02,0.09,,,
4.C.2.4  Settlements converted to grasslands,0.00,0.14,0.00,,,
4.C.2.5  Other land converted to grasslands,0.09,NO,NO,,,
D. Wetlands,693.91,0.00,0.00,,,
1. Wetlands remaining wetlands,683.91,0.00,0.00,,,
2. Lands converted to wetlands(5),10.00,NO,NO,,,
4.D.2.1  Forest land converted to wetlands,9.77,NO,NO,,,
4.D.2.2  Cropland converted to wetlands,0.00,NO,NO,,,
4.D.2.3  Grassland converted to wetlands,0.20,NO,NO,,,
4.D.2.4  Settlements converted to wetlands,0.00,NO,NO,,,
4.D.2.5  Other land converted to wetlands,0.03,NO,NO,,,
E. Settlements ,207.08,0.00,0.00,,,
1. Settlements remaining settlements,190.24,NO,NO,,,
2. Lands converted to settlements(5),16.84,0.00,0.00,,,
4.E.2.1  Forest land converted to settlements,2.10,NO,NO,,,
4.E.2.2  Cropland converted to settlements,6.63,NO,NO,,,
4.E.2.3  Grassland converted to settlements,8.09,NO,NO,,,
4.E.2.4  Wetlands converted to settlements,0.00,0.79,0.00,,,
4.E.2.5  Other land converted to settlements,0.01,NO,NO,,,
F. Other land,894.99,0.00,0.00,,,
.,,,,,,
"  (1) Methodologies for N2O emissions from N mineralization associated with loss of soil organic matter resulting from change of land use or management of mineral soils are based on equations 11.1, 11.2 and 11.8 of the 2006 IPCC Guidelines. N2O immobilization associated with gain of organic matter resulting from change of land use or management of mineral soils can be reported only when a Party applies a tier 3 approach in the relevant calculation. ",,,,,,
(2) N2O emissions from Cropland remaining cropland are included in the agriculture sector ,,,,,,
" (3) The total area of the subcategories, in accordance with the subdivision used, should be entered here.  For lands remaining in the category, the area subject to management changes should be reported. For converted lands the cumulative area remaining in the category in the reporting year should be reported here.",,,,,,
"(4)  In the calculation of the implied emission factor, N2O emissions are converted to N2O–N by multiplying by 28/44.",,,,,,
"(5)  If data are available, Parties are encouraged to report at the disaggregated level available from the pre-defined drop-down menu. Furthermore, Parties are encouraged to the extent possible to use the pre-defined category definitions rather than to create similar categories. This ensures the highest possible degree of comparability of the reporting. If detailed data are not available, Parties should include all emissions from land conversion here. ",,,,,,
,,,,,,
Documentation box:,,,,,,
"Parties should provide detailed explanations on the land use, land-use change and forestry sector in Chapter 6: Land Use, Land-Use Change and Forestry (CRF sector 4) of the national inventory report (NIR). Use this documentation box to provide references to relevant sections of the NIR if any additional information and/or further details are needed to understand the content of this table.",,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
Documentation box,,,,,,
